scenario_id,relative_path,run_config_path,profiles_path,catalyst,geometry,temp_C,Q1_mL_min,Q2_mL_min,C_EGDA_feed_M,C_catalyst_feed_M,density1_g_L,density2_g_L,length_m,diameter_m,h_plus_model,n_eff_protons,ka2_model,activity_model,reversible,K1_ref,K2_ref,dH1_J_mol,dH2_J_mol,T_C,tau_s,X_EGDA,Y_EGMA,Y_EG,S_EGMA,kappa1_1_s,kappa2_1_s,C_EGDA_out_M,C_EGMA_out_M,C_EG_out_M,C_AcOH_out_M,verification_error,invariant_drift,K1,K2,X_eq,Y_EGMA_eq,C_OH_out_M,OH_consumed_frac,NaOH_per_acetate_group
fb92178e2d28ea0a,H2SO4/CPR_dimensions/s00__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q1+1,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s00__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q1+1\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s00__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q1+1\profiles.csv,H2SO4,A,25,1,1,0.1,0.1,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,22.6194671058,0.000308159621948,0.000308138428438,2.11935104392e-08,0.999931225544,1.33140616544e-05,5.94190526153e-06,0.0499845920189,1.54069214219e-05,1.05967552196e-09,1.54090407729e-05,4.26325641456e-13,2.84217094304e-13,0.5,0.125,0.99995132521,0.0138561145519,,,
4dd5dd7f5d98ca9a,H2SO4/CPR_dimensions/s01__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q2+2,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s01__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q2+2\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s01__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q2+2\profiles.csv,H2SO4,A,25,2,2,0.1,0.1,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,11.3097335529,0.000154091693498,0.000154086394707,5.29879057602e-09,0.999965612742,1.33140616544e-05,5.94190526153e-06,0.0499922954153,7.70431973537e-06,2.64939528801e-10,7.70484961443e-06,2.84217094304e-13,4.26325641456e-13,0.5,0.125,0.99995132521,0.0138561145519,,,
072e5476571d4e48,H2SO4/CPR_dimensions/s02__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q3+3,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s02__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q3+3\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s02__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q3+3\profiles.csv,H2SO4,A,25,3,3,0.1,0.1,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,7.53982236862,0.000102730436415,0.000102728081336,2.35507921928e-09,0.999977075159,1.33140616544e-05,5.94190526153e-06,0.0499948634782,5.13640406681e-06,1.17753960964e-10,5.13663957473e-06,2.84217094304e-13,4.26325641456e-13,0.5,0.125,0.99995132521,0.0138561145519,,,
ed101a57299ba4a0,H2SO4/CPR_dimensions/s03__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q4+4,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s03__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q4+4\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s03__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q4+4\profiles.csv,H2SO4,A,25,4,4,0.1,0.1,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,5.65486677646,7.70488176194e-05,7.70474928701e-05,1.32474926977e-09,0.999982806364,1.33140616544e-05,5.94190526153e-06,0.0499961475591,3.8523746435e-06,6.62374634886e-11,3.85250711843e-06,2.84217094304e-13,2.84217094304e-13,0.5,0.125,0.99995132521,0.0138561145519,,,
84e3a82ad6d0e213,H2SO4/CPR_dimensions/s04__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q5+5,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s04__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q5+5\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s04__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q5+5\profiles.csv,H2SO4,A,25,5,5,0.1,0.1,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,4.52389342117,6.16395294502e-05,6.16386816039e-05,8.47846140981e-10,0.999986245089,1.33140616544e-05,5.94190526153e-06,0.0499969180235,3.0819340802e-06,4.23923070491e-11,3.08201886481e-06,1.42108547152e-13,4.26325641456e-13,0.5,0.125,0.99995132521,0.0138561145519,,,
b745ea720bb255b7,H2SO4/CPR_dimensions/s05__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q1+1,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s05__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q1+1\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s05__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q1+1\profiles.csv,H2SO4,A,25,1,1,0.2,0.1,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,22.6194671058,0.00030595297232,0.000305932081268,2.08910519663e-08,0.999931718095,1.33140616544e-05,5.94190526153e-06,0.0999694047028,3.05932081268e-05,2.08910519663e-09,3.05973863372e-05,3.54546748134e-13,1.42108547152e-13,0.5,0.125,0.999807243288,0.0273818567488,,,
38f498129b11f89a,H2SO4/CPR_dimensions/s06__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q2+2,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s06__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q2+2\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s06__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q2+2\profiles.csv,H2SO4,A,25,2,2,0.2,0.1,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,11.3097335529,0.000152988209592,0.000152982986424,5.22316786327e-09,0.999965859017,1.33140616544e-05,5.94190526153e-06,0.099984701179,1.52982986424e-05,5.22316786327e-10,1.5299343276e-05,1.42108547152e-13,1.42108547152e-13,0.5,0.125,0.999807243288,0.0273818567488,,,
c77c9d303ff81e7e,H2SO4/CPR_dimensions/s07__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q3+3,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s07__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q3+3\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s07__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q3+3\profiles.csv,H2SO4,A,25,3,3,0.2,0.1,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,7.53982236862,0.00010199474512,0.000101992423652,2.32146792905e-09,0.999977239338,1.33140616544e-05,5.94190526153e-06,0.0999898005255,1.01992423652e-05,2.32146792905e-10,1.01997066588e-05,1.42108547152e-13,1.42108547152e-13,0.5,0.125,0.999807243288,0.0273818567488,,,
74fce1e4885a91f4,H2SO4/CPR_dimensions/s08__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q4+4,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s08__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q4+4\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s08__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q4+4\profiles.csv,H2SO4,A,25,4,4,0.2,0.1,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,5.65486677646,7.64970358882e-05,7.64957300455e-05,1.30584258295e-09,0.999982929499,1.33140616544e-05,5.94190526153e-06,0.0999923502964,7.64957300455e-06,1.30584258295e-10,7.64983417307e-06,1.42108547152e-13,1.42108547152e-13,0.5,0.125,0.999807243288,0.0273818567488,,,
80b09720d67d903c,H2SO4/CPR_dimensions/s09__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q5+5,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s09__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q5+5\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s09__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q5+5\profiles.csv,H2SO4,A,25,5,5,0.2,0.1,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,4.52389342117,6.11980976999e-05,6.11972619545e-05,8.35745732392e-10,0.999986343604,1.33140616544e-05,5.94190526153e-06,0.0999938801902,6.11972619545e-06,8.35745732392e-11,6.11989334459e-06,1.42108547152e-13,1.42108547152e-13,0.5,0.125,0.999807243288,0.0273818567488,,,
7145607916af6d24,H2SO4/CPR_dimensions/s100__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.5M_Q1+1,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s100__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.5M_Q1+1\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s100__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.5M_Q1+1\profiles.csv,H2SO4,A,25,1,1,0.1,0.5,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,22.6194671058,0.00136234237645,0.00136192793994,4.1443650878e-07,0.999695791223,6.00456287767e-05,2.67976404813e-05,0.0499318828812,6.80963969971e-05,2.0721825439e-08,6.8137840648e-05,2.19549113048e-11,2.84217094304e-13,0.5,0.125,0.999949422248,0.0141224519021,,,
026baf383eac3cc3,H2SO4/CPR_dimensions/s101__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.5M_Q2+2,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s101__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.5M_Q2+2\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s101__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.5M_Q2+2\profiles.csv,H2SO4,A,25,2,2,0.1,0.5,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,11.3097335529,0.00068140355081,0.000681299907682,1.03643128024e-07,0.999847897581,6.00456287767e-05,2.67976404813e-05,0.0499659298225,3.40649953841e-05,5.18215640122e-09,3.40753596969e-05,4.06351845618e-12,4.26325641456e-13,0.5,0.125,0.999949422248,0.0141224519021,,,
d5f16f6a4e62aab8,H2SO4/CPR_dimensions/s102__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.5M_Q3+3,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s102__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.5M_Q3+3\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s102__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.5M_Q3+3\profiles.csv,H2SO4,A,25,3,3,0.1,0.5,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,7.53982236862,0.000454320685182,0.000454274616276,4.60689052919e-08,0.999898598265,6.00456287767e-05,2.67976404813e-05,0.0499772839657,2.27137308138e-05,2.3034452646e-09,2.27183377044e-05,1.20527794288e-12,2.84217094304e-13,0.5,0.125,0.999949422248,0.0141224519021,,,
5d62a6769abf5211,H2SO4/CPR_dimensions/s103__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.5M_Q4+4,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s103__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.5M_Q4+4\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s103__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.5M_Q4+4\profiles.csv,H2SO4,A,25,4,4,0.1,0.5,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,5.65486677646,0.000340759885428,0.00034073397018,2.59152481339e-08,0.999923948654,6.00456287767e-05,2.67976404813e-05,0.0499829620057,1.7036698509e-05,1.29576240669e-09,1.70392900338e-05,5.68434188608e-13,4.26325641456e-13,0.5,0.125,0.999949422248,0.0141224519021,,,
68b1bdee8c2e68c8,H2SO4/CPR_dimensions/s104__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.5M_Q5+5,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s104__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.5M_Q5+5\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s104__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.5M_Q5+5\profiles.csv,H2SO4,A,25,5,5,0.1,0.5,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,4.52389342117,0.000272617207271,0.000272600620941,1.65863305993e-08,0.999939158901,6.00456287767e-05,2.67976404813e-05,0.0499863691396,1.3630031047e-05,8.29316529964e-10,1.36316896801e-05,2.84217094304e-13,2.84217094304e-13,0.5,0.125,0.999949422248,0.0141224519021,,,
9102b997b6fccf59,H2SO4/CPR_dimensions/s105__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.5M_Q1+1,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s105__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.5M_Q1+1\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s105__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.5M_Q1+1\profiles.csv,H2SO4,A,25,1,1,0.2,0.5,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,22.6194671058,0.00135240032969,0.00135199191874,4.0841095177e-07,0.999698010314,6.00456287767e-05,2.67976404813e-05,0.099864759967,0.000135199191874,4.0841095177e-08,0.000135280874064,1.01675415862e-11,2.13162820728e-13,0.5,0.125,0.999799745311,0.0279017653482,,,
ff737c5637b2f5e0,H2SO4/CPR_dimensions/s106__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.5M_Q2+2,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s106__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.5M_Q2+2\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s106__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.5M_Q2+2\profiles.csv,H2SO4,A,25,2,2,0.2,0.5,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,11.3097335529,0.000676429359255,0.000676327224023,1.02135231773e-07,0.999849008281,6.00456287767e-05,2.67976404813e-05,0.0999323570641,6.76327224023e-05,1.02135231773e-08,6.76531494486e-05,4.04263807759e-12,1.42108547152e-13,0.5,0.125,0.999799745311,0.0279017653482,,,
6a92d40f048c8814,H2SO4/CPR_dimensions/s107__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.5M_Q3+3,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s107__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.5M_Q3+3\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s107__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.5M_Q3+3\profiles.csv,H2SO4,A,25,3,3,0.2,0.5,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,7.53982236862,0.000451003852538,0.000450958453917,4.53986212351e-08,0.999899338728,6.00456287767e-05,2.67976404813e-05,0.0999548996147,4.50958453917e-05,4.53986212351e-09,4.51049251159e-05,1.20248937489e-12,1.42108547152e-13,0.5,0.125,0.999799745311,0.0279017653482,,,
b443b29cb4e9b26c,H2SO4/CPR_dimensions/s108__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.5M_Q4+4,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s108__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.5M_Q4+4\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s108__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.5M_Q4+4\profiles.csv,H2SO4,A,25,4,4,0.2,0.5,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,5.65486677646,0.000338271996539,0.000338246458356,2.55381833666e-08,0.999924503998,6.00456287767e-05,2.67976404813e-05,0.0999661728003,3.38246458356e-05,2.55381833666e-09,3.38297534723e-05,5.08066624796e-13,1.42108547152e-13,0.5,0.125,0.999799745311,0.0279017653482,,,
8ea81386f6e9771c,H2SO4/CPR_dimensions/s109__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.5M_Q5+5,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s109__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.5M_Q5+5\run_config.json,C:\Users\vt4ho\Simulations\kinetics_sim\EDGA\Homogenous_RESULTS\BatchSweep\H2SO4\CPR_dimensions\s109__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.5M_Q5+5\profiles.csv,H2SO4,A,25,5,5,0.2,0.5,1005,1060,0.06,0.004,equilibrium,1,tdep,dilute,True,0.5,0.125,5000,5000,25,4.52389342117,0.000270626769233,0.000270610424235,1.63449976893e-08,0.999939603175,6.00456287767e-05,2.67976404813e-05,0.0999729373231,2.70610424235e-05,1.63449976893e-09,2.7064311423e-05,2.60412080354e-13,1.42108547152e-13,0.5,0.125,0.999799745311,0.0279017653482,,,
