scenario_id,catalyst,geometry,temp_C,C_EGDA_feed_M,C_catalyst_feed_M,Q_total_mL_min,tau_s,C_EGMA_peak_M,Y_EGMA_peak,x_peak_m,tau_peak_s,x_peak_over_L,tau_peak_over_tau_out,peak_is_interior,peak_is_at_outlet,remaining_length_after_peak_m,remaining_time_after_peak_s,EGMA_increasing_at_outlet,peak95_start_x_m,peak95_end_x_m,peak95_width_m,peak95_width_over_L,peak95_start_tau_s,peak95_end_tau_s,peak95_width_s
fb92178e2d28ea0a,H2SO4,A,25,0.1,0.1,2,22.6194671058,1.54069214e-05,0.000308138428,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
4dd5dd7f5d98ca9a,H2SO4,A,25,0.1,0.1,4,11.3097335529,7.70431974e-06,0.000154086395,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
072e5476571d4e48,H2SO4,A,25,0.1,0.1,6,7.53982236862,5.13640407e-06,0.000102728081,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
ed101a57299ba4a0,H2SO4,A,25,0.1,0.1,8,5.65486677646,3.85237464e-06,7.70474929e-05,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
84e3a82ad6d0e213,H2SO4,A,25,0.1,0.1,10,4.52389342117,3.08193408e-06,6.16386816e-05,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
b745ea720bb255b7,H2SO4,A,25,0.2,0.1,2,22.6194671058,3.05932081e-05,0.000305932081,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
38f498129b11f89a,H2SO4,A,25,0.2,0.1,4,11.3097335529,1.52982986e-05,0.000152982986,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
c77c9d303ff81e7e,H2SO4,A,25,0.2,0.1,6,7.53982236862,1.01992424e-05,0.000101992424,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
74fce1e4885a91f4,H2SO4,A,25,0.2,0.1,8,5.65486677646,7.649573e-06,7.649573e-05,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
80b09720d67d903c,H2SO4,A,25,0.2,0.1,10,4.52389342117,6.1197262e-06,6.1197262e-05,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
