catalyst,geometry,response,factor,contribution_fraction,component_variance
H2SO4,A,Y_EGMA,C_EGDA_feed_M,2.36302927437e-05,2.24384817868e-07
H2SO4,A,Y_EGMA,C_catalyst_feed_M,0.0562293795974,0.000533934100461
H2SO4,A,Y_EGMA,Q_total_mL_min,0.0853038430542,0.000810014818467
H2SO4,A,Y_EGMA,temp_C,0.650986081526,0.00618153126251
H2SO4,B,Y_EGMA,C_EGDA_feed_M,3.35509510375e-05,7.64508470401e-07
H2SO4,B,Y_EGMA,C_catalyst_feed_M,0.0960728545361,0.00218916331124
H2SO4,B,Y_EGMA,Q_total_mL_min,0.115688506537,0.00263613520453
H2SO4,B,Y_EGMA,temp_C,0.680630177654,0.0155091739559
NaOH,A,Y_EGMA,C_EGDA_feed_M,0.0977777119048,0.00237185603851
NaOH,A,Y_EGMA,C_catalyst_feed_M,0.0555129642323,0.00134661321957
NaOH,A,Y_EGMA,Q_total_mL_min,0.00485596778356,0.000117794293667
NaOH,A,Y_EGMA,temp_C,0.111462735901,0.00270382235445
NaOH,B,Y_EGMA,C_EGDA_feed_M,0.333986407649,0.0115598551643
NaOH,B,Y_EGMA,C_catalyst_feed_M,0.0421350873393,0.00145836925043
NaOH,B,Y_EGMA,Q_total_mL_min,0.00054684445965,1.8927245559e-05
NaOH,B,Y_EGMA,temp_C,0.00482887319013,0.000167135767822
