catalyst,geometry,primary_regime,scenario_count,study_count,study_fraction
H2SO4,A,EGMA_selective,105,1000,0.105
H2SO4,A,interior_EGMA_peak,2,1000,0.002
H2SO4,A,intermediate,111,1000,0.111
H2SO4,A,low_conversion,782,1000,0.782
H2SO4,B,EGMA_selective,135,500,0.27
H2SO4,B,acid_equilibrium_limited,5,500,0.01
H2SO4,B,interior_EGMA_peak,9,500,0.018
H2SO4,B,intermediate,94,500,0.188
H2SO4,B,low_conversion,253,500,0.506
H2SO4,B,overreaction_to_EG,4,500,0.008
NaOH,A,EGMA_selective,252,1000,0.252
NaOH,A,NaOH_exhausted,399,1000,0.399
NaOH,A,interior_EGMA_peak,43,1000,0.043
NaOH,A,intermediate,110,1000,0.11
NaOH,A,low_conversion,25,1000,0.025
NaOH,A,overreaction_to_EG,171,1000,0.171
NaOH,B,EGMA_selective,2,500,0.004
NaOH,B,NaOH_exhausted,380,500,0.76
NaOH,B,interior_EGMA_peak,1,500,0.002
NaOH,B,intermediate,2,500,0.004
NaOH,B,overreaction_to_EG,115,500,0.23
