catalyst,geometry,temp_C,Q_total_mL_min,mean_Y_EGMA,aggregation_count
H2SO4,A,25,2,0.000827092567264,25
H2SO4,A,25,4,0.000413694733425,25
H2SO4,A,25,6,0.000275829486556,25
H2SO4,A,25,8,0.00020688449036,25
H2SO4,A,25,10,0.000165513532846,25
H2SO4,A,40,2,0.00234594864645,25
H2SO4,A,40,4,0.00117419072502,25
H2SO4,A,40,6,0.000783064347216,25
H2SO4,A,40,8,0.000587399738759,25
H2SO4,A,40,10,0.000469968507966,25
H2SO4,A,60,2,0.00815243644097,25
H2SO4,A,60,4,0.00409129167236,25
H2SO4,A,60,6,0.00273088697657,25
H2SO4,A,60,8,0.00204942627466,25
H2SO4,A,60,10,0.00164014666405,25
H2SO4,A,80,2,0.0244661271534,25
H2SO4,A,80,4,0.0123735621163,25
H2SO4,A,80,6,0.00828053857407,25
H2SO4,A,80,8,0.0062222543526,25
H2SO4,A,80,10,0.00498350169507,25
H2SO4,A,100,2,0.0638110139829,25
H2SO4,A,100,4,0.0329199365522,25
H2SO4,A,100,6,0.0221775329186,25
H2SO4,A,100,8,0.016720526204,25
H2SO4,A,100,10,0.0134185644417,25
H2SO4,A,120,2,0.142974673494,25
H2SO4,A,120,4,0.0772140048172,25
H2SO4,A,120,6,0.0528260831521,25
H2SO4,A,120,8,0.0401372760885,25
H2SO4,A,120,10,0.0323613077712,25
H2SO4,A,140,2,0.265752055703,25
H2SO4,A,140,4,0.157778879304,25
H2SO4,A,140,6,0.111501196686,25
H2SO4,A,140,8,0.0861164907136,25
H2SO4,A,140,10,0.070121403264,25
H2SO4,A,160,2,0.385688568808,25
H2SO4,A,160,4,0.272761646071,25
H2SO4,A,160,6,0.205077614277,25
H2SO4,A,160,8,0.163481939986,25
H2SO4,A,160,10,0.13569812931,25
H2SO4,B,25,2,0.0532362359434,25
H2SO4,B,25,4,0.0272670389187,25
H2SO4,B,25,6,0.0183249466371,25
H2SO4,B,25,8,0.0137991930585,25
H2SO4,B,25,10,0.0110660862176,25
H2SO4,B,40,2,0.138170420674,25
H2SO4,B,40,4,0.0740064343749,25
H2SO4,B,40,6,0.0504911250996,25
H2SO4,B,40,8,0.0383097062207,25
H2SO4,B,40,10,0.0308619114345,25
H2SO4,B,60,2,0.343313052178,25
H2SO4,B,60,4,0.217061916643,25
H2SO4,B,60,6,0.156825257925,25
H2SO4,B,60,8,0.122494404151,25
H2SO4,B,60,10,0.100425996944,25
H2SO4,B,80,2,0.433209333048,25
H2SO4,B,80,4,0.408504957221,25
H2SO4,B,80,6,0.343404857662,25
H2SO4,B,80,8,0.290339111669,25
H2SO4,B,80,10,0.249895148755,25
NaOH,A,25,2,0.347513626231,25
NaOH,A,25,4,0.245146265155,25
NaOH,A,25,6,0.187112586338,25
NaOH,A,25,8,0.15092240463,25
NaOH,A,25,10,0.12635728766,25
NaOH,A,40,2,0.418147204937,25
NaOH,A,40,4,0.369256086286,25
NaOH,A,40,6,0.316214532858,25
NaOH,A,40,8,0.273581805981,25
NaOH,A,40,10,0.240151211269,25
NaOH,A,60,2,0.378130875585,25
NaOH,A,60,4,0.410867318771,25
NaOH,A,60,6,0.41123458929,25
NaOH,A,60,8,0.398279838829,25
NaOH,A,60,10,0.380489596711,25
NaOH,A,80,2,0.328643489028,25
NaOH,A,80,4,0.357698908615,25
NaOH,A,80,6,0.380560119909,25
NaOH,A,80,8,0.395506802286,25
NaOH,A,80,10,0.403887212188,25
NaOH,A,100,2,0.309622155029,25
NaOH,A,100,4,0.320156060971,25
NaOH,A,100,6,0.332406096638,25
NaOH,A,100,8,0.344710554153,25
NaOH,A,100,10,0.356153088247,25
NaOH,A,120,2,0.301393204534,25
NaOH,A,120,4,0.305473399981,25
NaOH,A,120,6,0.309820552563,25
NaOH,A,120,8,0.314756856469,25
NaOH,A,120,10,0.320133622748,25
NaOH,A,140,2,0.296155990555,25
NaOH,A,140,4,0.2982992697,25
NaOH,A,140,6,0.300317663091,25
NaOH,A,140,8,0.302297467649,25
NaOH,A,140,10,0.304350874393,25
NaOH,A,160,2,0.292336021905,25
NaOH,A,160,4,0.29351380768,25
NaOH,A,160,6,0.294648871621,25
NaOH,A,160,8,0.295744218167,25
NaOH,A,160,10,0.29680526275,25
NaOH,B,25,2,0.323231116984,25
NaOH,B,25,4,0.330143067937,25
NaOH,B,25,6,0.338305125495,25
NaOH,B,25,8,0.347195664931,25
NaOH,B,25,10,0.356219092693,25
NaOH,B,40,2,0.315368885777,25
NaOH,B,40,4,0.318092755575,25
NaOH,B,40,6,0.320681656914,25
NaOH,B,40,8,0.323339421698,25
NaOH,B,40,10,0.32620151838,25
NaOH,B,60,2,0.308891596745,25
NaOH,B,60,4,0.309865421301,25
NaOH,B,60,6,0.310812951767,25
NaOH,B,60,8,0.311734977416,25
NaOH,B,60,10,0.312632619359,25
NaOH,B,80,2,0.304209994649,25
NaOH,B,80,4,0.304584101251,25
NaOH,B,80,6,0.304954248876,25
NaOH,B,80,8,0.305320496271,25
NaOH,B,80,10,0.305682898198,25
