scenario_id,catalyst,geometry,response,varied_factor,derivative_coordinate,coordinate_value,response_value,local_derivative,local_elasticity,fixed_C_catalyst_feed_M,fixed_C_EGDA_feed_M,fixed_Q_total_mL_min,fixed_temp_C
c3b732dafcdf1427,H2SO4,A,X_EGDA,temp_C,inverse_temperature_K_inv,0.00230866905229,0.236832170386,-1272.78332701,-12.4072480211,0.1,0.1,2,
feaab7481770f661,H2SO4,A,X_EGDA,temp_C,inverse_temperature_K_inv,0.00242042841583,0.121302817091,-794.682872451,-15.8567876013,0.1,0.1,2,
3674008644952745,H2SO4,A,X_EGDA,temp_C,inverse_temperature_K_inv,0.00254355843826,0.0558824674312,-392.757146619,-17.8768189808,0.1,0.1,2,
530251d5c6dd319e,H2SO4,A,X_EGDA,temp_C,inverse_temperature_K_inv,0.00267988744473,0.0232520085926,-171.415224201,-19.7562935409,0.1,0.1,2,
705275d046eac5e8,H2SO4,A,X_EGDA,temp_C,inverse_temperature_K_inv,0.00283165793572,0.00871469959027,-66.6962723266,-21.6715478096,0.1,0.1,2,
2695118c67d689bc,H2SO4,A,X_EGDA,temp_C,inverse_temperature_K_inv,0.003001650908,0.00291535887751,-23.1305357678,-23.8151790592,0.1,0.1,2,
33a49931ca048840,H2SO4,A,X_EGDA,temp_C,inverse_temperature_K_inv,0.00319335781574,0.000855894423277,-6.75295239076,-25.1953894194,0.1,0.1,2,
fb92178e2d28ea0a,H2SO4,A,X_EGDA,temp_C,inverse_temperature_K_inv,0.00335401643468,0.000308159621948,-0.0656646862677,-0.714695960254,0.1,0.1,2,
c3b732dafcdf1427,H2SO4,A,Y_EGMA,temp_C,inverse_temperature_K_inv,0.00230866905229,0.218614473596,-1103.42838144,-11.6527095107,0.1,0.1,2,
feaab7481770f661,H2SO4,A,Y_EGMA,temp_C,inverse_temperature_K_inv,0.00242042841583,0.116933785183,-716.20775809,-14.8248823606,0.1,0.1,2,
3674008644952745,H2SO4,A,Y_EGMA,temp_C,inverse_temperature_K_inv,0.00254355843826,0.0550118100943,-375.297301483,-17.3524669776,0.1,0.1,2,
530251d5c6dd319e,H2SO4,A,Y_EGMA,temp_C,inverse_temperature_K_inv,0.00267988744473,0.023108479632,-168.218143188,-19.5082366769,0.1,0.1,2,
705275d046eac5e8,H2SO4,A,Y_EGMA,temp_C,inverse_temperature_K_inv,0.00283165793572,0.00869539991035,-66.2160124891,-21.5632517388,0.1,0.1,2,
2695118c67d689bc,H2SO4,A,Y_EGMA,temp_C,inverse_temperature_K_inv,0.003001650908,0.00291329149269,-23.0721560259,-23.7719288504,0.1,0.1,2,
33a49931ca048840,H2SO4,A,Y_EGMA,temp_C,inverse_temperature_K_inv,0.00319335781574,0.000855724445967,-6.74793587802,-25.1816737009,0.1,0.1,2,
fb92178e2d28ea0a,H2SO4,A,Y_EGMA,temp_C,inverse_temperature_K_inv,0.00335401643468,0.000308138428438,-0.0688290257343,-0.749188229025,0.1,0.1,2,
c3b732dafcdf1427,H2SO4,A,S_EGMA,temp_C,inverse_temperature_K_inv,0.00230866905229,0.923077609092,461.17942761,1.1534357042,0.1,0.1,2,
feaab7481770f661,H2SO4,A,S_EGMA,temp_C,inverse_temperature_K_inv,0.00242042841583,0.963982436577,270.836686116,0.680033978059,0.1,0.1,2,
3674008644952745,H2SO4,A,S_EGMA,temp_C,inverse_temperature_K_inv,0.00254355843826,0.984419847996,119.960401782,0.30995544516,0.1,0.1,2,
530251d5c6dd319e,H2SO4,A,S_EGMA,temp_C,inverse_temperature_K_inv,0.00267988744473,0.993827244646,48.6927966796,0.13130170779,0.1,0.1,2,
705275d046eac5e8,H2SO4,A,S_EGMA,temp_C,inverse_temperature_K_inv,0.00283165793572,0.997785387813,17.9556682076,0.0509571607205,0.1,0.1,2,
2695118c67d689bc,H2SO4,A,S_EGMA,temp_C,inverse_temperature_K_inv,0.003001650908,0.999290864383,5.94550972677,0.0178590091293,0.1,0.1,2,
33a49931ca048840,H2SO4,A,S_EGMA,temp_C,inverse_temperature_K_inv,0.00319335781574,0.999801403881,1.65386364158,0.00528242745559,0.1,0.1,2,
