scenario_id,catalyst,geometry,temp_C,C_catalyst_feed_M,C_EGDA_feed_M,Q_total_mL_min,X_EGDA,Y_EGMA,S_EGMA,Y_EG,STY_EGMA_mol_Lreactor_h,physical_valid,study_max_feasible_Y_EGMA,near_optimal_fraction_of_max,available_one_step_neighbors,feasible_one_step_neighbors,feasible_neighbor_fraction
32d9f234d1c61540,H2SO4,B,80,0.2,0.2,2,0.682656872296,0.490119425234,0.71795867752,0.192537447062,0.115562858065,False,0.497695058095,0.984778565232,6,3,0.5
3923828595fb4e4b,H2SO4,B,80,0.2,0.3,2,0.679641321731,0.489449944973,0.720159191802,0.190191376758,0.173107506866,False,0.497695058095,0.983433403672,6,3,0.5
a7b2ea6b9bea2f0d,H2SO4,B,80,0.2,0.4,2,0.676605979951,0.488750518908,0.722356191626,0.187855461042,0.230480180852,False,0.497695058095,0.982028073132,6,3,0.5
5c3fafa40bc575fc,H2SO4,B,80,0.3,0.1,2,0.820374089693,0.485523180587,0.591831442127,0.334850909107,0.0572395659872,False,0.497695058095,0.975543503375,5,3,0.6
40fcf97af39db51a,H2SO4,B,80,0.3,0.2,2,0.817542742556,0.486546469331,0.595132760655,0.330996273225,0.114720408274,False,0.497695058095,0.977599559042,6,4,0.666666666667
c87df967c522ec03,H2SO4,B,80,0.3,0.3,2,0.814683549208,0.487527109999,0.598425131418,0.327156439209,0.172427443217,False,0.497695058095,0.979569923529,6,4,0.666666666667
de517b786294dc5b,H2SO4,B,80,0.3,0.4,2,0.811796304466,0.48846486468,0.601708657693,0.323331439786,0.230345474702,False,0.497695058095,0.981454118814,6,4,0.666666666667
0bc6c885f9984c6a,H2SO4,B,80,0.3,0.5,2,0.808880799911,0.489359490338,0.604983441802,0.319521309573,0.288459192966,False,0.497695058095,0.983251656568,5,3,0.6
f39009a511ec079a,H2SO4,B,80,0.4,0.1,4,0.679225245829,0.489351097847,0.720454813557,0.189874147982,0.115381698006,False,0.497695058095,0.983234793851,6,4,0.666666666667
4fddd3550940b689,H2SO4,B,80,0.4,0.2,4,0.676202257836,0.488651184374,0.722640569018,0.187551073462,0.230433337426,False,0.497695058095,0.981828483981,7,5,0.714285714286
3f4471a5f499e20d,H2SO4,B,80,0.4,0.3,4,0.673159568041,0.487921440299,0.724822855477,0.185238127742,0.345133817851,False,0.497695058095,0.980362236601,7,5,0.714285714286
7cb76ac753e18fc7,H2SO4,B,80,0.4,0.4,4,0.670097054095,0.48716169971,0.727001703309,0.182935354386,0.45946188184,False,0.497695058095,0.97883571835,7,5,0.714285714286
226da80bd520f4a8,H2SO4,B,80,0.4,0.5,4,0.667014592408,0.486371794707,0.729177142813,0.180642797701,0.573396114918,False,0.497695058095,0.977248591877,6,4,0.666666666667
4bae194b39bab394,H2SO4,B,80,0.5,0.1,4,0.756213283459,0.497553948849,0.657954521207,0.25865933461,0.117315807821,False,0.497695058095,0.999716474488,5,3,0.6
b5c5d536f52f1e7f,H2SO4,B,80,0.5,0.2,4,0.753207264159,0.497638024945,0.660692014835,0.255569239213,0.23467126385,False,0.497695058095,0.999885405433,6,4,0.666666666667
c3a8363df5912667,H2SO4,B,80,0.5,0.3,4,0.75017688562,0.497685133228,0.663423710818,0.252491752392,0.352040218104,False,0.497695058095,0.999980058337,6,4,0.666666666667
65bb97bc89643a2d,H2SO4,B,80,0.5,0.4,4,0.747121978202,0.497695058095,0.666149668482,0.249426920107,0.469396317826,False,0.497695058095,1,6,4,0.666666666667
a04463ae8d55a8b0,H2SO4,B,80,0.5,0.5,4,0.74404237006,0.497667580435,0.668869946741,0.246374789625,0.586713002767,False,0.497695058095,0.999944790169,5,3,0.6
2f9dfabd5e684d2b,NaOH,A,25,0.5,0.1,2,0.686050294833,0.509897585333,0.743236449534,0.176152709499,4.05763606413,False,0.51442334876,0.991202258923,4,2,0.5
69c93bdf4f7f8f83,NaOH,A,25,0.5,0.2,2,0.648857720698,0.497902619401,0.767352538959,0.150955101297,7.92436629923,False,0.51442334876,0.967884954292,5,3,0.6
448e9facf1294460,NaOH,A,40,0.3,0.1,2,0.774089627541,0.514118894922,0.664159390114,0.25997073262,4.09122816585,False,0.51442334876,0.999408164814,6,4,0.666666666667
33dcee779fb2fc10,NaOH,A,40,0.3,0.2,2,0.694725028703,0.506300396303,0.728778114197,0.188424632399,8.05802107128,False,0.51442334876,0.984209596092,7,5,0.714285714286
9c5f49f05990b4ff,NaOH,A,40,0.4,0.1,4,0.667522625471,0.499009557468,0.747554522388,0.168513068004,7.94198378058,False,0.51442334876,0.970036757995,7,5,0.714285714286
1cadcec5bbfc71a1,NaOH,A,40,0.4,0.2,2,0.804071741587,0.510248820792,0.634581212599,0.293822920794,8.1208622069,False,0.51442334876,0.991885034034,7,5,0.714285714286
bf96e8e0a44ad31f,NaOH,A,40,0.4,0.3,2,0.73386562256,0.512972576854,0.699000690432,0.220893045706,12.2463181871,False,0.51442334876,0.997179809374,7,7,1
d8815ff8b844eb94,NaOH,A,40,0.4,0.4,2,0.662446753091,0.49743541639,0.750906263891,0.165011336701,15.833861081,False,0.51442334876,0.96697674705,7,6,0.857142857143
1231b15ce581e87b,NaOH,A,40,0.5,0.1,4,0.74942333154,0.514177694938,0.686097794529,0.235245636602,8.18339216277,False,0.51442334876,0.999522467589,6,3,0.5
0aef2ae65dbf549e,NaOH,A,40,0.5,0.2,4,0.707140703094,0.508938268158,0.719712874582,0.198202434937,16.2000082162,False,0.51442334876,0.989337419043,7,4,0.571428571429
fcbed000c19ccc31,NaOH,A,40,0.5,0.3,2,0.820039069207,0.506171833697,0.617253314756,0.31386723551,12.0839624152,False,0.51442334876,0.98395968013,6,4,0.666666666667
