rank,utility_score,score_definition,scenario_id,catalyst,geometry,temp_C,C_catalyst_feed_M,C_EGDA_feed_M,Q_total_mL_min,X_EGDA,Y_EGMA,S_EGMA,Y_EG,STY_EGMA_mol_Lreactor_h,requires_pressurization,physical_valid,pfr_advisory
1,0.736342675509,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",4221e39ced636b67,H2SO4,A,160,0.5,0.5,6,0.348042900676,0.305931269885,0.879004482754,0.0421116307912,36.5178554002,True,False,radially_segregated
2,0.73499233442,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",a157660daff99475,H2SO4,A,160,0.5,0.5,8,0.274537751517,0.24950815015,0.908830019812,0.0250296013667,39.7104554142,True,False,radially_segregated
3,0.729721985676,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",f9f85d6e4dc373f9,H2SO4,A,160,0.5,0.5,10,0.226483193715,0.209922195077,0.926877582543,0.0165609986378,41.7626937885,True,False,radially_segregated
4,0.716121795302,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",bf4da437384488f7,H2SO4,A,160,0.5,0.5,4,0.473313733264,0.388331853133,0.820453381851,0.0849818801308,30.9024669984,True,False,radially_segregated
5,0.685543548331,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",b0b56c892f53428a,H2SO4,A,160,0.5,0.4,6,0.350206104509,0.307508937536,0.878079889462,0.0426971669729,29.3649404688,True,False,radially_segregated
6,0.683369288423,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",42cd58b8583d6700,H2SO4,A,160,0.4,0.5,4,0.402985243315,0.344419604088,0.85467051164,0.0585656392275,27.4080412372,True,False,radially_segregated
7,0.681163875779,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",9b37604de1840599,H2SO4,A,160,0.4,0.5,6,0.291127604331,0.262697716034,0.902345611084,0.0284298882976,31.3572300303,True,False,radially_segregated
8,0.679935095927,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",f7958371c511a179,H2SO4,A,160,0.5,0.4,8,0.276328014768,0.250943432111,0.908136050996,0.025384582657,31.9511101114,True,False,radially_segregated
9,0.67250143576,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",dbd01fd4b693044a,H2SO4,A,160,0.5,0.4,4,0.475984436362,0.389864983194,0.81907086327,0.0861194531676,24.8195756732,True,False,radially_segregated
10,0.671863190317,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",8b5c1f241d071327,H2SO4,A,160,0.5,0.4,10,0.228003098088,0.211204354329,0.926322300444,0.0167987437589,33.6142170212,True,False,radially_segregated
1,0.836526082092,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",da5c70eb68eb5806,H2SO4,B,80,0.5,0.5,10,0.421810101282,0.363767287546,0.862395865913,0.0580428137362,1.07213633253,False,False,radially_segregated
