x_m,tau_s,C_EGDA_mol_L,C_EGDA_eq_mol_L,C_EGMA_mol_L,C_EGMA_eq_mol_L,C_EG_mol_L,C_EG_eq_mol_L,C_AcOH_mol_L,C_AcOH_eq_mol_L
0.00000000e+00,0.00000000e+00,2.50000000e-01,1.08558431e-04,0.00000000e+00,1.02020209e-02,0.00000000e+00,2.39689421e-01,0.00000000e+00,4.89580862e-01
3.00000000e-04,2.26194671e-01,2.43622925e-01,1.08558431e-04,6.33043703e-03,1.02020209e-02,4.66377360e-05,2.39689421e-01,6.42371250e-03,4.89580862e-01
6.00000000e-04,4.52389342e-01,2.37409328e-01,1.08558431e-04,1.24066372e-02,1.02020209e-02,1.84034631e-04,2.39689421e-01,1.27747064e-02,4.89580862e-01
9.00000000e-04,6.78584013e-01,2.31355032e-01,1.08558431e-04,1.82364650e-02,1.02020209e-02,4.08503013e-04,2.39689421e-01,1.90534710e-02,4.89580862e-01
1.20000000e-03,9.04778684e-01,2.25455965e-01,1.08558431e-04,2.38275662e-02,1.02020209e-02,7.16468403e-04,2.39689421e-01,2.52605030e-02,4.89580862e-01
1.50000000e-03,1.13097336e+00,2.19708160e-01,1.08558431e-04,2.91873735e-02,1.02020209e-02,1.10446644e-03,2.39689421e-01,3.13963064e-02,4.89580862e-01
1.80000000e-03,1.35716803e+00,2.14107748e-01,1.08558431e-04,3.43231123e-02,1.02020209e-02,1.56913985e-03,2.39689421e-01,3.74613920e-02,4.89580862e-01
2.10000000e-03,1.58336270e+00,2.08650959e-01,1.08558431e-04,3.92418058e-02,1.02020209e-02,2.10723553e-03,2.39689421e-01,4.34562769e-02,4.89580862e-01
2.40000000e-03,1.80955737e+00,2.03334118e-01,1.08558431e-04,4.39502805e-02,1.02020209e-02,2.71560168e-03,2.39689421e-01,4.93814839e-02,4.89580862e-01
2.70000000e-03,2.03575204e+00,1.98153644e-01,1.08558431e-04,4.84551712e-02,1.02020209e-02,3.39118501e-03,2.39689421e-01,5.52375413e-02,4.89580862e-01
3.00000000e-03,2.26194671e+00,1.93106046e-01,1.08558431e-04,5.27629264e-02,1.02020209e-02,4.13102803e-03,2.39689421e-01,6.10249824e-02,4.89580862e-01
3.30000000e-03,2.48814138e+00,1.88187921e-01,1.08558431e-04,5.68798126e-02,1.02020209e-02,4.93226640e-03,2.39689421e-01,6.67443454e-02,4.89580862e-01
3.60000000e-03,2.71433605e+00,1.83395954e-01,1.08558431e-04,6.08119197e-02,1.02020209e-02,5.79212634e-03,2.39689421e-01,7.23961723e-02,4.89580862e-01
3.90000000e-03,2.94053072e+00,1.78726913e-01,1.08558431e-04,6.45651652e-02,1.02020209e-02,6.70792212e-03,2.39689421e-01,7.79810094e-02,4.89580862e-01
4.20000000e-03,3.16672539e+00,1.74177647e-01,1.08558431e-04,6.81452991e-02,1.02020209e-02,7.67705364e-03,2.39689421e-01,8.34994064e-02,4.89580862e-01
4.50000000e-03,3.39292007e+00,1.69745088e-01,1.08558431e-04,7.15579082e-02,1.02020209e-02,8.69700398e-03,2.39689421e-01,8.89519162e-02,4.89580862e-01
4.80000000e-03,3.61911474e+00,1.65426243e-01,1.08558431e-04,7.48084201e-02,1.02020209e-02,9.76533716e-03,2.39689421e-01,9.43390944e-02,4.89580862e-01
5.10000000e-03,3.84530941e+00,1.61218196e-01,1.08558431e-04,7.79021081e-02,1.02020209e-02,1.08796958e-02,2.39689421e-01,9.96614997e-02,4.89580862e-01
5.40000000e-03,4.07150408e+00,1.57118106e-01,1.08558431e-04,8.08440946e-02,1.02020209e-02,1.20377989e-02,2.39689421e-01,1.04919692e-01,4.89580862e-01
5.70000000e-03,4.29769875e+00,1.53123205e-01,1.08558431e-04,8.36393557e-02,1.02020209e-02,1.32374398e-02,2.39689421e-01,1.10114235e-01,4.89580862e-01
6.00000000e-03,4.52389342e+00,1.49230792e-01,1.08558431e-04,8.62927245e-02,1.02020209e-02,1.44764839e-02,2.39689421e-01,1.15245692e-01,4.89580862e-01
6.30000000e-03,4.75008809e+00,1.45438237e-01,1.08558431e-04,8.88088956e-02,1.02020209e-02,1.57528670e-02,2.39689421e-01,1.20314630e-01,4.89580862e-01
6.60000000e-03,4.97628276e+00,1.41742979e-01,1.08558431e-04,9.11924282e-02,1.02020209e-02,1.70645927e-02,2.39689421e-01,1.25321614e-01,4.89580862e-01
6.90000000e-03,5.20247743e+00,1.38142519e-01,1.08558431e-04,9.34477500e-02,1.02020209e-02,1.84097311e-02,2.39689421e-01,1.30267212e-01,4.89580862e-01
7.20000000e-03,5.42867211e+00,1.34634423e-01,1.08558431e-04,9.55791608e-02,1.02020209e-02,1.97864164e-02,2.39689421e-01,1.35151994e-01,4.89580862e-01
7.50000000e-03,5.65486678e+00,1.31216319e-01,1.08558431e-04,9.75908356e-02,1.02020209e-02,2.11928455e-02,2.39689421e-01,1.39976527e-01,4.89580862e-01
7.80000000e-03,5.88106145e+00,1.27885896e-01,1.08558431e-04,9.94868284e-02,1.02020209e-02,2.26272759e-02,2.39689421e-01,1.44741380e-01,4.89580862e-01
8.10000000e-03,6.10725612e+00,1.24640901e-01,1.08558431e-04,1.01271075e-01,1.02020209e-02,2.40880240e-02,2.39689421e-01,1.49447123e-01,4.89580862e-01
8.40000000e-03,6.33345079e+00,1.21479139e-01,1.08558431e-04,1.02947397e-01,1.02020209e-02,2.55734636e-02,2.39689421e-01,1.54094324e-01,4.89580862e-01
8.70000000e-03,6.55964546e+00,1.18398473e-01,1.08558431e-04,1.04519503e-01,1.02020209e-02,2.70820241e-02,2.39689421e-01,1.58683551e-01,4.89580862e-01
9.00000000e-03,6.78584013e+00,1.15396816e-01,1.08558431e-04,1.05990995e-01,1.02020209e-02,2.86121888e-02,2.39689421e-01,1.63215373e-01,4.89580862e-01
9.30000000e-03,7.01203480e+00,1.12472139e-01,1.08558431e-04,1.07365367e-01,1.02020209e-02,3.01624937e-02,2.39689421e-01,1.67690354e-01,4.89580862e-01
9.60000000e-03,7.23822947e+00,1.09622463e-01,1.08558431e-04,1.08646011e-01,1.02020209e-02,3.17315254e-02,2.39689421e-01,1.72109062e-01,4.89580862e-01
9.90000000e-03,7.46442414e+00,1.06845859e-01,1.08558431e-04,1.09836221e-01,1.02020209e-02,3.33179202e-02,2.39689421e-01,1.76472061e-01,4.89580862e-01
1.02000000e-02,7.69061882e+00,1.04140448e-01,1.08558431e-04,1.10939189e-01,1.02020209e-02,3.49203622e-02,2.39689421e-01,1.80779914e-01,4.89580862e-01
1.05000000e-02,7.91681349e+00,1.01504400e-01,1.08558431e-04,1.11958018e-01,1.02020209e-02,3.65375824e-02,2.39689421e-01,1.85033182e-01,4.89580862e-01
1.08000000e-02,8.14300816e+00,9.89359302e-02,1.08558431e-04,1.12895713e-01,1.02020209e-02,3.81683567e-02,2.39689421e-01,1.89232427e-01,4.89580862e-01
1.11000000e-02,8.36920283e+00,9.64333003e-02,1.08558431e-04,1.13755195e-01,1.02020209e-02,3.98115050e-02,2.39689421e-01,1.93378205e-01,4.89580862e-01
1.14000000e-02,8.59539750e+00,9.39948167e-02,1.08558431e-04,1.14539293e-01,1.02020209e-02,4.14658900e-02,2.39689421e-01,1.97471073e-01,4.89580862e-01
1.17000000e-02,8.82159217e+00,9.16188291e-02,1.08558431e-04,1.15250755e-01,1.02020209e-02,4.31304156e-02,2.39689421e-01,2.01511586e-01,4.89580862e-01
1.20000000e-02,9.04778684e+00,8.93037294e-02,1.08558431e-04,1.15892245e-01,1.02020209e-02,4.48040256e-02,2.39689421e-01,2.05500296e-01,4.89580862e-01
1.23000000e-02,9.27398151e+00,8.70479507e-02,1.08558431e-04,1.16466346e-01,1.02020209e-02,4.64857032e-02,2.39689421e-01,2.09437752e-01,4.89580862e-01
1.26000000e-02,9.50017618e+00,8.48499666e-02,1.08558431e-04,1.16975565e-01,1.02020209e-02,4.81744689e-02,2.39689421e-01,2.13324502e-01,4.89580862e-01
1.29000000e-02,9.72637086e+00,8.27082895e-02,1.08558431e-04,1.17422330e-01,1.02020209e-02,4.98693802e-02,2.39689421e-01,2.17161091e-01,4.89580862e-01
1.32000000e-02,9.95256553e+00,8.06214701e-02,1.08558431e-04,1.17809000e-01,1.02020209e-02,5.15695298e-02,2.39689421e-01,2.20948060e-01,4.89580862e-01
1.35000000e-02,1.01787602e+01,7.85880965e-02,1.08558431e-04,1.18137858e-01,1.02020209e-02,5.32740452e-02,2.39689421e-01,2.24685949e-01,4.89580862e-01
1.38000000e-02,1.04049549e+01,7.66067927e-02,1.08558431e-04,1.18411120e-01,1.02020209e-02,5.49820871e-02,2.39689421e-01,2.28375294e-01,4.89580862e-01
1.41000000e-02,1.06311495e+01,7.46762185e-02,1.08558431e-04,1.18630933e-01,1.02020209e-02,5.66928487e-02,2.39689421e-01,2.32016630e-01,4.89580862e-01
1.44000000e-02,1.08573442e+01,7.27950676e-02,1.08558431e-04,1.18799378e-01,1.02020209e-02,5.84055546e-02,2.39689421e-01,2.35610487e-01,4.89580862e-01
1.47000000e-02,1.10835389e+01,7.09620678e-02,1.08558431e-04,1.18918472e-01,1.02020209e-02,6.01194599e-02,2.39689421e-01,2.39157392e-01,4.89580862e-01
1.50000000e-02,1.13097336e+01,6.91759791e-02,1.08558431e-04,1.18990172e-01,1.02020209e-02,6.18338491e-02,2.39689421e-01,2.42657870e-01,4.89580862e-01
1.53000000e-02,1.15359282e+01,6.74355939e-02,1.08558431e-04,1.19016370e-01,1.02020209e-02,6.35480356e-02,2.39689421e-01,2.46112442e-01,4.89580862e-01
1.56000000e-02,1.17621229e+01,6.57397352e-02,1.08558431e-04,1.18998904e-01,1.02020209e-02,6.52613604e-02,2.39689421e-01,2.49521625e-01,4.89580862e-01
1.59000000e-02,1.19883176e+01,6.40872566e-02,1.08558431e-04,1.18939552e-01,1.02020209e-02,6.69731913e-02,2.39689421e-01,2.52885935e-01,4.89580862e-01
1.62000000e-02,1.22145122e+01,6.24770409e-02,1.08558431e-04,1.18840037e-01,1.02020209e-02,6.86829224e-02,2.39689421e-01,2.56205882e-01,4.89580862e-01
1.65000000e-02,1.24407069e+01,6.09080000e-02,1.08558431e-04,1.18702027e-01,1.02020209e-02,7.03899728e-02,2.39689421e-01,2.59481973e-01,4.89580862e-01
1.68000000e-02,1.26669016e+01,5.93790734e-02,1.08558431e-04,1.18527140e-01,1.02020209e-02,7.20937863e-02,2.39689421e-01,2.62714713e-01,4.89580862e-01
1.71000000e-02,1.28930963e+01,5.78892284e-02,1.08558431e-04,1.18316941e-01,1.02020209e-02,7.37938303e-02,2.39689421e-01,2.65904602e-01,4.89580862e-01
1.74000000e-02,1.31192909e+01,5.64374583e-02,1.08558431e-04,1.18072947e-01,1.02020209e-02,7.54895950e-02,2.39689421e-01,2.69052137e-01,4.89580862e-01
1.77000000e-02,1.33454856e+01,5.50227829e-02,1.08558431e-04,1.17796624e-01,1.02020209e-02,7.71805931e-02,2.39689421e-01,2.72157810e-01,4.89580862e-01
1.80000000e-02,1.35716803e+01,5.36442468e-02,1.08558431e-04,1.17489395e-01,1.02020209e-02,7.88663586e-02,2.39689421e-01,2.75222112e-01,4.89580862e-01
1.83000000e-02,1.37978749e+01,5.23009195e-02,1.08558431e-04,1.17152634e-01,1.02020209e-02,8.05464466e-02,2.39689421e-01,2.78245527e-01,4.89580862e-01
1.86000000e-02,1.40240696e+01,5.09918944e-02,1.08558431e-04,1.16787673e-01,1.02020209e-02,8.22204321e-02,2.39689421e-01,2.81228538e-01,4.89580862e-01
1.89000000e-02,1.42502643e+01,4.97162882e-02,1.08558431e-04,1.16395802e-01,1.02020209e-02,8.38879099e-02,2.39689421e-01,2.84171622e-01,4.89580862e-01
1.92000000e-02,1.44764589e+01,4.84732403e-02,1.08558431e-04,1.15978266e-01,1.02020209e-02,8.55484935e-02,2.39689421e-01,2.87075253e-01,4.89580862e-01
1.95000000e-02,1.47026536e+01,4.72619126e-02,1.08558431e-04,1.15536273e-01,1.02020209e-02,8.72018147e-02,2.39689421e-01,2.89939902e-01,4.89580862e-01
1.98000000e-02,1.49288483e+01,4.60814882e-02,1.08558431e-04,1.15070988e-01,1.02020209e-02,8.88475233e-02,2.39689421e-01,2.92766035e-01,4.89580862e-01
2.01000000e-02,1.51550430e+01,4.49311717e-02,1.08558431e-04,1.14583543e-01,1.02020209e-02,9.04852858e-02,2.39689421e-01,2.95554114e-01,4.89580862e-01
2.04000000e-02,1.53812376e+01,4.38101878e-02,1.08558431e-04,1.14075027e-01,1.02020209e-02,9.21147855e-02,2.39689421e-01,2.98304598e-01,4.89580862e-01
2.07000000e-02,1.56074323e+01,4.27177814e-02,1.08558431e-04,1.13546497e-01,1.02020209e-02,9.37357218e-02,2.39689421e-01,3.01017940e-01,4.89580862e-01
2.10000000e-02,1.58336270e+01,4.16532169e-02,1.08558431e-04,1.12998974e-01,1.02020209e-02,9.53478094e-02,2.39689421e-01,3.03694593e-01,4.89580862e-01
2.13000000e-02,1.60598216e+01,4.06157776e-02,1.08558431e-04,1.12433444e-01,1.02020209e-02,9.69507782e-02,2.39689421e-01,3.06335001e-01,4.89580862e-01
2.16000000e-02,1.62860163e+01,3.96047655e-02,1.08558431e-04,1.11850862e-01,1.02020209e-02,9.85443723e-02,2.39689421e-01,3.08939607e-01,4.89580862e-01
2.19000000e-02,1.65122110e+01,3.86195002e-02,1.08558431e-04,1.11252150e-01,1.02020209e-02,1.00128350e-01,2.39689421e-01,3.11508850e-01,4.89580862e-01
2.22000000e-02,1.67384057e+01,3.76593193e-02,1.08558431e-04,1.10638197e-01,1.02020209e-02,1.01702483e-01,2.39689421e-01,3.14043164e-01,4.89580862e-01
2.25000000e-02,1.69646003e+01,3.67235772e-02,1.08558431e-04,1.10009866e-01,1.02020209e-02,1.03266557e-01,2.39689421e-01,3.16542980e-01,4.89580862e-01
2.28000000e-02,1.71907950e+01,3.58116452e-02,1.08558431e-04,1.09367986e-01,1.02020209e-02,1.04820369e-01,2.39689421e-01,3.19008723e-01,4.89580862e-01
2.31000000e-02,1.74169897e+01,3.49229105e-02,1.08558431e-04,1.08713362e-01,1.02020209e-02,1.06363728e-01,2.39689421e-01,3.21440817e-01,4.89580862e-01
