x_m,tau_s,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-04,2.26194671e-01,2.55082991e-02,2.53217481e-02,1.86550944e-04
6.00000000e-04,4.52389342e-01,5.03626872e-02,4.96265487e-02,7.36138526e-04
9.00000000e-04,6.78584013e-01,7.45798719e-02,7.29458598e-02,1.63401205e-03
1.20000000e-03,9.04778684e-01,9.81761382e-02,9.53102646e-02,2.86587361e-03
1.50000000e-03,1.13097336e+00,1.21167360e-01,1.16749494e-01,4.41786575e-03
1.80000000e-03,1.35716803e+00,1.43569009e-01,1.37292449e-01,6.27655939e-03
2.10000000e-03,1.58336270e+00,1.65396165e-01,1.56967223e-01,8.42894212e-03
2.40000000e-03,1.80955737e+00,1.86663529e-01,1.75801122e-01,1.08624067e-02
2.70000000e-03,2.03575204e+00,2.07385425e-01,1.93820685e-01,1.35647401e-02
3.00000000e-03,2.26194671e+00,2.27575818e-01,2.11051705e-01,1.65241121e-02
3.30000000e-03,2.48814138e+00,2.47248316e-01,2.27519250e-01,1.97290656e-02
3.60000000e-03,2.71433605e+00,2.66416184e-01,2.43247679e-01,2.31685054e-02
3.90000000e-03,2.94053072e+00,2.85092349e-01,2.58260661e-01,2.68316885e-02
4.20000000e-03,3.16672539e+00,3.03289411e-01,2.72581197e-01,3.07082146e-02
4.50000000e-03,3.39292007e+00,3.21019649e-01,2.86231633e-01,3.47880159e-02
4.80000000e-03,3.61911474e+00,3.38295029e-01,2.99233681e-01,3.90613486e-02
5.10000000e-03,3.84530941e+00,3.55127216e-01,3.11608432e-01,4.35187831e-02
5.40000000e-03,4.07150408e+00,3.71527574e-01,3.23376379e-01,4.81511955e-02
5.70000000e-03,4.29769875e+00,3.87507182e-01,3.34557423e-01,5.29497590e-02
6.00000000e-03,4.52389342e+00,4.03076834e-01,3.45170898e-01,5.79059357e-02
6.30000000e-03,4.75008809e+00,4.18247050e-01,3.55235582e-01,6.30114679e-02
6.60000000e-03,4.97628276e+00,4.33028084e-01,3.64769713e-01,6.82583708e-02
6.90000000e-03,5.20247743e+00,4.47429924e-01,3.73791000e-01,7.36389243e-02
7.20000000e-03,5.42867211e+00,4.61462309e-01,3.82316643e-01,7.91456656e-02
7.50000000e-03,5.65486678e+00,4.75134724e-01,3.90363342e-01,8.47713820e-02
7.80000000e-03,5.88106145e+00,4.88456417e-01,3.97947314e-01,9.05091034e-02
8.10000000e-03,6.10725612e+00,5.01436397e-01,4.05084301e-01,9.63520959e-02
8.40000000e-03,6.33345079e+00,5.14083442e-01,4.11789588e-01,1.02293854e-01
8.70000000e-03,6.55964546e+00,5.26406110e-01,4.18078013e-01,1.08328096e-01
9.00000000e-03,6.78584013e+00,5.38412735e-01,4.23963980e-01,1.14448755e-01
9.30000000e-03,7.01203480e+00,5.50111442e-01,4.29461468e-01,1.20649975e-01
9.60000000e-03,7.23822947e+00,5.61510147e-01,4.34584046e-01,1.26926102e-01
9.90000000e-03,7.46442414e+00,5.72616563e-01,4.39344883e-01,1.33271681e-01
1.02000000e-02,7.69061882e+00,5.83438206e-01,4.43756757e-01,1.39681449e-01
