x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,2.50000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.12020538e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-04,2.26194671e-01,2.43622925e-01,6.33043703e-03,4.66377360e-05,6.42371250e-03,5.11956301e+01,0.00000000e+00,2.55082991e-02,2.53217481e-02,1.86550944e-04
6.00000000e-04,4.52389342e-01,2.37409328e-01,1.24066372e-02,1.84034631e-04,1.27747064e-02,5.11892791e+01,0.00000000e+00,5.03626872e-02,4.96265487e-02,7.36138526e-04
9.00000000e-04,6.78584013e-01,2.31355032e-01,1.82364650e-02,4.08503013e-04,1.90534710e-02,5.11830004e+01,0.00000000e+00,7.45798719e-02,7.29458598e-02,1.63401205e-03
1.20000000e-03,9.04778684e-01,2.25455965e-01,2.38275662e-02,7.16468403e-04,2.52605030e-02,5.11767933e+01,0.00000000e+00,9.81761382e-02,9.53102646e-02,2.86587361e-03
1.50000000e-03,1.13097336e+00,2.19708160e-01,2.91873735e-02,1.10446644e-03,3.13963064e-02,5.11706575e+01,0.00000000e+00,1.21167360e-01,1.16749494e-01,4.41786575e-03
1.80000000e-03,1.35716803e+00,2.14107748e-01,3.43231123e-02,1.56913985e-03,3.74613920e-02,5.11645925e+01,0.00000000e+00,1.43569009e-01,1.37292449e-01,6.27655939e-03
2.10000000e-03,1.58336270e+00,2.08650959e-01,3.92418058e-02,2.10723553e-03,4.34562769e-02,5.11585976e+01,0.00000000e+00,1.65396165e-01,1.56967223e-01,8.42894212e-03
2.40000000e-03,1.80955737e+00,2.03334118e-01,4.39502805e-02,2.71560168e-03,4.93814839e-02,5.11526724e+01,0.00000000e+00,1.86663529e-01,1.75801122e-01,1.08624067e-02
2.70000000e-03,2.03575204e+00,1.98153644e-01,4.84551712e-02,3.39118501e-03,5.52375413e-02,5.11468163e+01,0.00000000e+00,2.07385425e-01,1.93820685e-01,1.35647401e-02
