scenario_index,X EGDA,Y EGMA,Y EG
0.00000000e+00,4.73998101e-02,4.68288638e-02,5.70946313e-04
1.00000000e+00,1.26297771e-01,1.22068891e-01,4.22888077e-03
2.00000000e+00,1.49402675e-01,1.43407941e-01,5.99473416e-03
3.00000000e+00,3.62072489e-01,3.21845068e-01,4.02274212e-02
4.00000000e+00,2.04380166e-01,1.92153989e-01,1.22261772e-02
5.00000000e+00,4.69953761e-01,3.92727000e-01,7.72267606e-02
6.00000000e+00,5.32555075e-01,4.28200867e-01,1.04354209e-01
7.00000000e+00,8.76514085e-01,4.42559520e-01,4.33954565e-01
8.00000000e+00,5.73887555e-01,4.43016831e-01,1.30870724e-01
9.00000000e+00,9.04015100e-01,3.99592176e-01,5.04422924e-01
1.00000000e+01,9.38948744e-01,3.42831546e-01,5.96117198e-01
1.10000000e+01,9.98638450e-01,6.58918050e-02,9.32746645e-01
