scenario,label,temp_C,reactor.length_m,stream2.C_cat_M,T_C,tau_s,X_EGDA,Y_EGMA,Y_EG,S_EGMA,kappa1_1_s,kappa2_1_s,C_EGDA_out_M,C_EGMA_out_M,C_EG_out_M,C_AcOH_out_M,verification_error,invariant_drift,K1,K2,X_eq,Y_EGMA_eq,run_dir
0,"temp_C=70, length_m=0.06, C_cat_M=0.5",70.0,0.06,0.5,70.0,45.238934211693014,0.04739981009698513,0.04682886378381103,0.0005709463131737624,0.9879546708730291,0.00110172286786153,0.0005465580380527356,0.23815004747575372,0.011707215945952757,0.0001427365782934406,0.011992689102539655,2.198479592818714e-11,8.526512829121202e-14,0.6513912349142572,0.1628478087285643,0.9992608451992788,0.05289649341322511,s00__cat-H2SO4_rev_T70C_L60mm_ID4mm_EGDA0.5M_cat0.5M_Q0.5+0.5
1,"temp_C=70, length_m=0.06, C_cat_M=1.5",70.0,0.06,1.5,70.0,45.238934211693014,0.1262977713662944,0.12206889059841929,0.0042288807678756354,0.9665165844010793,0.00322688397210422,0.0016008375829036244,0.2184255571584264,0.03051722264960482,0.0010572201919689089,0.0326316630335426,2.196087756090037e-11,1.4210854715202004e-13,0.6513912349142572,0.1628478087285643,0.9991840284237088,0.0554984892382514,s01__cat-H2SO4_rev_T70C_L60mm_ID4mm_EGDA0.5M_cat1.5M_Q0.5+0.5
2,"temp_C=70, length_m=0.2, C_cat_M=0.5",70.0,0.2,0.5,70.0,150.79644737231007,0.14940267521200168,0.14340794105478719,0.005994734157214675,0.9598753225221168,0.00110172286786153,0.0005465580380527356,0.21264933119699958,0.035851985263696796,0.0014986835393036688,0.03884935234230403,2.1954653373068567e-11,1.1368683772161603e-13,0.6513912349142572,0.1628478087285643,0.9992608451992788,0.05289649341322511,s02__cat-H2SO4_rev_T70C_L200mm_ID4mm_EGDA0.5M_cat0.5M_Q0.5+0.5
3,"temp_C=70, length_m=0.2, C_cat_M=1.5",70.0,0.2,1.5,70.0,150.79644737231007,0.36207248899098965,0.3218450678333126,0.04022742115767748,0.8888967751463765,0.00322688397210422,0.0016008375829036244,0.1594818777522526,0.08046126695832816,0.01005685528941937,0.10057497753716683,2.1929152937971708e-11,1.4210854715202004e-13,0.6513912349142572,0.1628478087285643,0.9991840284237088,0.0554984892382514,s03__cat-H2SO4_rev_T70C_L200mm_ID4mm_EGDA0.5M_cat1.5M_Q0.5+0.5
4,"temp_C=100, length_m=0.06, C_cat_M=0.5",100.0,0.06,0.5,100.0,45.238934211693014,0.2043801664315109,0.19215398923621332,0.012226177195297653,0.9401792384810751,0.005189819619864257,0.002723904129135007,0.19890495839212227,0.04803849730905333,0.003056544298824413,0.05415158590670219,2.1395205052066046e-11,1.4210854715202004e-13,0.7499477253372502,0.18748693133431255,0.9994344677932636,0.04643077771806181,s04__cat-H2SO4_rev_T100C_L60mm_ID4mm_EGDA0.5M_cat0.5M_Q0.5+0.5
5,"temp_C=100, length_m=0.06, C_cat_M=1.5",100.0,0.06,1.5,100.0,45.238934211693014,0.46995376096072217,0.3927270003493727,0.07722676061134905,0.8356715765962262,0.015200688156685177,0.007978161144022831,0.13251155975981946,0.09818175008734317,0.01930669015283726,0.13679513039301766,2.1439933162170632e-11,2.5579538487363607e-13,0.7499477253372502,0.18748693133431255,0.9993752582801028,0.04874018428853211,s05__cat-H2SO4_rev_T100C_L60mm_ID4mm_EGDA0.5M_cat1.5M_Q0.5+0.5
6,"temp_C=100, length_m=0.2, C_cat_M=0.5",100.0,0.2,0.5,100.0,150.79644737231007,0.5325550754868044,0.42820086674811914,0.10435420873868503,0.8040499217037864,0.005189819619864257,0.002723904129135007,0.11686123112829891,0.10705021668702978,0.02608855218467126,0.15922732105637238,2.1097915081647045e-11,1.7053025658242404e-13,0.7499477253372502,0.18748693133431255,0.9994344677932636,0.04643077771806181,s06__cat-H2SO4_rev_T100C_L200mm_ID4mm_EGDA0.5M_cat0.5M_Q0.5+0.5
7,"temp_C=100, length_m=0.2, C_cat_M=1.5",100.0,0.2,1.5,100.0,150.79644737231007,0.8765140850902488,0.4425595202828245,0.43395456480742367,0.5049086236158511,0.015200688156685177,0.007978161144022831,0.030871478727437802,0.11063988007070613,0.10848864120185592,0.327617162474418,1.609244404399135e-10,1.9895196601282805e-13,0.7499477253372502,0.18748693133431255,0.9993752582801028,0.04874018428853211,s07__cat-H2SO4_rev_T100C_L200mm_ID4mm_EGDA0.5M_cat1.5M_Q0.5+0.5
8,"temp_C=130, length_m=0.06, C_cat_M=0.5",130.0,0.06,0.5,130.0,45.238934211693014,0.5738875549007769,0.4430168313675749,0.130870723533202,0.7719575508902105,0.01941149755383462,0.010688864453250421,0.10652811127480577,0.11075420784189373,0.0327176808833005,0.17618956960849463,6.265121754722713e-11,1.9895196601282805e-13,0.8454996391266307,0.21137490978165768,0.9995503334291476,0.041511352816079206,s08__cat-H2SO4_rev_T130C_L60mm_ID4mm_EGDA0.5M_cat0.5M_Q0.5+0.5
9,"temp_C=130, length_m=0.06, C_cat_M=1.5",130.0,0.06,1.5,130.0,45.238934211693014,0.9040150997978987,0.3995921755362064,0.5044229242616938,0.44201935966062855,0.056855178519251676,0.031307079475565006,0.023996225050525313,0.0998980438840516,0.12610573106542344,0.3521095060148983,1.7708517985326466e-10,1.7053025658242404e-13,0.8454996391266307,0.21137490978165768,0.9995029904440899,0.0435934031464833,s09__cat-H2SO4_rev_T130C_L60mm_ID4mm_EGDA0.5M_cat1.5M_Q0.5+0.5
10,"temp_C=130, length_m=0.2, C_cat_M=0.5",130.0,0.2,0.5,130.0,150.79644737231007,0.9389487444535676,0.34283154604564375,0.5961171984079237,0.36512274825518687,0.01941149755383462,0.010688864453250421,0.015262813886608094,0.08570788651141094,0.1490292996019809,0.38376648571537303,1.7707696420288244e-10,1.9895196601282805e-13,0.8454996391266307,0.21137490978165768,0.9995503334291476,0.041511352816079206,s10__cat-H2SO4_rev_T130C_L200mm_ID4mm_EGDA0.5M_cat0.5M_Q0.5+0.5
11,"temp_C=130, length_m=0.2, C_cat_M=1.5",130.0,0.2,1.5,130.0,150.79644737231007,0.9986384501705617,0.06589180502241129,0.93274664514815,0.06598164231625304,0.056855178519251676,0.031307079475565006,0.0003403874573595523,0.016472951255602823,0.2331866612870375,0.48284627382967793,1.7501655680263184e-10,2.5579538487363607e-13,0.8454996391266307,0.21137490978165768,0.9995029904440899,0.0435934031464833,s11__cat-H2SO4_rev_T130C_L200mm_ID4mm_EGDA0.5M_cat1.5M_Q0.5+0.5
