x_m,tau_s,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-03,7.53982237e-01,8.09099080e-04,8.08936634e-04,1.62446116e-07
2.00000000e-03,1.50796447e+00,1.61754048e-03,1.61689095e-03,6.49524562e-07
3.00000000e-03,2.26194671e+00,2.42532473e-03,2.42386389e-03,1.46083700e-06
4.00000000e-03,3.01592895e+00,3.23245235e-03,3.22985637e-03,2.59598712e-06
5.00000000e-03,3.76991118e+00,4.03892389e-03,4.03486932e-03,4.05457895e-06
6.00000000e-03,4.52389342e+00,4.84473987e-03,4.83890366e-03,5.83621689e-06
7.00000000e-03,5.27787566e+00,5.64990082e-03,5.64196032e-03,7.94050571e-06
8.00000000e-03,6.03185789e+00,6.45440727e-03,6.44404022e-03,1.03670505e-05
9.00000000e-03,6.78584013e+00,7.25825975e-03,7.24514429e-03,1.31154569e-05
1.00000000e-02,7.53982237e+00,8.06145877e-03,8.04527344e-03,1.61853307e-05
1.10000000e-02,8.29380461e+00,8.86400488e-03,8.84442861e-03,1.95762780e-05
1.20000000e-02,9.04778684e+00,9.66589860e-03,9.64261070e-03,2.32879056e-05
1.30000000e-02,9.80176908e+00,1.04671405e-02,1.04398206e-02,2.73198204e-05
1.40000000e-02,1.05557513e+01,1.12677310e-02,1.12360593e-02,3.16716298e-05
1.50000000e-02,1.13097336e+01,1.20676707e-02,1.20313277e-02,3.63429414e-05
1.60000000e-02,1.20637158e+01,1.28669601e-02,1.28256267e-02,4.13333633e-05
1.70000000e-02,1.28176980e+01,1.36655997e-02,1.36189572e-02,4.66425040e-05
1.80000000e-02,1.35716803e+01,1.44635902e-02,1.44113202e-02,5.22699722e-05
1.90000000e-02,1.43256625e+01,1.52609319e-02,1.52027165e-02,5.82153771e-05
2.00000000e-02,1.50796447e+01,1.60576254e-02,1.59931470e-02,6.44783283e-05
2.10000000e-02,1.58336270e+01,1.68536712e-02,1.67826128e-02,7.10584356e-05
2.20000000e-02,1.65876092e+01,1.76490699e-02,1.75711146e-02,7.79553093e-05
2.30000000e-02,1.73415914e+01,1.84438220e-02,1.83586534e-02,8.51685600e-05
2.40000000e-02,1.80955737e+01,1.92379279e-02,1.91452301e-02,9.26977987e-05
2.50000000e-02,1.88495559e+01,2.00313883e-02,1.99308457e-02,1.00542637e-04
2.60000000e-02,1.96035382e+01,2.08242037e-02,2.07155010e-02,1.08702686e-04
2.70000000e-02,2.03575204e+01,2.16163745e-02,2.14991969e-02,1.17177558e-04
2.80000000e-02,2.11115026e+01,2.24079013e-02,2.22819344e-02,1.25966866e-04
2.90000000e-02,2.18654849e+01,2.31987846e-02,2.30637143e-02,1.35070222e-04
3.00000000e-02,2.26194671e+01,2.39890249e-02,2.38445376e-02,1.44487240e-04
3.10000000e-02,2.33734493e+01,2.47786227e-02,2.46244052e-02,1.54217532e-04
3.20000000e-02,2.41274316e+01,2.55675786e-02,2.54033179e-02,1.64260714e-04
3.30000000e-02,2.48814138e+01,2.63558931e-02,2.61812767e-02,1.74616398e-04
3.40000000e-02,2.56353961e+01,2.71435667e-02,2.69582825e-02,1.85284200e-04
3.50000000e-02,2.63893783e+01,2.79305999e-02,2.77343362e-02,1.96263735e-04
3.60000000e-02,2.71433605e+01,2.87169933e-02,2.85094387e-02,2.07554618e-04
3.70000000e-02,2.78973428e+01,2.95027473e-02,2.92835908e-02,2.19156464e-04
3.80000000e-02,2.86513250e+01,3.02878624e-02,3.00567935e-02,2.31068890e-04
3.90000000e-02,2.94053072e+01,3.10723393e-02,3.08290477e-02,2.43291512e-04
4.00000000e-02,3.01592895e+01,3.18561783e-02,3.16003543e-02,2.55823947e-04
4.10000000e-02,3.09132717e+01,3.26393800e-02,3.23707142e-02,2.68665812e-04
4.20000000e-02,3.16672539e+01,3.34219450e-02,3.31401283e-02,2.81816724e-04
4.30000000e-02,3.24212362e+01,3.42038737e-02,3.39085974e-02,2.95276301e-04
4.40000000e-02,3.31752184e+01,3.49851666e-02,3.46761225e-02,3.09044162e-04
4.50000000e-02,3.39292007e+01,3.57658244e-02,3.54427044e-02,3.23119925e-04
4.60000000e-02,3.46831829e+01,3.65458474e-02,3.62083442e-02,3.37503209e-04
4.70000000e-02,3.54371651e+01,3.73252362e-02,3.69730425e-02,3.52193633e-04
4.80000000e-02,3.61911474e+01,3.81039913e-02,3.77368005e-02,3.67190817e-04
4.90000000e-02,3.69451296e+01,3.88821132e-02,3.84996188e-02,3.82494381e-04
5.00000000e-02,3.76991118e+01,3.96596024e-02,3.92614985e-02,3.98103945e-04
5.10000000e-02,3.84530941e+01,4.04364595e-02,4.00224404e-02,4.14019129e-04
5.20000000e-02,3.92070763e+01,4.12126850e-02,4.07824454e-02,4.30239556e-04
5.30000000e-02,3.99610586e+01,4.19882792e-02,4.15415144e-02,4.46764845e-04
5.40000000e-02,4.07150408e+01,4.27632429e-02,4.22996483e-02,4.63594620e-04
5.50000000e-02,4.14690230e+01,4.35375764e-02,4.30568479e-02,4.80728502e-04
5.60000000e-02,4.22230053e+01,4.43112804e-02,4.38131143e-02,4.98166113e-04
5.70000000e-02,4.29769875e+01,4.50843552e-02,4.45684481e-02,5.15907076e-04
5.80000000e-02,4.37309697e+01,4.58568014e-02,4.53228504e-02,5.33951015e-04
5.90000000e-02,4.44849520e+01,4.66286195e-02,4.60763220e-02,5.52297553e-04
6.00000000e-02,4.52389342e+01,4.73998101e-02,4.68288638e-02,5.70946313e-04
6.10000000e-02,4.59929164e+01,4.81703736e-02,4.75804767e-02,5.89896921e-04
6.20000000e-02,4.67468987e+01,4.89403105e-02,4.83311615e-02,6.09149000e-04
6.30000000e-02,4.75008809e+01,4.97096213e-02,4.90809192e-02,6.28702175e-04
6.40000000e-02,4.82548632e+01,5.04783066e-02,4.98297506e-02,6.48556073e-04
6.50000000e-02,4.90088454e+01,5.12463669e-02,5.05776566e-02,6.68710317e-04
6.60000000e-02,4.97628276e+01,5.20138026e-02,5.13246380e-02,6.89164535e-04
6.70000000e-02,5.05168099e+01,5.27806142e-02,5.20706959e-02,7.09918352e-04
6.80000000e-02,5.12707921e+01,5.35468023e-02,5.28158309e-02,7.30971396e-04
6.90000000e-02,5.20247743e+01,5.43123674e-02,5.35600441e-02,7.52323293e-04
7.00000000e-02,5.27787566e+01,5.50773100e-02,5.43033363e-02,7.73973670e-04
7.10000000e-02,5.35327388e+01,5.58416305e-02,5.50457083e-02,7.95922156e-04
7.20000000e-02,5.42867211e+01,5.66053295e-02,5.57871611e-02,8.18168378e-04
7.30000000e-02,5.50407033e+01,5.73684075e-02,5.65276955e-02,8.40711965e-04
7.40000000e-02,5.57946855e+01,5.81308649e-02,5.72673124e-02,8.63552545e-04
7.50000000e-02,5.65486678e+01,5.88927024e-02,5.80060126e-02,8.86689748e-04
7.60000000e-02,5.73026500e+01,5.96539203e-02,5.87437971e-02,9.10123203e-04
7.70000000e-02,5.80566322e+01,6.04145192e-02,5.94806666e-02,9.33852540e-04
7.80000000e-02,5.88106145e+01,6.11744996e-02,6.02166222e-02,9.57877389e-04
7.90000000e-02,5.95645967e+01,6.19338619e-02,6.09516645e-02,9.82197380e-04
8.00000000e-02,6.03185789e+01,6.26926068e-02,6.16857946e-02,1.00681215e-03
8.10000000e-02,6.10725612e+01,6.34507346e-02,6.24190133e-02,1.03172132e-03
8.20000000e-02,6.18265434e+01,6.42082459e-02,6.31513214e-02,1.05692452e-03
8.30000000e-02,6.25805257e+01,6.49651412e-02,6.38827198e-02,1.08242140e-03
8.40000000e-02,6.33345079e+01,6.57214209e-02,6.46132093e-02,1.10821157e-03
