x_m,tau_s,C_EGDA_mol_L,C_EGDA_eq_mol_L,C_EGMA_mol_L,C_EGMA_eq_mol_L,C_EG_mol_L,C_EG_eq_mol_L,C_AcOH_mol_L,C_AcOH_eq_mol_L
0.00000000e+00,0.00000000e+00,2.50000000e-01,1.41383052e-04,0.00000000e+00,1.16076944e-02,0.00000000e+00,2.38250923e-01,0.00000000e+00,4.88109539e-01
3.00000000e-04,2.26194671e-01,2.49714195e-01,1.41383052e-04,2.85719271e-04,1.16076944e-02,8.57929411e-08,2.38250923e-01,2.85890857e-04,4.88109539e-01
6.00000000e-04,4.52389342e-01,2.49428718e-01,1.41383052e-04,5.70938902e-04,1.16076944e-02,3.42971729e-07,2.38250923e-01,5.71624845e-04,4.88109539e-01
9.00000000e-04,6.78584013e-01,2.49143569e-01,1.41383052e-04,8.55659568e-04,1.16076944e-02,7.71234365e-07,2.38250923e-01,8.57202037e-04,4.88109539e-01
1.20000000e-03,9.04778684e-01,2.48858748e-01,1.41383052e-04,1.13988195e-03,1.16076944e-02,1.37027966e-06,2.38250923e-01,1.14262251e-03,4.88109539e-01
1.50000000e-03,1.13097336e+00,2.48574253e-01,1.41383052e-04,1.42360671e-03,1.16076944e-02,2.13980683e-06,2.38250923e-01,1.42788632e-03,4.88109539e-01
1.80000000e-03,1.35716803e+00,2.48290086e-01,1.41383052e-04,1.70683454e-03,1.16076944e-02,3.07951550e-06,2.38250923e-01,1.71299357e-03,4.88109539e-01
2.10000000e-03,1.58336270e+00,2.48006245e-01,1.41383052e-04,1.98956610e-03,1.16076944e-02,4.18910567e-06,2.38250923e-01,1.99794431e-03,4.88109539e-01
2.40000000e-03,1.80955737e+00,2.47722730e-01,1.41383052e-04,2.27180206e-03,1.16076944e-02,5.46827779e-06,2.38250923e-01,2.28273862e-03,4.88109539e-01
2.70000000e-03,2.03575204e+00,2.47439540e-01,1.41383052e-04,2.55354311e-03,1.16076944e-02,6.91673266e-06,2.38250923e-01,2.56737657e-03,4.88109539e-01
3.00000000e-03,2.26194671e+00,2.47156676e-01,1.41383052e-04,2.83478990e-03,1.16076944e-02,8.53417152e-06,2.38250923e-01,2.85185824e-03,4.88109539e-01
3.30000000e-03,2.48814138e+00,2.46874137e-01,1.41383052e-04,3.11554311e-03,1.16076944e-02,1.03202960e-05,2.38250923e-01,3.13618370e-03,4.88109539e-01
3.60000000e-03,2.71433605e+00,2.46591922e-01,1.41383052e-04,3.39580341e-03,1.16076944e-02,1.22748081e-05,2.38250923e-01,3.42035303e-03,4.88109539e-01
3.90000000e-03,2.94053072e+00,2.46310031e-01,1.41383052e-04,3.67557147e-03,1.16076944e-02,1.43974102e-05,2.38250923e-01,3.70436629e-03,4.88109539e-01
4.20000000e-03,3.16672539e+00,2.46028464e-01,1.41383052e-04,3.95484795e-03,1.16076944e-02,1.66878053e-05,2.38250923e-01,3.98822356e-03,4.88109539e-01
4.50000000e-03,3.39292007e+00,2.45747221e-01,1.41383052e-04,4.23363352e-03,1.16076944e-02,1.91456964e-05,2.38250923e-01,4.27192491e-03,4.88109539e-01
4.80000000e-03,3.61911474e+00,2.45466300e-01,1.41383052e-04,4.51192884e-03,1.16076944e-02,2.17707872e-05,2.38250923e-01,4.55547042e-03,4.88109539e-01
5.10000000e-03,3.84530941e+00,2.45185703e-01,1.41383052e-04,4.78973459e-03,1.16076944e-02,2.45627818e-05,2.38250923e-01,4.83886016e-03,4.88109539e-01
5.40000000e-03,4.07150408e+00,2.44905427e-01,1.41383052e-04,5.06705143e-03,1.16076944e-02,2.75213845e-05,2.38250923e-01,5.12209420e-03,4.88109539e-01
5.70000000e-03,4.29769875e+00,2.44625474e-01,1.41383052e-04,5.34388001e-03,1.16076944e-02,3.06463001e-05,2.38250923e-01,5.40517261e-03,4.88109539e-01
6.00000000e-03,4.52389342e+00,2.44345842e-01,1.41383052e-04,5.62022101e-03,1.16076944e-02,3.39372339e-05,2.38250923e-01,5.68809547e-03,4.88109539e-01
6.30000000e-03,4.75008809e+00,2.44066531e-01,1.41383052e-04,5.89607507e-03,1.16076944e-02,3.73938914e-05,2.38250923e-01,5.97086286e-03,4.88109539e-01
6.60000000e-03,4.97628276e+00,2.43787541e-01,1.41383052e-04,6.17144288e-03,1.16076944e-02,4.10159787e-05,2.38250923e-01,6.25347484e-03,4.88109539e-01
6.90000000e-03,5.20247743e+00,2.43508872e-01,1.41383052e-04,6.44632508e-03,1.16076944e-02,4.48032021e-05,2.38250923e-01,6.53593148e-03,4.88109539e-01
7.20000000e-03,5.42867211e+00,2.43230522e-01,1.41383052e-04,6.72072233e-03,1.16076944e-02,4.87552683e-05,2.38250923e-01,6.81823287e-03,4.88109539e-01
7.50000000e-03,5.65486678e+00,2.42952493e-01,1.41383052e-04,6.99463530e-03,1.16076944e-02,5.28718846e-05,2.38250923e-01,7.10037906e-03,4.88109539e-01
7.80000000e-03,5.88106145e+00,2.42674783e-01,1.41383052e-04,7.26806463e-03,1.16076944e-02,5.71527585e-05,2.38250923e-01,7.38237015e-03,4.88109539e-01
8.10000000e-03,6.10725612e+00,2.42397391e-01,1.41383052e-04,7.54101100e-03,1.16076944e-02,6.15975980e-05,2.38250923e-01,7.66420619e-03,4.88109539e-01
8.40000000e-03,6.33345079e+00,2.42120319e-01,1.41383052e-04,7.81347505e-03,1.16076944e-02,6.62061115e-05,2.38250923e-01,7.94588727e-03,4.88109539e-01
8.70000000e-03,6.55964546e+00,2.41843565e-01,1.41383052e-04,8.08545743e-03,1.16076944e-02,7.09780077e-05,2.38250923e-01,8.22741345e-03,4.88109539e-01
9.00000000e-03,6.78584013e+00,2.41567128e-01,1.41383052e-04,8.35695881e-03,1.16076944e-02,7.59129957e-05,2.38250923e-01,8.50878481e-03,4.88109539e-01
9.30000000e-03,7.01203480e+00,2.41291009e-01,1.41383052e-04,8.62797984e-03,1.16076944e-02,8.10107851e-05,2.38250923e-01,8.79000141e-03,4.88109539e-01
9.60000000e-03,7.23822947e+00,2.41015208e-01,1.41383052e-04,8.89852117e-03,1.16076944e-02,8.62710858e-05,2.38250923e-01,9.07106335e-03,4.88109539e-01
9.90000000e-03,7.46442414e+00,2.40739723e-01,1.41383052e-04,9.16858346e-03,1.16076944e-02,9.16936082e-05,2.38250923e-01,9.35197067e-03,4.88109539e-01
1.02000000e-02,7.69061882e+00,2.40464555e-01,1.41383052e-04,9.43816734e-03,1.16076944e-02,9.72780629e-05,2.38250923e-01,9.63272347e-03,4.88109539e-01
1.05000000e-02,7.91681349e+00,2.40189702e-01,1.41383052e-04,9.70727348e-03,1.16076944e-02,1.03024161e-04,2.38250923e-01,9.91332181e-03,4.88109539e-01
1.08000000e-02,8.14300816e+00,2.39915166e-01,1.41383052e-04,9.97590253e-03,1.16076944e-02,1.08931614e-04,2.38250923e-01,1.01937658e-02,4.88109539e-01
1.11000000e-02,8.36920283e+00,2.39640945e-01,1.41383052e-04,1.02440551e-02,1.16076944e-02,1.15000134e-04,2.38250923e-01,1.04740554e-02,4.88109539e-01
1.14000000e-02,8.59539750e+00,2.39367039e-01,1.41383052e-04,1.05117319e-02,1.16076944e-02,1.21229433e-04,2.38250923e-01,1.07541908e-02,4.88109539e-01
1.17000000e-02,8.82159217e+00,2.39093447e-01,1.41383052e-04,1.07789336e-02,1.16076944e-02,1.27619223e-04,2.38250923e-01,1.10341720e-02,4.88109539e-01
1.20000000e-02,9.04778684e+00,2.38820170e-01,1.41383052e-04,1.10456607e-02,1.16076944e-02,1.34169218e-04,2.38250923e-01,1.13139992e-02,4.88109539e-01
1.23000000e-02,9.27398151e+00,2.38547207e-01,1.41383052e-04,1.13119140e-02,1.16076944e-02,1.40879132e-04,2.38250923e-01,1.15936723e-02,4.88109539e-01
1.26000000e-02,9.50017618e+00,2.38274557e-01,1.41383052e-04,1.15776941e-02,1.16076944e-02,1.47748677e-04,2.38250923e-01,1.18731914e-02,4.88109539e-01
1.29000000e-02,9.72637086e+00,2.38002221e-01,1.41383052e-04,1.18430016e-02,1.16076944e-02,1.54777568e-04,2.38250923e-01,1.21525567e-02,4.88109539e-01
1.32000000e-02,9.95256553e+00,2.37730197e-01,1.41383052e-04,1.21078372e-02,1.16076944e-02,1.61965520e-04,2.38250923e-01,1.24317682e-02,4.88109539e-01
1.35000000e-02,1.01787602e+01,2.37458486e-01,1.41383052e-04,1.23722015e-02,1.16076944e-02,1.69312247e-04,2.38250923e-01,1.27108260e-02,4.88109539e-01
1.38000000e-02,1.04049549e+01,2.37187087e-01,1.41383052e-04,1.26360951e-02,1.16076944e-02,1.76817465e-04,2.38250923e-01,1.29897301e-02,4.88109539e-01
1.41000000e-02,1.06311495e+01,2.36916000e-01,1.41383052e-04,1.28995188e-02,1.16076944e-02,1.84480890e-04,2.38250923e-01,1.32684806e-02,4.88109539e-01
1.44000000e-02,1.08573442e+01,2.36645225e-01,1.41383052e-04,1.31624731e-02,1.16076944e-02,1.92302237e-04,2.38250923e-01,1.35470776e-02,4.88109539e-01
1.47000000e-02,1.10835389e+01,2.36374760e-01,1.41383052e-04,1.34249587e-02,1.16076944e-02,2.00281224e-04,2.38250923e-01,1.38255211e-02,4.88109539e-01
1.50000000e-02,1.13097336e+01,2.36104606e-01,1.41383052e-04,1.36869762e-02,1.16076944e-02,2.08417566e-04,2.38250923e-01,1.41038113e-02,4.88109539e-01
1.53000000e-02,1.15359282e+01,2.35834763e-01,1.41383052e-04,1.39485262e-02,1.16076944e-02,2.16710982e-04,2.38250923e-01,1.43819482e-02,4.88109539e-01
1.56000000e-02,1.17621229e+01,2.35565229e-01,1.41383052e-04,1.42096095e-02,1.16076944e-02,2.25161189e-04,2.38250923e-01,1.46599318e-02,4.88109539e-01
1.59000000e-02,1.19883176e+01,2.35296006e-01,1.41383052e-04,1.44702265e-02,1.16076944e-02,2.33767904e-04,2.38250923e-01,1.49377623e-02,4.88109539e-01
1.62000000e-02,1.22145122e+01,2.35027091e-01,1.41383052e-04,1.47303781e-02,1.16076944e-02,2.42530847e-04,2.38250923e-01,1.52154398e-02,4.88109539e-01
1.65000000e-02,1.24407069e+01,2.34758486e-01,1.41383052e-04,1.49900647e-02,1.16076944e-02,2.51449735e-04,2.38250923e-01,1.54929642e-02,4.88109539e-01
1.68000000e-02,1.26669016e+01,2.34490189e-01,1.41383052e-04,1.52492871e-02,1.16076944e-02,2.60524289e-04,2.38250923e-01,1.57703357e-02,4.88109539e-01
1.71000000e-02,1.28930963e+01,2.34222200e-01,1.41383052e-04,1.55080458e-02,1.16076944e-02,2.69754228e-04,2.38250923e-01,1.60475543e-02,4.88109539e-01
1.74000000e-02,1.31192909e+01,2.33954519e-01,1.41383052e-04,1.57663416e-02,1.16076944e-02,2.79139271e-04,2.38250923e-01,1.63246201e-02,4.88109539e-01
1.77000000e-02,1.33454856e+01,2.33687146e-01,1.41383052e-04,1.60241750e-02,1.16076944e-02,2.88679139e-04,2.38250923e-01,1.66015332e-02,4.88109539e-01
1.80000000e-02,1.35716803e+01,2.33420080e-01,1.41383052e-04,1.62815466e-02,1.16076944e-02,2.98373553e-04,2.38250923e-01,1.68782937e-02,4.88109539e-01
1.83000000e-02,1.37978749e+01,2.33153321e-01,1.41383052e-04,1.65384571e-02,1.16076944e-02,3.08222233e-04,2.38250923e-01,1.71549016e-02,4.88109539e-01
1.86000000e-02,1.40240696e+01,2.32886868e-01,1.41383052e-04,1.67949072e-02,1.16076944e-02,3.18224902e-04,2.38250923e-01,1.74313570e-02,4.88109539e-01
1.89000000e-02,1.42502643e+01,2.32620721e-01,1.41383052e-04,1.70508974e-02,1.16076944e-02,3.28381280e-04,2.38250923e-01,1.77076600e-02,4.88109539e-01
1.92000000e-02,1.44764589e+01,2.32354881e-01,1.41383052e-04,1.73064284e-02,1.16076944e-02,3.38691090e-04,2.38250923e-01,1.79838106e-02,4.88109539e-01
1.95000000e-02,1.47026536e+01,2.32089345e-01,1.41383052e-04,1.75615008e-02,1.16076944e-02,3.49154054e-04,2.38250923e-01,1.82598089e-02,4.88109539e-01
1.98000000e-02,1.49288483e+01,2.31824115e-01,1.41383052e-04,1.78161152e-02,1.16076944e-02,3.59769896e-04,2.38250923e-01,1.85356550e-02,4.88109539e-01
2.01000000e-02,1.51550430e+01,2.31559189e-01,1.41383052e-04,1.80702723e-02,1.16076944e-02,3.70538339e-04,2.38250923e-01,1.88113490e-02,4.88109539e-01
2.04000000e-02,1.53812376e+01,2.31294568e-01,1.41383052e-04,1.83239727e-02,1.16076944e-02,3.81459106e-04,2.38250923e-01,1.90868909e-02,4.88109539e-01
2.07000000e-02,1.56074323e+01,2.31030251e-01,1.41383052e-04,1.85772170e-02,1.16076944e-02,3.92531922e-04,2.38250923e-01,1.93622808e-02,4.88109539e-01
2.10000000e-02,1.58336270e+01,2.30766238e-01,1.41383052e-04,1.88300058e-02,1.16076944e-02,4.03756510e-04,2.38250923e-01,1.96375188e-02,4.88109539e-01
2.13000000e-02,1.60598216e+01,2.30502528e-01,1.41383052e-04,1.90823397e-02,1.16076944e-02,4.15132596e-04,2.38250923e-01,1.99126049e-02,4.88109539e-01
2.16000000e-02,1.62860163e+01,2.30239121e-01,1.41383052e-04,1.93342195e-02,1.16076944e-02,4.26659904e-04,2.38250923e-01,2.01875393e-02,4.88109539e-01
2.19000000e-02,1.65122110e+01,2.29976016e-01,1.41383052e-04,1.95856456e-02,1.16076944e-02,4.38338161e-04,2.38250923e-01,2.04623219e-02,4.88109539e-01
2.22000000e-02,1.67384057e+01,2.29713214e-01,1.41383052e-04,1.98366188e-02,1.16076944e-02,4.50167092e-04,2.38250923e-01,2.07369529e-02,4.88109539e-01
2.25000000e-02,1.69646003e+01,2.29450714e-01,1.41383052e-04,2.00871395e-02,1.16076944e-02,4.62146423e-04,2.38250923e-01,2.10114324e-02,4.88109539e-01
2.28000000e-02,1.71907950e+01,2.29188516e-01,1.41383052e-04,2.03372086e-02,1.16076944e-02,4.74275881e-04,2.38250923e-01,2.12857603e-02,4.88109539e-01
2.31000000e-02,1.74169897e+01,2.28926618e-01,1.41383052e-04,2.05868265e-02,1.16076944e-02,4.86555194e-04,2.38250923e-01,2.15599369e-02,4.88109539e-01
2.34000000e-02,1.76431843e+01,2.28665022e-01,1.41383052e-04,2.08359939e-02,1.16076944e-02,4.98984087e-04,2.38250923e-01,2.18339621e-02,4.88109539e-01
2.37000000e-02,1.78693790e+01,2.28403726e-01,1.41383052e-04,2.10847114e-02,1.16076944e-02,5.11562290e-04,2.38250923e-01,2.21078360e-02,4.88109539e-01
2.40000000e-02,1.80955737e+01,2.28142731e-01,1.41383052e-04,2.13329796e-02,1.16076944e-02,5.24289531e-04,2.38250923e-01,2.23815587e-02,4.88109539e-01
2.43000000e-02,1.83217684e+01,2.27882035e-01,1.41383052e-04,2.15807992e-02,1.16076944e-02,5.37165536e-04,2.38250923e-01,2.26551303e-02,4.88109539e-01
2.46000000e-02,1.85479630e+01,2.27621639e-01,1.41383052e-04,2.18281707e-02,1.16076944e-02,5.50190037e-04,2.38250923e-01,2.29285508e-02,4.88109539e-01
2.49000000e-02,1.87741577e+01,2.27361542e-01,1.41383052e-04,2.20750948e-02,1.16076944e-02,5.63362761e-04,2.38250923e-01,2.32018203e-02,4.88109539e-01
2.52000000e-02,1.90003524e+01,2.27101745e-01,1.41383052e-04,2.23215720e-02,1.16076944e-02,5.76683439e-04,2.38250923e-01,2.34749389e-02,4.88109539e-01
2.55000000e-02,1.92265470e+01,2.26842245e-01,1.41383052e-04,2.25676031e-02,1.16076944e-02,5.90151800e-04,2.38250923e-01,2.37479067e-02,4.88109539e-01
