x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,2.50000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.12020538e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-04,2.26194671e-01,2.49205965e-01,7.93372539e-04,6.62869579e-07,7.94698278e-04,5.12012591e+01,0.00000000e+00,3.17614163e-03,3.17349015e-03,2.65147832e-06
6.00000000e-04,4.52389342e-01,2.48414464e-01,1.58288933e-03,2.64715600e-06,1.58818364e-03,5.12004657e+01,0.00000000e+00,6.34214595e-03,6.33155732e-03,1.05886240e-05
9.00000000e-04,6.78584013e-01,2.47625489e-01,2.36856489e-03,5.94639163e-06,2.38045767e-03,5.11996734e+01,0.00000000e+00,9.49804511e-03,9.47425955e-03,2.37855665e-05
1.20000000e-03,9.04778684e-01,2.46839032e-01,3.15041367e-03,1.05541333e-05,3.17152193e-03,5.11988823e+01,0.00000000e+00,1.26438712e-02,1.26016547e-02,4.22165331e-05
1.50000000e-03,1.13097336e+00,2.46055086e-01,3.92845009e-03,1.64639617e-05,3.96137801e-03,5.11980925e+01,0.00000000e+00,1.57796562e-02,1.57138003e-02,6.58558469e-05
1.80000000e-03,1.35716803e+00,2.45273642e-01,4.70268851e-03,2.36694816e-05,4.75002747e-03,5.11973038e+01,0.00000000e+00,1.89054319e-02,1.88107540e-02,9.46779264e-05
2.10000000e-03,1.58336270e+00,2.44494692e-01,5.47314324e-03,3.21643213e-05,5.53747188e-03,5.11965164e+01,0.00000000e+00,2.20212302e-02,2.18925730e-02,1.28657285e-04
2.40000000e-03,1.80955737e+00,2.43718229e-01,6.23982855e-03,4.19421331e-05,6.32371282e-03,5.11957301e+01,0.00000000e+00,2.51270827e-02,2.49593142e-02,1.67768532e-04
2.70000000e-03,2.03575204e+00,2.42944245e-01,7.00275866e-03,5.29965925e-05,7.10875185e-03,5.11949451e+01,0.00000000e+00,2.82230210e-02,2.80110346e-02,2.11986370e-04
3.00000000e-03,2.26194671e+00,2.42172731e-01,7.76194774e-03,6.53213988e-05,7.89259053e-03,5.11941613e+01,0.00000000e+00,3.13090765e-02,3.10477909e-02,2.61285595e-04
3.30000000e-03,2.48814138e+00,2.41403680e-01,8.51740990e-03,7.89102751e-05,8.67523045e-03,5.11933786e+01,0.00000000e+00,3.43852807e-02,3.40696396e-02,3.15641100e-04
3.60000000e-03,2.71433605e+00,2.40637084e-01,9.26915923e-03,9.37569678e-05,9.45667316e-03,5.11925972e+01,0.00000000e+00,3.74516648e-02,3.70766369e-02,3.75027871e-04
3.90000000e-03,2.94053072e+00,2.39872935e-01,1.00172097e-02,1.09855247e-04,1.02369202e-02,5.11918169e+01,0.00000000e+00,4.05082599e-02,4.00688389e-02,4.39420987e-04
4.20000000e-03,3.16672539e+00,2.39111226e-01,1.07615754e-02,1.27198905e-04,1.10159732e-02,5.11910379e+01,0.00000000e+00,4.35550972e-02,4.30463016e-02,5.08795619e-04
4.50000000e-03,3.39292007e+00,2.38351948e-01,1.15022702e-02,1.45781758e-04,1.17938337e-02,5.11902600e+01,0.00000000e+00,4.65922077e-02,4.60090807e-02,5.83127031e-04
4.80000000e-03,3.61911474e+00,2.37595094e-01,1.22393079e-02,1.65597645e-04,1.25705032e-02,5.11894833e+01,0.00000000e+00,4.96196222e-02,4.89572316e-02,6.62390579e-04
5.10000000e-03,3.84530941e+00,2.36840657e-01,1.29727025e-02,1.86640428e-04,1.33459833e-02,5.11887079e+01,0.00000000e+00,5.26373716e-02,5.18908099e-02,7.46561713e-04
5.40000000e-03,4.07150408e+00,2.36088628e-01,1.37024676e-02,2.08903992e-04,1.41202756e-02,5.11879336e+01,0.00000000e+00,5.56454864e-02,5.48098705e-02,8.35615970e-04
5.70000000e-03,4.29769875e+00,2.35339001e-01,1.44286171e-02,2.32382246e-04,1.48933816e-02,5.11871605e+01,0.00000000e+00,5.86439974e-02,5.77144685e-02,9.29528982e-04
6.00000000e-03,4.52389342e+00,2.34591766e-01,1.51511646e-02,2.57069118e-04,1.56653029e-02,5.11863885e+01,0.00000000e+00,6.16329351e-02,6.06046586e-02,1.02827647e-03
6.30000000e-03,4.75008809e+00,2.33846918e-01,1.58701239e-02,2.82958564e-04,1.64360410e-02,5.11856178e+01,0.00000000e+00,6.46123297e-02,6.34804955e-02,1.13183426e-03
6.60000000e-03,4.97628276e+00,2.33104447e-01,1.65855084e-02,3.10044560e-04,1.72055975e-02,5.11848482e+01,0.00000000e+00,6.75822117e-02,6.63420335e-02,1.24017824e-03
6.90000000e-03,5.20247743e+00,2.32364347e-01,1.72973317e-02,3.38321104e-04,1.79739739e-02,5.11840799e+01,0.00000000e+00,7.05426113e-02,6.91893269e-02,1.35328441e-03
