T_C,X_EGDA,Y_EGMA,Y_EG
4.00000000e+01,7.37355549e-02,7.24245710e-02,1.31098385e-03
4.50000000e+01,1.01244698e-01,9.87054871e-02,2.53921040e-03
5.00000000e+01,1.36908884e-01,1.32117368e-01,4.79151598e-03
5.50000000e+01,1.82164090e-01,1.73359990e-01,8.80410048e-03
6.00000000e+01,2.38203163e-01,2.22465959e-01,1.57372035e-02
6.50000000e+01,3.05662485e-01,2.78334717e-01,2.73277679e-02
7.00000000e+01,3.84229252e-01,3.38212520e-01,4.60167321e-02
7.50000000e+01,4.72233842e-01,3.97269357e-01,7.49644855e-02
8.00000000e+01,5.66357627e-01,4.48537910e-01,1.17819717e-01
8.50000000e+01,6.61646605e-01,4.83559958e-01,1.78086648e-01
9.00000000e+01,7.52023963e-01,4.94019962e-01,2.58004001e-01
9.50000000e+01,8.31373409e-01,4.74301619e-01,3.57071790e-01
1.00000000e+02,8.94991834e-01,4.24255788e-01,4.70736046e-01
1.05000000e+02,9.40879759e-01,3.50793449e-01,5.90086310e-01
1.10000000e+02,9.70202796e-01,2.66847860e-01,7.03354935e-01
1.15000000e+02,9.86571116e-01,1.87367337e-01,7.99203779e-01
1.20000000e+02,9.94478253e-01,1.23995203e-01,8.70483050e-01
1.25000000e+02,9.97786552e-01,8.14138926e-02,9.16372660e-01
1.30000000e+02,9.99005585e-01,5.74186551e-02,9.41586930e-01
1.35000000e+02,9.99414101e-01,4.61013354e-02,9.53312765e-01
1.40000000e+02,9.99544033e-01,4.15325625e-02,9.58011470e-01
1.45000000e+02,9.99587129e-01,3.97638434e-02,9.59823286e-01
1.50000000e+02,9.99606196e-01,3.88940932e-02,9.60712102e-01
