x_m,C_EGMA_T40C,C_EGMA_T70C,C_EGMA_T100C,C_EGMA_T130C,C_EGMA_T150C
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-03,2.66116132e-04,1.67978248e-03,7.76194774e-03,2.71208895e-02,5.27629264e-02
6.00000000e-03,5.31816065e-04,3.34258566e-03,1.51511646e-02,4.94663820e-02,8.62927245e-02
9.00000000e-03,7.97100308e-04,4.98854298e-03,2.21815118e-02,6.76855413e-02,1.05990995e-01
1.20000000e-02,1.06196937e-03,6.61778693e-03,2.88663860e-02,8.23479489e-02,1.15892245e-01
1.50000000e-02,1.32642376e-03,8.23044908e-03,3.52187340e-02,9.39528529e-02,1.18990172e-01
1.80000000e-02,1.59046398e-03,9.82666005e-03,4.12510669e-02,1.02937317e-01,1.17489395e-01
2.10000000e-02,1.85409053e-03,1.14065495e-02,4.69754740e-02,1.09683469e-01,1.12998974e-01
2.40000000e-02,2.11730394e-03,1.29702463e-02,5.24036358e-02,1.14524955e-01,1.06680638e-01
2.70000000e-02,2.38010469e-03,1.45178783e-02,5.75468370e-02,1.17752659e-01,9.93619087e-02
3.00000000e-02,2.64249329e-03,1.60495724e-02,6.24159790e-02,1.19619797e-01,9.16221041e-02
3.30000000e-02,2.90447026e-03,1.75654546e-02,6.70215924e-02,1.20346420e-01,8.38574814e-02
3.60000000e-02,3.16603609e-03,1.90656502e-02,7.13738482e-02,1.20123419e-01,7.63303672e-02
3.90000000e-02,3.42719128e-03,2.05502834e-02,7.54825698e-02,1.19116066e-01,6.92060531e-02
4.20000000e-02,3.68793634e-03,2.20194776e-02,7.93572436e-02,1.17467144e-01,6.25803677e-02
4.50000000e-02,3.94827177e-03,2.34733552e-02,8.30070305e-02,1.15299721e-01,5.65001695e-02
4.80000000e-02,4.20819807e-03,2.49120380e-02,8.64407752e-02,1.12719600e-01,5.09784842e-02
5.10000000e-02,4.46771574e-03,2.63356466e-02,8.96670177e-02,1.09817479e-01,4.60056029e-02
5.40000000e-02,4.72682528e-03,2.77443011e-02,9.26940018e-02,1.06670860e-01,4.15571496e-02
5.70000000e-02,4.98552719e-03,2.91381203e-02,9.55296855e-02,1.03345730e-01,3.75998813e-02
6.00000000e-02,5.24382198e-03,3.05172226e-02,9.81817501e-02,9.98980439e-02,3.40958031e-02
6.30000000e-02,5.50171013e-03,3.18817253e-02,1.00657609e-01,9.63750231e-02,3.10050351e-02
6.60000000e-02,5.75919215e-03,3.32317449e-02,1.02964416e-01,9.28163068e-02,2.82877636e-02
6.90000000e-02,6.01626853e-03,3.45673971e-02,1.05109074e-01,8.92549566e-02,2.59055247e-02
7.20000000e-02,6.27293978e-03,3.58887967e-02,1.07098244e-01,8.57183403e-02,2.38220043e-02
7.50000000e-02,6.52920638e-03,3.71960578e-02,1.08938352e-01,8.22289077e-02,2.20034955e-02
7.80000000e-02,6.78506884e-03,3.84892936e-02,1.10635597e-01,7.88048689e-02,2.04191133e-02
8.10000000e-02,7.04052764e-03,3.97686165e-02,1.12195957e-01,7.54607890e-02,1.90408444e-02
8.40000000e-02,7.29558329e-03,4.10341380e-02,1.13625200e-01,7.22081076e-02,1.78434845e-02
8.70000000e-02,7.55023628e-03,4.22859691e-02,1.14928887e-01,6.90555921e-02,1.68045059e-02
9.00000000e-02,7.80448710e-03,4.35242196e-02,1.16112380e-01,6.60097339e-02,1.59038819e-02
9.30000000e-02,8.05833624e-03,4.47489989e-02,1.17180850e-01,6.30750923e-02,1.51238894e-02
9.60000000e-02,8.31178420e-03,4.59604153e-02,1.18139281e-01,6.02545949e-02,1.44489032e-02
9.90000000e-02,8.56483147e-03,4.71585765e-02,1.18992477e-01,5.75497977e-02,1.38651917e-02
1.02000000e-01,8.81747853e-03,4.83435894e-02,1.19745071e-01,5.49611107e-02,1.33607207e-02
1.05000000e-01,9.06972589e-03,4.95155601e-02,1.20401525e-01,5.24879935e-02,1.29249677e-02
1.08000000e-01,9.32157404e-03,5.06745939e-02,1.20966139e-01,5.01291241e-02,1.25487513e-02
1.11000000e-01,9.57302345e-03,5.18207954e-02,1.21443058e-01,4.78825441e-02,1.22240737e-02
1.14000000e-01,9.82407462e-03,5.29542685e-02,1.21836274e-01,4.57457842e-02,1.19439785e-02
1.17000000e-01,1.00747280e-02,5.40751162e-02,1.22149632e-01,4.37159714e-02,1.17024238e-02
1.20000000e-01,1.03249842e-02,5.51834409e-02,1.22386836e-01,4.17899206e-02,1.14941674e-02
1.23000000e-01,1.05748436e-02,5.62793442e-02,1.22551452e-01,3.99642133e-02,1.13146655e-02
1.26000000e-01,1.08243067e-02,5.73629270e-02,1.22646915e-01,3.82352637e-02,1.11599835e-02
1.29000000e-01,1.10733740e-02,5.84342893e-02,1.22676531e-01,3.65993751e-02,1.10267168e-02
1.32000000e-01,1.13220460e-02,5.94935307e-02,1.22643484e-01,3.50527869e-02,1.09119214e-02
1.35000000e-01,1.15703231e-02,6.05407498e-02,1.22550836e-01,3.35917148e-02,1.08130529e-02
1.38000000e-01,1.18182059e-02,6.15760446e-02,1.22401536e-01,3.22123828e-02,1.07279139e-02
1.41000000e-01,1.20656949e-02,6.25995124e-02,1.22198421e-01,3.09110513e-02,1.06546072e-02
1.44000000e-01,1.23127905e-02,6.36112498e-02,1.21944219e-01,2.96840384e-02,1.05914955e-02
1.47000000e-01,1.25594931e-02,6.46113526e-02,1.21641557e-01,2.85277382e-02,1.05371665e-02
1.50000000e-01,1.28058034e-02,6.55999160e-02,1.21292959e-01,2.74386349e-02,1.04904021e-02
1.53000000e-01,1.30517218e-02,6.65770346e-02,1.20900852e-01,2.64133138e-02,1.04501523e-02
1.56000000e-01,1.32972487e-02,6.75428020e-02,1.20467571e-01,2.54484696e-02,1.04155122e-02
1.59000000e-01,1.35423846e-02,6.84973115e-02,1.19995360e-01,2.45409126e-02,1.03857016e-02
1.62000000e-01,1.37871300e-02,6.94406555e-02,1.19486375e-01,2.36875728e-02,1.03600488e-02
