x_m,C_EGMA_T40C,C_EGMA_T60C,C_EGMA_T80C,C_EGMA_T100C,C_EGMA_T120C,C_EGMA_T150C,C_EGMA_T180C
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-04,8.37811467e-07,2.97767589e-06,9.16644245e-06,2.50097155e-05,6.15905409e-05,2.02584208e-04,5.66902387e-04
6.00000000e-04,1.67560238e-06,5.95508819e-06,1.83303524e-05,5.00003413e-05,1.23063948e-04,4.03880085e-04,1.12354796e-03
9.00000000e-04,2.51337273e-06,8.93223690e-06,2.74917304e-05,7.49718878e-05,1.84420393e-04,6.03893936e-04,1.67007904e-03
1.20000000e-03,3.35112252e-06,1.19091220e-05,3.66505770e-05,9.99243670e-05,2.45660050e-04,8.02632035e-04,2.20663618e-03
1.50000000e-03,4.18885175e-06,1.48857435e-05,4.58068927e-05,1.24857790e-04,3.06783088e-04,1.00010063e-03,2.73335814e-03
1.80000000e-03,5.02656042e-06,1.78621014e-05,5.49606781e-05,1.49772169e-04,3.67789680e-04,1.19630594e-03,3.25038196e-03
2.10000000e-03,5.86424853e-06,2.08381958e-05,6.41119334e-05,1.74667513e-04,4.28679997e-04,1.39125416e-03,3.75784292e-03
2.40000000e-03,6.70191609e-06,2.38140267e-05,7.32606595e-05,1.99543836e-04,4.89454209e-04,1.58495144e-03,4.25587464e-03
2.70000000e-03,7.53956308e-06,2.67895941e-05,8.24068570e-05,2.24401147e-04,5.50112487e-04,1.77740394e-03,4.74460901e-03
3.00000000e-03,8.37718952e-06,2.97648980e-05,9.15505263e-05,2.49239459e-04,6.10655001e-04,1.96861775e-03,5.22417630e-03
3.30000000e-03,9.21479539e-06,3.27399384e-05,1.00691668e-04,2.74058782e-04,6.71081922e-04,2.15859896e-03,5.69470510e-03
3.60000000e-03,1.00523807e-05,3.57147153e-05,1.09830283e-04,2.98859128e-04,7.31393420e-04,2.34735363e-03,6.15632239e-03
3.90000000e-03,1.08899455e-05,3.86892288e-05,1.18966371e-04,3.23640508e-04,7.91589664e-04,2.53488778e-03,6.60915355e-03
4.20000000e-03,1.17274897e-05,4.16634789e-05,1.28099933e-04,3.48402932e-04,8.51670823e-04,2.72120741e-03,7.05332237e-03
4.50000000e-03,1.25650133e-05,4.46374656e-05,1.37230969e-04,3.73146413e-04,9.11637067e-04,2.90631850e-03,7.48895108e-03
4.80000000e-03,1.34025164e-05,4.76111889e-05,1.46359481e-04,3.97870962e-04,9.71488566e-04,3.09022700e-03,7.91616034e-03
5.10000000e-03,1.42399989e-05,5.05846489e-05,1.55485468e-04,4.22576589e-04,1.03122549e-03,3.27293883e-03,8.33506930e-03
