T_C,X_EGDA,Y_EGMA,Y_EG
4.00000000e+01,3.34567273e-03,3.34307209e-03,2.60063413e-06
4.42307692e+01,4.43138031e-03,4.42676844e-03,4.61187005e-06
4.84615385e+01,5.82518346e-03,5.81712866e-03,8.05479979e-06
5.26923077e+01,7.60158237e-03,7.58771958e-03,1.38627939e-05
5.69230769e+01,9.84965962e-03,9.82613694e-03,2.35226819e-05
6.11538462e+01,1.26750694e-02,1.26356991e-02,3.93702615e-05
6.53846154e+01,1.62020632e-02,1.61370377e-02,6.50255768e-05
6.96153846e+01,2.05754660e-02,2.04694412e-02,1.06024775e-04
7.38461538e+01,2.59624776e-02,2.57917538e-02,1.70723812e-04
7.80769231e+01,3.25541343e-02,3.22825628e-02,2.71571468e-04
8.23076923e+01,4.05662095e-02,4.01393350e-02,4.26874426e-04
8.65384615e+01,5.02392728e-02,4.95760686e-02,6.63204129e-04
9.07692308e+01,6.18375608e-02,6.08189402e-02,1.01862053e-03
9.50000000e+01,7.56462441e-02,7.40993377e-02,1.54690640e-03
9.92307692e+01,9.19666164e-02,8.96436082e-02,2.32300818e-03
1.03461538e+02,1.11108687e-01,1.07658831e-01,3.44985607e-03
1.07692308e+02,1.33380657e-01,1.28313995e-01,5.06666280e-03
1.11923077e+02,1.59074821e-01,1.51716155e-01,7.35866616e-03
1.16153846e+02,1.88449560e-01,1.77881511e-01,1.05680487e-02
1.20384615e+02,2.21707398e-01,2.06701976e-01,1.50054221e-02
1.24615385e+02,2.58969484e-01,2.37908704e-01,2.10607804e-02
1.28846154e+02,3.00247461e-01,2.71035250e-01,2.92122112e-02
1.33076923e+02,3.45414472e-01,3.05384540e-01,4.00299312e-02
1.37307692e+02,3.94177915e-01,3.40005432e-01,5.41724827e-02
1.41538462e+02,4.46057518e-01,3.73686177e-01,7.23713407e-02
1.45769231e+02,5.00373062e-01,4.04973074e-01,9.53999882e-02
1.50000000e+02,5.56246495e-01,4.32222446e-01,1.24024049e-01
