T_C,X_EGDA,Y_EGMA,Y_EG
4.000000e+01,3.345673e-03,3.343072e-03,2.600634e-06
4.423077e+01,4.431380e-03,4.426768e-03,4.611870e-06
4.846154e+01,5.825183e-03,5.817129e-03,8.054800e-06
5.269231e+01,7.601582e-03,7.587720e-03,1.386279e-05
5.692308e+01,9.849660e-03,9.826137e-03,2.352268e-05
6.115385e+01,1.267507e-02,1.263570e-02,3.937026e-05
6.538462e+01,1.620206e-02,1.613704e-02,6.502558e-05
6.961538e+01,2.057547e-02,2.046944e-02,1.060248e-04
7.384615e+01,2.596248e-02,2.579175e-02,1.707238e-04
7.807692e+01,3.255413e-02,3.228256e-02,2.715715e-04
8.230769e+01,4.056621e-02,4.013934e-02,4.268744e-04
8.653846e+01,5.023927e-02,4.957607e-02,6.632041e-04
9.076923e+01,6.183756e-02,6.081894e-02,1.018621e-03
9.500000e+01,7.564624e-02,7.409934e-02,1.546906e-03
9.923077e+01,9.196662e-02,8.964361e-02,2.323008e-03
1.034615e+02,1.111087e-01,1.076588e-01,3.449856e-03
1.076923e+02,1.333807e-01,1.283140e-01,5.066663e-03
1.119231e+02,1.590748e-01,1.517162e-01,7.358666e-03
1.161538e+02,1.884496e-01,1.778815e-01,1.056805e-02
1.203846e+02,2.217074e-01,2.067020e-01,1.500542e-02
1.246154e+02,2.589695e-01,2.379087e-01,2.106078e-02
1.288462e+02,3.002475e-01,2.710352e-01,2.921221e-02
1.330769e+02,3.454145e-01,3.053845e-01,4.002993e-02
1.373077e+02,3.941779e-01,3.400054e-01,5.417248e-02
1.415385e+02,4.460575e-01,3.736862e-01,7.237134e-02
1.457692e+02,5.003731e-01,4.049731e-01,9.539999e-02
1.500000e+02,5.562465e-01,4.322224e-01,1.240240e-01
