strategy,round,n_experiments,n_data,T_C,Q_total_mL_min,C_EGDA_M,C_cat_M,k1_ref,Ea1_kJ,k2_ref,Ea2_kJ,K1_ref,K2_ref,sigma_lnk1,sigma_Ea1_kJ,sigma_lnk2,sigma_Ea2_kJ,sigma_lnK1,sigma_lnK2,logdet_F,d_criterion,max_rel_ci_pct,mean_rel_err_pct
A,1,1,4,40.0,1.0,1.0,0.5,1.073242e-03,6.586020e+01,3.923784e-05,1.147113e+02,2.142261e-01,1.562099e-02,1.8578e+00,1.2952e-01,9.6703e+04,2.2297e+03,4.1455e-03,1.5955e-03,-inf,inf,inf,76.467
A,2,2,8,45.0,1.0,1.0,0.5,4.688025e-03,1.200000e+02,3.469420e-02,2.000000e+01,4.359685e+00,1.030222e+00,5.0514e+00,2.7478e+02,3.8771e+01,2.1311e+03,6.0510e-03,1.2450e+00,-inf,inf,100549475868369542086456188860366848.000,1270.144
A,3,3,12,50.0,1.0,1.0,0.5,1.467015e-03,6.664791e+01,3.469420e-02,2.000000e+01,5.521054e-01,1.456583e+00,1.7732e+00,1.1857e+02,1.2622e+01,8.7506e+02,1.4630e-02,2.7103e-01,-inf,inf,5548982041173.683,1238.119
A,4,4,16,55.0,1.0,1.0,0.5,1.013059e-03,4.559476e+01,3.469420e-02,2.000000e+01,7.639104e-02,1.544370e+00,8.7038e+00,3.3948e+02,9.4075e+01,3.1643e+03,1.9645e+06,1.2013e+07,-inf,inf,inf,1251.492
A,5,5,20,60.0,1.0,1.0,0.5,6.688781e-04,2.288562e+01,4.501517e-04,2.000000e+01,6.180174e-02,1.545030e-02,1.4508e+01,3.8195e+02,2.0144e+02,2.0662e+04,4.7779e+06,1.1237e+03,-inf,inf,inf,56.006
A,6,6,24,65.0,1.0,1.0,0.5,9.179478e-04,5.163203e+01,3.856553e-05,9.577313e+01,6.822736e-02,1.547086e-02,1.7620e+00,1.0826e+02,1.3164e+03,2.6479e+05,2.8145e+05,3.1143e+01,-inf,inf,inf,66.866
A,7,7,28,70.0,1.0,1.0,0.5,8.703984e-04,4.281624e+01,3.854912e-05,2.003849e+01,6.735330e-02,1.320187e+00,1.2232e+00,7.7264e+01,9.4622e+02,1.0830e+05,1.9752e+05,1.6613e-01,-inf,inf,inf,341.803
A,8,8,32,75.0,1.0,1.0,0.5,8.737463e-04,4.396358e+01,3.854912e-05,2.000220e+01,1.320600e+00,1.320187e+00,6.3896e-01,5.2444e+01,9.4800e+02,7.6601e+04,1.7601e+06,1.3512e+01,-inf,inf,inf,334.608
A,9,9,36,80.0,1.0,1.0,0.5,8.735284e-04,3.897262e+01,3.854912e-05,4.501370e+01,6.133457e+00,1.320187e+00,2.1022e-01,1.3928e+01,9.1062e+02,5.2000e+04,1.9650e+01,1.1578e+00,-inf,inf,inf,413.830
A,10,10,40,85.0,1.0,1.0,0.5,8.426581e-04,4.675625e+01,3.854912e-05,2.049683e+01,1.905985e+00,1.513268e+00,2.4071e-01,2.8892e+01,8.6860e+02,4.1287e+04,6.3439e+05,7.0572e-01,-inf,inf,inf,392.930
