scenario,strategy,seed,round,acquisition_order,T_C,Q1_mL_min,Q2_mL_min,Q_total_mL_min,C_EGDA_M,C_cat_M,z_m,z_over_L,species,c_measured_M,sigma_M,sigma_source,ci95_lo_M,ci95_hi_M,censored,qc_flags,observation_mode,best_model,c_model_observed_M,c_model_reactor_M,residual_M,standardized_residual,c_true_reactor_M,error_vs_true_M,cov_M2_with_EGDA,cov_M2_with_EGMA,cov_M2_with_EG,cov_M2_with_AcOH
S3_transport,A,7,1,1,40.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGDA,0.488792417263137,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: EGMA,nmr,wls,0.4976178548593678,0.4976178548593678,-0.008825437596230834,nan,0.490330985946404,-0.0015385686832670165,,,,
S3_transport,A,7,1,1,40.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGMA,0.001564193528995341,nan,assumed_noise_model,nan,nan,1,WARN nonnegativity active: EGMA,nmr,wls,0.0023820026696004834,0.0023820026696004834,-0.0008178091406051424,nan,0.009618000883521372,-0.008053807354526031,,,,
S3_transport,A,7,1,1,40.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EG,0.00029687716494430656,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: EGMA,nmr,wls,1.42471031740085e-07,1.42471031740085e-07,0.00029673469391256645,nan,5.1013170074633604e-05,0.00024586399486967294,,,,
S3_transport,A,7,1,1,40.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,AcOH,0.0016771831240236779,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: EGMA,nmr,wls,0.002382287611663964,0.002382287611663964,-0.0007051044876402862,nan,0.00972002722367057,-0.008042844099646894,,,,
S3_transport,A,7,2,2,60.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGDA,0.4676850055372102,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.4767466537856355,0.4767466537856355,-0.009061648248425314,nan,0.47713243952296935,-0.009447433985759146,,,,
S3_transport,A,7,2,2,60.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGMA,0.027294902499744183,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.0232322106516263,0.0232322106516263,0.004062691848117882,nan,0.022520482730333413,0.00477441976941077,,,,
S3_transport,A,7,2,2,60.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EG,-7.541241531400602e-05,nan,assumed_noise_model,nan,nan,0,,nmr,wls,2.1135562738061024e-05,2.1135562738061024e-05,-9.654797805206704e-05,nan,0.0003470777466972911,-0.00042249016201129715,,,,
S3_transport,A,7,2,2,60.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,AcOH,0.016831506855219534,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.02327448177710254,0.02327448177710254,-0.006442974921883008,nan,0.023214638223728025,-0.006383131368508491,,,,
S3_transport,A,7,3,3,70.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGDA,0.47055871850226233,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.47119912202094366,0.47119912202094366,-0.0006404035186813317,nan,0.466127609116572,0.004431109385690357,,,,
S3_transport,A,7,3,3,70.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGMA,0.028927751516423152,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.028767217169917234,0.028767217169917234,0.00016053434650591808,nan,0.03303656184054422,-0.004108810324121064,,,,
S3_transport,A,7,3,3,70.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EG,0.0014108361074029656,nan,assumed_noise_model,nan,nan,0,,nmr,wls,3.366080913881504e-05,3.366080913881504e-05,0.0013771752982641506,nan,0.0008358290428837467,0.0005750070645192188,,,,
S3_transport,A,7,3,3,70.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,AcOH,0.022851871382633903,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.0288345387881942,0.0288345387881942,-0.005982667405560298,nan,0.0347082199263117,-0.011856348543677796,,,,
S3_transport,A,7,4,4,90.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGDA,0.4252038437518381,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.43728437959424565,0.43728437959424565,-0.012080535842407536,nan,0.4310329563489239,-0.005829112597085795,,,,
S3_transport,A,7,4,4,90.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGMA,0.05762901712426535,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.0597130326973433,0.0597130326973433,-0.0020840155730779478,nan,0.0648146475660579,-0.007185630441792545,,,,
S3_transport,A,7,4,4,90.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EG,0.00414928621006516,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.003002587708411038,0.003002587708411038,0.0011466985016541221,nan,0.0041523960850183336,-3.1098749531735526e-06,,,,
S3_transport,A,7,4,4,90.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,AcOH,0.06361009653598292,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.0657182081141654,0.0657182081141654,-0.002108111578182484,nan,0.07311943973609474,-0.00950934320011182,,,,
