scenario,strategy,seed,round,rank,selected,governor_state,design_mode,T_C,Q1_mL_min,Q2_mL_min,Q_total_mL_min,C_EGDA_M,C_cat_M,n_positions,z_positions_m,screen_score,eig_evaluated,eig_param,eig_model,resource_penalty,utility_total,beta_model_weight
S3_transport,F,7,2,1,0,NORMAL_LEARNING,eig,160.0,0.5,0.5,1.0,1.0,1.0,10,0.00792;0.02752;0.031832;0.036144;0.04124;0.08044;0.16668;0.191376;0.195688;0.2,107.20317578973022,1,4.158824183906815,0.0,0.0,4.158824183906815,1.0
S3_transport,F,7,2,2,1,NORMAL_LEARNING,eig,160.0,0.25,0.25,0.5,1.0,1.0,10,0.004;0.011448;0.01576;0.020072;0.03536;0.04124;0.08436;0.191376;0.195688;0.2,107.15301165625466,1,4.158883082995726,0.0,0.0,4.158883082995726,1.0
S3_transport,F,7,2,3,0,NORMAL_LEARNING,eig,150.0,0.25,0.25,0.5,1.0,1.0,10,0.00596;0.019288;0.0236;0.027912;0.032224;0.06476;0.12552;0.191376;0.195688;0.2,107.1499588186984,1,4.158883064102447,0.0,0.0,4.158883064102447,1.0
S3_transport,F,7,2,4,0,NORMAL_LEARNING,eig,140.0,0.25,0.25,0.5,1.0,1.0,10,0.00596;0.010272;0.031048;0.03536;0.039672;0.043984;0.18628;0.191376;0.195688;0.2,107.12834097057856,1,4.1588716745000145,0.0,0.0,4.1588716745000145,1.0
S3_transport,F,7,2,5,0,NORMAL_LEARNING,eig,160.0,0.25,0.25,0.5,1.0,0.5,10,0.023208;0.02752;0.031832;0.06084;0.065152;0.069464;0.16472;0.191376;0.195688;0.2,107.12812783085211,1,4.15888119671643,0.0,0.0,4.15888119671643,1.0
S3_transport,F,7,2,6,0,NORMAL_LEARNING,eig,150.0,0.5,0.5,1.0,1.0,1.0,10,0.00988;0.014192;0.042808;0.04712;0.051432;0.055744;0.18628;0.191376;0.195688;0.2,107.03477042946702,0,nan,nan,nan,nan,1.0
S3_transport,F,7,3,1,0,NORMAL_LEARNING,eig,110.0,0.25,0.25,0.5,1.0,1.0,10,0.151;0.15688;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,20.550140963867477,1,4.072494960495102,0.0,0.0,4.072494960495102,1.0
S3_transport,F,7,3,2,0,NORMAL_LEARNING,eig,120.0,0.25,0.25,0.5,1.0,1.0,10,0.151;0.15688;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,20.252177577901833,1,3.986306919587303,0.0,0.0,3.986306919587303,1.0
S3_transport,F,7,3,3,0,NORMAL_LEARNING,eig,100.0,0.25,0.25,0.5,1.0,1.0,10,0.151;0.15688;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,20.018526697113224,1,4.067973268158013,0.0,0.0,4.067973268158013,1.0
S3_transport,F,7,3,4,1,NORMAL_LEARNING,eig,130.0,0.25,0.25,0.5,1.0,1.0,10,0.115328;0.11964;0.123952;0.128264;0.134144;0.13924;0.14512;0.151;0.195688;0.2,19.111024664896803,1,4.111980199269857,0.0,0.0,4.111980199269857,1.0
S3_transport,F,7,3,5,0,NORMAL_LEARNING,eig,90.0,0.25,0.25,0.5,1.0,1.0,10,0.151;0.15688;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,18.836105528839397,1,4.091460280606401,0.0,0.0,4.091460280606401,1.0
S3_transport,F,7,3,6,0,NORMAL_LEARNING,eig,120.0,0.25,0.25,0.5,1.0,0.5,10,0.151;0.15688;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,18.73052082323384,0,nan,nan,nan,nan,1.0
S3_transport,F,7,4,1,0,MODEL_INADEQUATE,diagnostic,100.0,0.25,0.25,0.5,1.0,1.0,10,0.151;0.15688;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,4.562128465418404,1,0.0,1.140532116354601,0.0,1.140532116354601,nan
