scenario,strategy,seed,round,acquisition_order,attempt,disposition,assimilated,z_m,z_over_L,T_C,Q1_mL_min,Q2_mL_min,Q_total_mL_min,C_EGDA_M,C_cat_M,species,conc_fitted_M,sigma_M,censored,qc_flags,qc_fail,residual_rms,fit_condition_number,observation_mode,source
S3_transport,A,7,1,1,1,accepted,1,0.2,1.0,40.0,0.5,0.5,1.0,1.0,0.5,EGDA,0.488792417263137,nan,0,WARN nonnegativity active: EGMA,0,0.23019551721773854,2.575087218747609,nmr,assimilated_measurement
S3_transport,A,7,1,1,1,accepted,1,0.2,1.0,40.0,0.5,0.5,1.0,1.0,0.5,EGMA,0.001564193528995341,nan,1,WARN nonnegativity active: EGMA,0,0.23019551721773854,2.575087218747609,nmr,assimilated_measurement
S3_transport,A,7,1,1,1,accepted,1,0.2,1.0,40.0,0.5,0.5,1.0,1.0,0.5,EG,0.00029687716494430656,nan,0,WARN nonnegativity active: EGMA,0,0.23019551721773854,2.575087218747609,nmr,assimilated_measurement
S3_transport,A,7,1,1,1,accepted,1,0.2,1.0,40.0,0.5,0.5,1.0,1.0,0.5,AcOH,0.0016771831240236779,nan,0,WARN nonnegativity active: EGMA,0,0.23019551721773854,2.575087218747609,nmr,assimilated_measurement
S3_transport,A,7,2,2,1,accepted,1,0.2,1.0,60.0,0.5,0.5,1.0,1.0,0.5,EGDA,0.4676850055372102,nan,0,,0,0.45461122481858174,2.5234890711716065,nmr,assimilated_measurement
S3_transport,A,7,2,2,1,accepted,1,0.2,1.0,60.0,0.5,0.5,1.0,1.0,0.5,EGMA,0.027294902499744183,nan,0,,0,0.45461122481858174,2.5234890711716065,nmr,assimilated_measurement
S3_transport,A,7,2,2,1,accepted,1,0.2,1.0,60.0,0.5,0.5,1.0,1.0,0.5,EG,-7.541241531400602e-05,nan,0,,0,0.45461122481858174,2.5234890711716065,nmr,assimilated_measurement
S3_transport,A,7,2,2,1,accepted,1,0.2,1.0,60.0,0.5,0.5,1.0,1.0,0.5,AcOH,0.016831506855219534,nan,0,,0,0.45461122481858174,2.5234890711716065,nmr,assimilated_measurement
S3_transport,A,7,3,3,1,accepted,1,0.2,1.0,70.0,0.5,0.5,1.0,1.0,0.5,EGDA,0.47055871850226233,nan,0,,0,0.2640784707855186,2.6986480341530616,nmr,assimilated_measurement
S3_transport,A,7,3,3,1,accepted,1,0.2,1.0,70.0,0.5,0.5,1.0,1.0,0.5,EGMA,0.028927751516423152,nan,0,,0,0.2640784707855186,2.6986480341530616,nmr,assimilated_measurement
