scenario,strategy,seed,round,observation_mode,qc_gate_active,n_acquisition_attempts,n_accepted,n_rejected,n_reacquired,reject_fraction,consecutive_rejects_after_round,max_consecutive_rejects_so_far,rejects_in_last_8_acquisitions,failure_reasons,gate_tripped_this_campaign,stop_reason
S3_transport,A,7,1,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,A,7,2,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,A,7,3,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,A,7,4,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,A,7,5,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,A,7,6,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,A,7,7,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,A,7,8,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,B,7,1,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,B,7,2,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,B,7,3,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,B,7,4,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,B,7,5,nmr,0,10,10,0,0,0.0,0,0,0,FAIL residual rms 0.565 >> noise scale 0.0692 - lineshape model inadequate?,0,budget exhausted
S3_transport,B,7,6,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,B,7,7,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,B,7,8,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,C,7,1,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,C,7,2,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,C,7,3,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,C,7,4,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,C,7,5,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,C,7,6,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,C,7,7,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,C,7,8,nmr,0,1,1,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,D,7,1,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,D,7,2,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,D,7,3,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,D,7,4,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,D,7,5,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,D,7,6,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,D,7,7,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,D,7,8,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,E,7,1,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,E,7,2,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,E,7,3,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,E,7,4,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,E,7,5,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,E,7,6,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,E,7,7,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,E,7,8,nmr,0,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,F,7,1,nmr,1,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,F,7,2,nmr,1,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,F,7,3,nmr,1,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,F,7,4,nmr,1,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,F,7,5,nmr,1,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,F,7,6,nmr,1,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,F,7,7,nmr,1,10,10,0,0,0.0,0,0,0,,0,budget exhausted
S3_transport,F,7,8,nmr,1,11,10,0,1,0.0,0,0,0,FAIL residual rms 0.729 >> noise scale 0.0705 - lineshape model inadequate?,0,budget exhausted
