scenario,strategy,seed,event_index,event_kind,d_time_s,d_egda_mol,d_acid_mol,d_liquid_mL,d_waste_mL,d_sample_mL,d_nmr_acquisitions,d_nmr_reacquisitions,d_qc_rejected,d_capillary_travel_m,d_condition_changes,d_temperature_changes,d_energy_kJ,d_reactor_conditions,d_spatial_samples,cum_time_s,cum_egda_mol,cum_acid_mol,cum_liquid_mL,cum_waste_mL,cum_sample_mL,cum_nmr_acquisitions,cum_nmr_reacquisitions,cum_qc_rejected,cum_capillary_travel_m,cum_condition_changes,cum_temperature_changes,cum_energy_kJ,cum_reactor_conditions,cum_spatial_samples
S3_transport,A,7,1,condition_change,554.1769440932396,0.004618141200776997,0.0023090706003884983,9.236282401553993,9.236282401553993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5791149065774353,1.0,0.0,554.1769440932396,0.004618141200776997,0.0023090706003884983,9.236282401553993,9.236282401553993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5791149065774353,1.0,0.0
S3_transport,A,7,2,acquisition,89.99556597811264,0.0007499630498176053,0.00037498152490880266,1.4999260996352106,2.2499260996352106,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.09404536644712769,0.0,1.0,644.1725100713522,0.005368104250594602,0.002684052125297301,10.736208501189203,11.486208501189203,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.6731602730245629,1.0,1.0
S3_transport,A,7,3,condition_change,954.1769440932396,0.00795147453411033,0.003975737267055165,15.90294906822066,15.90294906822066,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.326601448680682,1.0,0.0,1598.3494541645919,0.013319578784704932,0.006659789392352466,26.639157569409864,27.389157569409864,0.75,1.0,0.0,0.0,0.0,1.0,1.0,12.999761721705244,2.0,1.0
S3_transport,A,7,4,acquisition,89.99556597811264,0.0007499630498176053,0.00037498152490880266,1.4999260996352106,2.2499260996352106,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.2194391883766313,0.0,1.0,1688.3450201427045,0.014069541834522538,0.007034770917261269,28.139083669045075,29.639083669045075,1.5,2.0,0.0,0.0,0.0,1.0,1.0,13.219200910081875,2.0,2.0
S3_transport,A,7,5,condition_change,754.1769440932396,0.006284807867443664,0.003142403933721832,12.569615734887327,12.569615734887327,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.364344719732306,1.0,0.0,2442.5219642359443,0.0203543497019662,0.0101771748509831,40.7086994039324,42.2086994039324,1.5,2.0,0.0,0.0,0.0,2.0,2.0,20.583545629814182,3.0,2.0
S3_transport,A,7,6,acquisition,89.99556597811264,0.0007499630498176053,0.00037498152490880266,1.4999260996352106,2.2499260996352106,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.2821360993413831,0.0,1.0,2532.517530214057,0.021104312751783805,0.010552156375891903,42.20862550356761,44.45862550356761,2.25,3.0,0.0,0.0,0.0,2.0,2.0,20.865681729155565,3.0,3.0
S3_transport,A,7,7,condition_change,954.1769440932396,0.00795147453411033,0.003975737267055165,15.90294906822066,15.90294906822066,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.320831261835552,1.0,0.0,3486.6944743072963,0.029055787285894134,0.014527893642947067,58.11157457178827,60.36157457178827,2.25,3.0,0.0,0.0,0.0,3.0,3.0,35.18651299099112,4.0,3.0
S3_transport,A,7,8,acquisition,89.99556597811264,0.0007499630498176053,0.00037498152490880266,1.4999260996352106,2.2499260996352106,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.40752992127088666,0.0,1.0,3576.690040285409,0.02980575033571174,0.01490287516785587,59.61150067142348,62.61150067142348,3.0,4.0,0.0,0.0,0.0,3.0,3.0,35.594042912262005,4.0,4.0
S3_transport,A,7,9,condition_change,954.1769440932396,0.00795147453411033,0.003975737267055165,15.90294906822066,15.90294906822066,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.650317803938801,1.0,0.0,4530.866984378648,0.03775722486982207,0.018878612434911034,75.51444973964414,78.51444973964414,3.0,4.0,0.0,0.0,0.0,4.0,4.0,51.2443607162008,5.0,4.0
S3_transport,A,7,10,acquisition,89.99556597811264,0.0007499630498176053,0.00037498152490880266,1.4999260996352106,2.2499260996352106,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.5329237432003903,0.0,1.0,4620.862550356761,0.038507187919639675,0.019253593959819838,77.01437583927935,80.76437583927935,3.75,5.0,0.0,0.0,0.0,4.0,4.0,51.777284459401194,5.0,5.0
S3_transport,A,7,11,condition_change,954.1769440932396,0.00795147453411033,0.003975737267055165,15.90294906822066,15.90294906822066,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.979804346042048,1.0,0.0,5575.03949445,0.04645866245375001,0.023229331226875004,92.91732490750002,96.66732490750002,3.75,5.0,0.0,0.0,0.0,5.0,5.0,68.75708880544325,6.0,5.0
