scenario,strategy,seed,round,cum_acid_mol_mol,delta_acid_mol_mol,cum_capillary_travel_m_m,delta_capillary_travel_m_m,cum_condition_changes_count,delta_condition_changes_count,cum_egda_mol_mol,delta_egda_mol_mol,cum_energy_kJ_kJ,delta_energy_kJ_kJ,cum_liquid_mL_mL,delta_liquid_mL_mL,cum_nmr_acquisitions_count,delta_nmr_acquisitions_count,cum_nmr_reacquisitions_count,delta_nmr_reacquisitions_count,cum_qc_rejected_count,delta_qc_rejected_count,cum_reactor_conditions_count,delta_reactor_conditions_count,cum_sample_mL_mL,delta_sample_mL_mL,cum_spatial_samples_count,delta_spatial_samples_count,cum_temperature_changes_count,delta_temperature_changes_count,cum_time_s_s,delta_time_s_s,cum_waste_mL_mL,delta_waste_mL_mL
S3_transport,A,7,1,0.002684052125297301,0.002684052125297301,0.0,0.0,0.0,0.0,0.005368104250594602,0.005368104250594602,0.6731602730245629,0.6731602730245629,10.736208501189203,10.736208501189203,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.75,1.0,1.0,0.0,0.0,644.1725100713522,644.1725100713522,11.486208501189203,11.486208501189203
S3_transport,A,7,2,0.007034770917261269,0.004350718791963968,0.0,0.0,1.0,1.0,0.014069541834522538,0.008701437583927937,13.219200910081875,12.546040637057313,28.139083669045075,17.40287516785587,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.5,0.75,2.0,1.0,1.0,1.0,1688.3450201427045,1044.1725100713522,29.639083669045075,18.15287516785587
S3_transport,A,7,3,0.010552156375891903,0.003517385458630634,0.0,0.0,2.0,1.0,0.021104312751783805,0.007034770917261268,20.865681729155565,7.646480819073689,42.20862550356761,14.069541834522536,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.25,0.75,3.0,1.0,2.0,1.0,2532.517530214057,844.1725100713525,44.45862550356761,14.819541834522536
S3_transport,A,7,4,0.01490287516785587,0.004350718791963967,0.0,0.0,3.0,1.0,0.02980575033571174,0.008701437583927933,35.594042912262005,14.72836118310644,59.61150067142348,17.402875167855868,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.75,4.0,1.0,3.0,1.0,3576.690040285409,1044.172510071352,62.61150067142348,18.152875167855868
S3_transport,A,7,5,0.019253593959819838,0.004350718791963968,0.0,0.0,4.0,1.0,0.038507187919639675,0.008701437583927937,51.777284459401194,16.18324154713919,77.01437583927935,17.402875167855875,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,3.75,0.75,5.0,1.0,4.0,1.0,4620.862550356761,1044.172510071352,80.76437583927935,18.152875167855875
S3_transport,A,7,6,0.023604312751783808,0.00435071879196397,0.0,0.0,5.0,1.0,0.047208625503567615,0.00870143758392794,69.41540637057314,17.638121911171943,94.41725100713523,17.402875167855882,6.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,4.5,0.75,6.0,1.0,5.0,1.0,5665.035060428113,1044.172510071352,98.91725100713523,18.152875167855882
S3_transport,A,7,7,0.027121698210414442,0.003517385458630635,0.0,0.0,6.0,1.0,0.054243396420828885,0.00703477091726127,81.17863513042813,11.763228759854996,108.48679284165777,14.06954183452254,7.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,5.25,0.75,7.0,1.0,6.0,1.0,6509.207570499465,844.172510071352,113.73679284165777,14.81954183452254
S3_transport,A,7,8,0.03147241700237841,0.00435071879196397,0.0,0.0,7.0,1.0,0.06294483400475682,0.00870143758392794,100.9990775876492,19.820442457221063,125.88966800951366,17.402875167855882,8.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,0.75,8.0,1.0,7.0,1.0,7553.380080570817,1044.172510071352,131.88966800951366,18.152875167855882
S3_transport,B,7,1,0.006433885849476525,0.006433885849476525,0.18000000000000002,0.18000000000000002,0.0,0.0,0.01286777169895305,0.01286777169895305,1.6136185710487128,1.6136185710487128,25.735543397906103,25.735543397906103,10.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,7.5,7.5,10.0,10.0,0.0,0.0,1544.1326038743657,1544.1326038743657,33.235543397906106,33.235543397906106
S3_transport,B,7,2,0.014909438365619717,0.008475552516143191,0.5400000000000001,0.3600000000000001,1.0,1.0,0.029818876731239435,0.016951105032286383,16.573511903495707,14.959893332446994,59.63775346247885,33.90221006457274,20.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,7.5,20.0,10.0,1.0,1.0,3578.2652077487314,2034.1326038743657,74.63775346247886,41.40221006457275
