scenario,strategy,seed,round,candidate_rank,candidate_selected,governor_state,design_mode,spatial_mode,T_C,Q_total_mL_min,C_EGDA_M,C_cat_M,n_positions_selected,row_kind,z_m,z_over_L,marginal_gain_nats,is_selected_position,selection_order,realized_gain_nats
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.004,0.02,29.68187356040673,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.00596,0.0298,32.075521621948155,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.00792,0.039599999999999996,33.7782988153466,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.00988,0.0494,35.1012839679523,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.01184,0.059199999999999996,36.18314093131721,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.0138,0.06899999999999999,37.0982664624226,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.01576,0.0788,37.89115470499658,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.01772,0.0886,38.590560551910386,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.01968,0.09839999999999999,39.216149149052356,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.02164,0.10819999999999999,39.78196540454945,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.0236,0.118,40.298391020648054,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.02556,0.1278,40.77331740317668,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.02752,0.1376,41.21288361211509,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.02948,0.14739999999999998,41.62195968440048,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.031439999999999996,0.15719999999999998,42.00447402965011,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.0334,0.16699999999999998,42.363641557029354,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.03536,0.1768,42.70212666969999,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.037320000000000006,0.18660000000000002,43.02216220569966,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.039279999999999995,0.19639999999999996,43.3256378891016,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.04124,0.2062,43.61416722771787,0,-1,nan
