scenario,strategy,seed,acquisition_index,reacquisition,z_m,z_over_L,T_C,Q_total_mL_min,C_EGDA_M,C_cat_M,T_line_C,transfer_enabled,mean_tau_line_s,species,c_reactor_true_M,c_cell_true_M,c_measured_M,sigma_M,transport_delta_M,quantification_delta_M,total_delta_M,transport_delta_sigma,quantification_delta_sigma,qc_flags
S3_transport,A,7,1,0,0.2,1.0,40.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.490330985946404,0.48988487125971114,0.488792417263137,0.010405450262225568,-0.0004461146866928667,-0.0010924539965741498,-0.0015385686832670165,-0.0428731746777337,-0.10498863278795688,WARN nonnegativity active: EGMA
S3_transport,A,7,1,0,0.2,1.0,40.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.009618000883521372,0.010059950368565686,0.001564193528995341,0.011302704136141954,0.00044194948504431425,-0.008495756839570346,-0.008053807354526031,0.03910121681687835,-0.7516570138648496,WARN nonnegativity active: EGMA
S3_transport,A,7,1,0,0.2,1.0,40.0,1.0,1.0,0.5,25.0,1,18.0,EG,5.1013170074633604e-05,5.517837172323506e-05,0.00029687716494430656,0.002092905958543478,4.165201648601454e-06,0.0002416987932210715,0.00024586399486967294,0.0019901523198396142,0.11548478431839222,WARN nonnegativity active: EGMA
S3_transport,A,7,1,0,0.2,1.0,40.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.00972002722367057,0.010170307112012087,0.0016771831240236779,0.006120588143074462,0.0004502798883415163,-0.00849312398798841,-0.008042844099646894,0.07356807512869735,-1.3876320035679102,WARN nonnegativity active: EGMA
S3_transport,A,7,2,0,0.2,1.0,60.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.47713243952296935,0.47669845856779247,0.4676850055372102,0.010085665654522276,-0.0004339809551768825,-0.009013453030582264,-0.009447433985759146,-0.043029480655279444,-0.8936894538577881,
S3_transport,A,7,2,0,0.2,1.0,60.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.022520482730333413,0.022944867308658978,0.027294902499744183,0.012274347111653252,0.0004243845783255644,0.004350035191085205,0.00477441976941077,0.03457492072410549,0.35440053564684404,
S3_transport,A,7,2,0,0.2,1.0,60.0,1.0,1.0,0.5,25.0,1,18.0,EG,0.0003470777466972911,0.00035667412354869544,-7.541241531400602e-05,0.0026357756358427603,9.596376851404311e-06,-0.00043208653886270146,-0.00042249016201129715,0.003640817041066538,-0.16393145645135557,
S3_transport,A,7,2,0,0.2,1.0,60.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.023214638223728025,0.0236582155557564,0.016831506855219534,0.00648873073061139,0.0004435773320283741,-0.006826708700536865,-0.006383131368508491,0.06836118656238009,-1.0520869156013861,
S3_transport,A,7,3,0,0.2,1.0,70.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.466127609116572,0.4657037488165739,0.47055871850226233,0.01010416710416218,-0.00042386029999808006,0.004854969685688437,0.004431109385690357,-0.04194905880203432,0.4804918243769488,
S3_transport,A,7,3,0,0.2,1.0,70.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.03303656184054422,0.03344640361483901,0.028927751516423152,0.012223772195801792,0.000409841774294796,-0.00451865209841586,-0.004108810324121064,0.03352825688583714,-0.3696610200219351,
