scenario,strategy,seed,acquisition_index,z_m,z_over_L,reacquisition,T_C,Q1_mL_min,Q2_mL_min,Q_total_mL_min,C_EGDA_M,C_cat_M,qc_state,qc_flags,residual_rms,fit_condition_number,hardware_fault,spectrum_csv,c_EGDA_M,sigma_EGDA_M,c_EGMA_M,sigma_EGMA_M,c_EG_M,sigma_EG_M,c_AcOH_M,sigma_AcOH_M
S3_transport,A,7,1,0.2,1.0,0,40.0,0.5,0.5,1.0,1.0,0.5,WARN,WARN nonnegativity active: EGMA,0.23019551721773854,2.575087218747609,0,spectrum_A_acq0001_z0.2000m.csv,0.488792417263137,0.010405450262225568,0.001564193528995341,0.011302704136141954,0.00029687716494430656,0.002092905958543478,0.0016771831240236779,0.006120588143074462
S3_transport,A,7,2,0.2,1.0,0,60.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.45461122481858174,2.5234890711716065,0,spectrum_A_acq0002_z0.2000m.csv,0.4676850055372102,0.010085665654522276,0.027294902499744183,0.012274347111653252,-7.541241531400602e-05,0.0026357756358427603,0.016831506855219534,0.00648873073061139
S3_transport,A,7,3,0.2,1.0,0,70.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.2640784707855186,2.6986480341530616,0,spectrum_A_acq0003_z0.2000m.csv,0.47055871850226233,0.01010416710416218,0.028927751516423152,0.012223772195801792,0.0014108361074029656,0.0022328611073071975,0.022851871382633903,0.006222693588222324
S3_transport,A,7,4,0.2,1.0,0,90.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.3436433968172404,2.5460595532868244,0,spectrum_A_acq0004_z0.2000m.csv,0.4252038437518381,0.009336390298220879,0.05762901712426535,0.014452255335556823,0.00414928621006516,0.0023460750208803365,0.06361009653598292,0.006381511379644746
S3_transport,A,7,5,0.2,1.0,0,110.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.3865420175154055,2.567757132180156,0,spectrum_A_acq0005_z0.2000m.csv,0.37584873243495603,0.00853335016311786,0.11241341226758607,0.02077609142639113,0.01701500555095079,0.002498146811142954,0.1356525187484808,0.0068114941388091495
S3_transport,A,7,6,0.2,1.0,0,130.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.19387807558181946,2.566571510652446,0,spectrum_A_acq0006_z0.2000m.csv,0.2992458033502164,0.007270203243733704,0.1566309013501992,0.02663052455397658,0.054727007153455305,0.002104280331729839,0.26197370531224967,0.007619977873177605
S3_transport,A,7,7,0.2,1.0,0,140.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.29754947526704917,2.5247822508799826,0,spectrum_A_acq0007_z0.2000m.csv,0.25096145758160016,0.006581028790661026,0.15391467097677639,0.026281704826252233,0.08688097644874232,0.0024058916180208258,0.3361853489655374,0.008556567290133793
S3_transport,A,7,8,0.2,1.0,0,160.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.3248381166424988,2.5816474554269915,0,spectrum_A_acq0008_z0.2000m.csv,0.15209344405808392,0.005363506358209061,0.14311684839219616,0.024810847169618604,0.18928359512043844,0.003099199962057004,0.5355736988337292,0.011301811352051347
S3_transport,B,7,1,0.02,0.09999999999999999,0,40.0,0.5,0.5,1.0,1.0,0.5,WARN,"WARN nonnegativity active: EGMA,AcOH",0.23783279422110487,2.5749162381125092,0,spectrum_B_acq0001_z0.0200m.csv,0.49547810636093464,0.01052312496664918,0.001564193528995341,0.011309616208186856,0.0004212463159934542,0.0021091280894067043,-0.00022445737519570042,0.006130496395996001
S3_transport,B,7,9,0.18,0.8999999999999999,0,40.0,0.5,0.5,1.0,1.0,0.5,WARN,WARN nonnegativity active: EGMA,0.4361134820993469,2.574912289711683,0,spectrum_B_acq0009_z0.1800m.csv,0.4941429466453502,0.010546965417957587,0.001564193528995341,0.011565570771353912,-0.0003429697396524767,0.0026513154668540073,3.590741354008386e-05,0.006495899321567664
