ppm,observed,fitted,residual,component_EGDA,component_EGMA,component_EG,component_AcOH,component_exchange_pool,component_baseline
0,0.0716301,0.116617,-0.0449869,-0.00617291,-0,-5.35819e-06,-8.5253e-06,0.16493,-0.042126
0.00586224,0.131499,0.117149,0.0143494,-0.00618157,-0,-5.3649e-06,-8.53818e-06,0.165452,-0.0421071
0.0117245,0.218948,0.117683,0.101264,-0.00619024,-0,-5.37162e-06,-8.55107e-06,0.165976,-0.0420882
0.0175867,0.0509968,0.11822,-0.0672231,-0.00619892,-0,-5.37836e-06,-8.56397e-06,0.166502,-0.0420693
0.0234489,0.085561,0.118758,-0.0331974,-0.00620761,-0,-5.38511e-06,-8.57688e-06,0.16703,-0.0420504
0.0293112,-0.0414062,0.119299,-0.160705,-0.00621632,-0,-5.39188e-06,-8.58979e-06,0.167561,-0.0420315
0.0351734,-0.0207691,0.119842,-0.140611,-0.00622503,-0,-5.39866e-06,-8.60271e-06,0.168093,-0.0420127
0.0410357,-0.0668764,0.120386,-0.187263,-0.00623375,-0,-5.40546e-06,-8.61564e-06,0.168628,-0.0419938
0.0468979,0.0729348,0.120933,-0.0479986,-0.00624249,-0,-5.41227e-06,-8.62858e-06,0.169165,-0.0419749
0.0527601,0.0167785,0.121482,-0.104704,-0.00625123,-0,-5.4191e-06,-8.64152e-06,0.169704,-0.041956
0.0586224,0.147098,0.122034,0.0250639,-0.00625998,-0,-5.42595e-06,-8.65447e-06,0.170245,-0.0419371
0.0644846,0.175653,0.122587,0.0530662,-0.00626875,-0,-5.43281e-06,-8.66742e-06,0.170788,-0.0419182
0.0703468,0.15182,0.123143,0.0286775,-0.00627752,-0,-5.43969e-06,-8.68037e-06,0.171334,-0.0418993
0.0762091,-0.0771943,0.1237,-0.200895,-0.0062863,-0,-5.44658e-06,-8.69333e-06,0.171881,-0.0418804
0.0820713,0.0431853,0.12426,-0.0810752,-0.00629509,-0,-5.45349e-06,-8.70629e-06,0.172431,-0.0418615
0.0879336,0.126451,0.124823,0.00162784,-0.00630389,-0,-5.46042e-06,-8.71926e-06,0.172983,-0.0418426
0.0937958,0.167257,0.125387,0.0418702,-0.00631269,-0,-5.46736e-06,-8.73222e-06,0.173538,-0.0418237
0.099658,0.0231178,0.125954,-0.102836,-0.00632151,-0,-5.47432e-06,-8.74519e-06,0.174094,-0.0418048
0.10552,0.0806616,0.126523,-0.0458611,-0.00633033,-0,-5.48129e-06,-8.75815e-06,0.174653,-0.0417859
0.111383,0.050551,0.127094,-0.0765429,-0.00633916,-0,-5.48828e-06,-8.77112e-06,0.175214,-0.0417669
0.117245,0.0581023,0.127667,-0.069565,-0.006348,-0,-5.49529e-06,-8.78408e-06,0.175778,-0.041748
0.123107,0.239129,0.128243,0.110886,-0.00635684,-0,-5.50231e-06,-8.79705e-06,0.176343,-0.0417291
0.128969,0.1156,0.128821,-0.0132206,-0.00636569,-0,-5.50935e-06,-8.81001e-06,0.176911,-0.0417102
0.134831,0.152876,0.129401,0.0234748,-0.00637455,-0,-5.51641e-06,-8.82296e-06,0.177482,-0.0416913
0.140694,0.251931,0.129984,0.121947,-0.00638341,-0,-5.52348e-06,-8.83591e-06,0.178054,-0.0416724
0.146556,0.142016,0.130569,0.0114471,-0.00639228,-0,-5.53057e-06,-8.84886e-06,0.178629,-0.0416534
0.152418,0.154465,0.131156,0.0233092,-0.00640115,-0,-5.53768e-06,-8.8618e-06,0.179206,-0.0416345
0.15828,0.179803,0.131746,0.0480568,-0.00641003,-0,-5.5448e-06,-8.87474e-06,0.179786,-0.0416156
0.164143,0.183362,0.132338,0.0510237,-0.00641891,-0,-5.55194e-06,-8.88766e-06,0.180368,-0.0415966
0.170005,0.0618948,0.132933,-0.0710377,-0.0064278,-0,-5.55909e-06,-8.90058e-06,0.180953,-0.0415777
0.175867,0.149995,0.133529,0.0164658,-0.00643669,-0,-5.56627e-06,-8.91349e-06,0.181539,-0.0415588
0.181729,0.299202,0.134129,0.165073,-0.00644558,-0,-5.57346e-06,-8.92639e-06,0.182129,-0.0415398
0.187592,0.0671694,0.13473,-0.067561,-0.00645448,-0,-5.58066e-06,-8.93928e-06,0.18272,-0.0415209
0.193454,0.227547,0.135335,0.0922128,-0.00646338,-0,-5.58789e-06,-8.95216e-06,0.183314,-0.041502
0.199316,0.205488,0.135941,0.0695464,-0.00647229,-0,-5.59513e-06,-8.96502e-06,0.183911,-0.041483
0.205178,0.126714,0.13655,-0.00983573,-0.00648119,-0,-5.60238e-06,-8.97787e-06,0.18451,-0.0414641
0.211041,0.355527,0.137162,0.218365,-0.0064901,-0,-5.60966e-06,-8.99071e-06,0.185112,-0.0414451
0.216903,0.306485,0.137776,0.168709,-0.00649901,-0,-5.61695e-06,-9.00353e-06,0.185716,-0.0414262
0.222765,0.10508,0.138392,-0.0333122,-0.00650792,-0,-5.62426e-06,-9.01633e-06,0.186322,-0.0414073
0.228627,0.166602,0.139011,0.0275906,-0.00651683,-0,-5.63158e-06,-9.02911e-06,0.186931,-0.0413883
0.234489,0.233394,0.139633,0.0937615,-0.00652574,-0,-5.63892e-06,-9.04187e-06,0.187543,-0.0413693
0.240352,0.180844,0.140257,0.0405872,-0.00653465,-0,-5.64628e-06,-9.05462e-06,0.188157,-0.0413504
0.246214,0.248668,0.140884,0.107785,-0.00654356,-0,-5.65366e-06,-9.06734e-06,0.188773,-0.0413314
0.252076,0.197962,0.141513,0.056449,-0.00655246,-0,-5.66106e-06,-9.08004e-06,0.189393,-0.0413125
0.257938,0.253186,0.142145,0.111041,-0.00656137,-0,-5.66847e-06,-9.09271e-06,0.190014,-0.0412935
0.263801,0.343768,0.142779,0.200989,-0.00657027,-0,-5.6759e-06,-9.10536e-06,0.190639,-0.0412746
0.269663,0.169705,0.143416,0.0262889,-0.00657917,-0,-5.68334e-06,-9.11799e-06,0.191266,-0.0412556
