ppm,observed,fitted,residual,component_EGDA,component_EGMA,component_EG,component_AcOH,component_exchange_pool,component_baseline
0,0.616403,0.644343,-0.0279398,0.0362941,0,1.69216e-05,0.000195474,0.628421,-0.0205853
0.00586224,0.456585,0.645556,-0.188971,0.036387,0,1.69499e-05,0.000196064,0.629502,-0.0205466
0.0117245,0.558088,0.646773,-0.0886844,0.0364804,0,1.69782e-05,0.000196658,0.630587,-0.020508
0.0175867,0.616886,0.647994,-0.0311072,0.0365743,0,1.70066e-05,0.000197255,0.631674,-0.0204694
0.0234489,0.605824,0.649218,-0.043394,0.0366688,0,1.70351e-05,0.000197856,0.632766,-0.0204308
0.0293112,0.602192,0.650447,-0.0482549,0.0367638,0,1.70637e-05,0.00019846,0.63386,-0.0203922
0.0351734,0.771628,0.65168,0.119948,0.0368593,0,1.70924e-05,0.000199069,0.634958,-0.0203537
0.0410357,0.562628,0.652917,-0.0902891,0.0369553,0,1.71212e-05,0.000199681,0.63606,-0.0203152
0.0468979,0.583412,0.654158,-0.0707459,0.0370519,0,1.71501e-05,0.000200296,0.637165,-0.0202767
0.0527601,0.752216,0.655403,0.0968134,0.037149,0,1.71791e-05,0.000200916,0.638274,-0.0202383
0.0586224,0.710067,0.656652,0.0534157,0.0372466,0,1.72082e-05,0.000201539,0.639386,-0.0201999
0.0644846,0.551351,0.657905,-0.106554,0.0373448,0,1.72374e-05,0.000202166,0.640502,-0.0201615
0.0703468,0.678228,0.659162,0.0190664,0.0374435,0,1.72667e-05,0.000202798,0.641621,-0.0201231
0.0762091,0.438383,0.660423,-0.22204,0.0375428,0,1.72961e-05,0.000203433,0.642744,-0.0200848
0.0820713,0.556615,0.661688,-0.105073,0.0376427,0,1.73256e-05,0.000204072,0.643871,-0.0200465
0.0879336,0.693917,0.662958,0.0309587,0.0377431,0,1.73552e-05,0.000204715,0.645001,-0.0200082
0.0937958,0.554351,0.664232,-0.109881,0.0378441,0,1.73849e-05,0.000205362,0.646135,-0.0199699
0.099658,0.707409,0.66551,0.0418987,0.0379456,0,1.74147e-05,0.000206013,0.647273,-0.0199317
0.10552,0.695494,0.666792,0.0287018,0.0380478,0,1.74446e-05,0.000206668,0.648414,-0.0198935
0.111383,0.683431,0.668079,0.0153519,0.0381505,0,1.74746e-05,0.000207328,0.649559,-0.0198554
0.117245,0.932065,0.669369,0.262696,0.0382539,0,1.75047e-05,0.000207991,0.650707,-0.0198172
0.123107,0.834597,0.670665,0.163932,0.0383578,0,1.75349e-05,0.000208659,0.65186,-0.0197791
0.128969,0.744379,0.671964,0.0724154,0.0384623,0,1.75652e-05,0.000209331,0.653016,-0.019741
0.134831,0.544013,0.673268,-0.129255,0.0385674,0,1.75957e-05,0.000210008,0.654176,-0.019703
0.140694,0.49716,0.674576,-0.177416,0.0386732,0,1.76262e-05,0.000210689,0.655339,-0.0196649
0.146556,0.593272,0.675888,-0.0826165,0.0387796,0,1.76568e-05,0.000211374,0.656507,-0.0196269
0.152418,0.667404,0.677205,-0.00980137,0.0388865,0,1.76876e-05,0.000212064,0.657678,-0.019589
0.15828,0.744951,0.678527,0.0664247,0.0389942,0,1.77184e-05,0.000212758,0.658853,-0.019551
0.164143,0.616911,0.679853,-0.062942,0.0391024,0,1.77493e-05,0.000213457,0.660032,-0.0195131
0.170005,0.627608,0.681183,-0.0535753,0.0392113,0,1.77804e-05,0.00021416,0.661215,-0.0194752
0.175867,0.724362,0.682518,0.0418437,0.0393209,0,1.78116e-05,0.000214868,0.662402,-0.0194373
0.181729,0.561685,0.683857,-0.122172,0.0394311,0,1.78429e-05,0.000215581,0.663592,-0.0193995
0.187592,0.648933,0.685201,-0.0362684,0.0395419,0,1.78742e-05,0.000216298,0.664787,-0.0193617
0.193454,0.776355,0.68655,0.0898052,0.0396534,0,1.79057e-05,0.00021702,0.665986,-0.0193239
0.199316,0.688816,0.687903,0.000912441,0.0397656,0,1.79373e-05,0.000217747,0.667188,-0.0192862
0.205178,0.718203,0.689261,0.0289423,0.0398785,0,1.79691e-05,0.000218479,0.668395,-0.0192484
0.211041,0.719764,0.690624,0.0291401,0.0399921,0,1.80009e-05,0.000219216,0.669605,-0.0192107
0.216903,0.754939,0.691991,0.0629478,0.0401063,0,1.80328e-05,0.000219957,0.670819,-0.0191731
0.222765,0.764317,0.693363,0.0709548,0.0402213,0,1.80649e-05,0.000220704,0.672038,-0.0191354
0.228627,0.711159,0.694739,0.0164196,0.0403369,0,1.80971e-05,0.000221456,0.673261,-0.0190978
0.234489,0.673851,0.696121,-0.0222696,0.0404533,0,1.81294e-05,0.000222213,0.674487,-0.0190602
0.240352,0.671567,0.697507,-0.0259403,0.0405704,0,1.81618e-05,0.000222975,0.675718,-0.0190227
0.246214,0.756911,0.698898,0.0580126,0.0406882,0,1.81943e-05,0.000223742,0.676953,-0.0189851
0.252076,0.643681,0.700294,-0.0566128,0.0408067,0,1.82269e-05,0.000224514,0.678192,-0.0189476
0.257938,0.823176,0.701695,0.121481,0.040926,0,1.82597e-05,0.000225292,0.679435,-0.0189102
0.263801,0.506429,0.7031,-0.196671,0.041046,0,1.82925e-05,0.000226075,0.680683,-0.0188727
0.269663,0.709884,0.704511,0.00537305,0.0411668,0,1.83255e-05,0.000226864,0.681934,-0.0188353
0.275525,0.88087,0.705926,0.174944,0.0412883,0,1.83586e-05,0.000227658,0.68319,-0.0187979
0.281387,0.78258,0.707347,0.0752329,0.0414106,0,1.83919e-05,0.000228458,0.68445,-0.0187605
0.28725,0.804325,0.708772,0.0955522,0.0415337,0,1.84252e-05,0.000229263,0.685714,-0.0187232
0.293112,0.786742,0.710203,0.0765389,0.0416575,0,1.84587e-05,0.000230074,0.686983,-0.0186859
0.298974,1.01161,0.711639,0.299969,0.0417822,0,1.84923e-05,0.000230891,0.688256,-0.0186486
0.304836,0.906947,0.713079,0.193868,0.0419076,0,1.8526e-05,0.000231713,0.689533,-0.0186114
0.310699,0.92949,0.714525,0.214965,0.0420339,0,1.85598e-05,0.000232542,0.690814,-0.0185741
0.316561,0.740802,0.715976,0.0248255,0.0421609,0,1.85938e-05,0.000233376,0.6921,-0.0185369
0.322423,0.746217,0.717433,0.0287843,0.0422888,0,1.86279e-05,0.000234216,0.693391,-0.0184998
