ppm,observed,fitted,residual,component_EGDA,component_EGMA,component_EG,component_AcOH,component_exchange_pool,component_baseline
0,0.201067,0.269044,-0.0679772,0.00178842,0.000625191,6.93477e-05,0.000715661,0.26084,0.0050059
0.00586224,0.385547,0.269647,0.1159,0.00179634,0.000627779,6.95325e-05,0.000719264,0.261471,0.00496254
0.0117245,0.289596,0.270252,0.0193442,0.00180432,0.000630386,6.97182e-05,0.000722897,0.262106,0.00491924
0.0175867,0.239574,0.27086,-0.0312866,0.00181237,0.000633012,6.99047e-05,0.000726559,0.262742,0.00487601
0.0234489,0.251924,0.271471,-0.0195469,0.00182047,0.000635657,7.00921e-05,0.000730252,0.263381,0.00483283
0.0293112,0.218352,0.272083,-0.053731,0.00182864,0.000638321,7.02803e-05,0.000733975,0.264023,0.00478972
0.0351734,0.264304,0.272699,-0.0083947,0.00183687,0.000641006,7.04694e-05,0.000737729,0.264666,0.00474666
0.0410357,0.41765,0.273317,0.144334,0.00184516,0.00064371,7.06593e-05,0.000741514,0.265312,0.00470367
0.0468979,0.420149,0.273938,0.146211,0.00185352,0.000646434,7.08501e-05,0.000745331,0.265961,0.00466074
0.0527601,0.478881,0.274561,0.204321,0.00186194,0.000649179,7.10417e-05,0.000749179,0.266611,0.00461787
0.0586224,0.502587,0.275186,0.227401,0.00187043,0.000651944,7.12342e-05,0.00075306,0.267265,0.00457506
0.0644846,0.293144,0.275815,0.0173288,0.00187898,0.00065473,7.14277e-05,0.000756973,0.26792,0.00453231
0.0703468,0.356119,0.276446,0.0796734,0.0018876,0.000657536,7.1622e-05,0.00076092,0.268579,0.00448962
0.0762091,0.468254,0.277079,0.191174,0.00189629,0.000660364,7.18171e-05,0.000764899,0.269239,0.00444699
0.0820713,0.574951,0.277716,0.297235,0.00190505,0.000663214,7.20132e-05,0.000768913,0.269902,0.00440443
0.0879336,0.269387,0.278355,-0.00896779,0.00191387,0.000666085,7.22102e-05,0.000772961,0.270568,0.00436192
0.0937958,0.177283,0.278996,-0.101713,0.00192277,0.000668978,7.24081e-05,0.000777043,0.271236,0.00431947
0.099658,0.32252,0.279641,0.0428789,0.00193174,0.000671893,7.26069e-05,0.00078116,0.271906,0.00427709
0.10552,0.293351,0.280288,0.0130633,0.00194078,0.000674831,7.28066e-05,0.000785313,0.272579,0.00423477
