ppm,observed,fitted,residual,component_EGDA,component_EGMA,component_EG,component_AcOH,component_exchange_pool,component_baseline
0,0.326934,0.256812,0.0701217,-2.13265e-05,-0.000155338,-0.000619454,-0.000852042,0.238921,0.0195391
0.00586224,0.173337,0.257362,-0.0840245,-2.12867e-05,-0.000155152,-0.000619758,-0.000848252,0.239559,0.0194473
0.0117245,0.361418,0.257913,0.103504,-2.12462e-05,-0.000154963,-0.00062006,-0.000844406,0.240199,0.0193556
0.0175867,0.319042,0.258468,0.0605745,-2.12049e-05,-0.000154771,-0.000620362,-0.000840502,0.240841,0.019264
0.0234489,0.241455,0.259025,-0.0175698,-2.1163e-05,-0.000154574,-0.000620662,-0.00083654,0.241485,0.0191725
0.0293112,0.270405,0.259584,0.010821,-2.11204e-05,-0.000154374,-0.000620961,-0.000832519,0.242132,0.0190812
0.0351734,0.139017,0.260147,-0.121129,-2.1077e-05,-0.00015417,-0.000621258,-0.000828438,0.242782,0.0189899
0.0410357,0.179439,0.260711,-0.081272,-2.10329e-05,-0.000153961,-0.000621555,-0.000824296,0.243433,0.0188988
0.0468979,0.408944,0.261279,0.147666,-2.09881e-05,-0.000153749,-0.00062185,-0.000820093,0.244088,0.0188078
0.0527601,0.0847108,0.261849,-0.177138,-2.09425e-05,-0.000153533,-0.000622143,-0.000815828,0.244745,0.0187169
0.0586224,0.115203,0.262422,-0.147219,-2.08961e-05,-0.000153313,-0.000622435,-0.000811499,0.245404,0.0186262
0.0644846,0.209822,0.262997,-0.0531758,-2.08489e-05,-0.000153088,-0.000622726,-0.000807106,0.246066,0.0185355
0.0703468,0.15365,0.263576,-0.109925,-2.08009e-05,-0.000152859,-0.000623015,-0.000802648,0.24673,0.018445
0.0762091,0.196787,0.264157,-0.0673693,-2.07522e-05,-0.000152626,-0.000623303,-0.000798125,0.247397,0.0183545
0.0820713,0.235568,0.26474,-0.0291727,-2.07026e-05,-0.000152389,-0.00062359,-0.000793534,0.248066,0.0182642
0.0879336,0.340653,0.265327,0.0753266,-2.06522e-05,-0.000152147,-0.000623875,-0.000788875,0.248738,0.018174
0.0937958,0.339777,0.265916,0.073861,-2.0601e-05,-0.0001519,-0.000624158,-0.000784148,0.249413,0.018084
0.099658,0.131266,0.266508,-0.135242,-2.05489e-05,-0.000151649,-0.00062444,-0.000779351,0.25009,0.017994
0.10552,0.33263,0.267103,0.0655274,-2.04959e-05,-0.000151394,-0.000624721,-0.000774483,0.25077,0.0179041
0.111383,0.217394,0.2677,-0.0503064,-2.04421e-05,-0.000151134,-0.000625,-0.000769544,0.251452,0.0178144
0.117245,0.145895,0.268301,-0.122406,-2.03874e-05,-0.000150869,-0.000625277,-0.000764531,0.252137,0.0177248
0.123107,0.356493,0.268904,0.0875894,-2.03318e-05,-0.000150599,-0.000625553,-0.000759445,0.252824,0.0176353
0.128969,0.576733,0.26951,0.307223,-2.02753e-05,-0.000150324,-0.000625827,-0.000754284,0.253515,0.0175459
0.134831,0.301774,0.270119,0.0316547,-2.02178e-05,-0.000150045,-0.000626099,-0.000749047,0.254208,0.0174567
0.140694,0.301605,0.270731,0.0308748,-2.01594e-05,-0.00014976,-0.00062637,-0.000743732,0.254903,0.0173675
0.146556,0.309379,0.271345,0.0380334,-2.01001e-05,-0.000149471,-0.000626639,-0.00073834,0.255601,0.0172785
0.152418,0.265786,0.271963,-0.0061771,-2.00398e-05,-0.000149176,-0.000626907,-0.000732868,0.256302,0.0171895
0.15828,0.270609,0.272583,-0.00197481,-1.99786e-05,-0.000148876,-0.000627172,-0.000727316,0.257006,0.0171007
0.164143,0.240648,0.273207,-0.0325584,-1.99163e-05,-0.00014857,-0.000627436,-0.000721682,0.257712,0.017012
0.170005,0.326047,0.273833,0.0522141,-1.9853e-05,-0.000148259,-0.000627699,-0.000715965,0.258421,0.0169235
0.175867,0.379484,0.274463,0.105022,-1.97888e-05,-0.000147943,-0.000627959,-0.000710165,0.259133,0.016835
0.181729,0.512018,0.275095,0.236923,-1.97234e-05,-0.000147622,-0.000628218,-0.000704279,0.259848,0.0167467
0.187592,0.458886,0.27573,0.183155,-1.96571e-05,-0.000147294,-0.000628475,-0.000698306,0.260565,0.0166584
0.193454,0.411281,0.276369,0.134913,-1.95896e-05,-0.000146961,-0.00062873,-0.000692246,0.261286,0.0165703
0.199316,0.369949,0.27701,0.0929391,-1.95211e-05,-0.000146622,-0.000628983,-0.000686096,0.262009,0.0164823
0.205178,0.322396,0.277654,0.0447422,-1.94515e-05,-0.000146277,-0.000629234,-0.000679856,0.262735,0.0163945
0.211041,0.29108,0.278302,0.0127778,-1.93808e-05,-0.000145927,-0.000629483,-0.000673524,0.263463,0.0163067
0.216903,0.0179939,0.278952,-0.260958,-1.9309e-05,-0.00014557,-0.000629731,-0.0006671,0.264195,0.016219
0.222765,0.193575,0.279606,-0.0860309,-1.9236e-05,-0.000145207,-0.000629976,-0.00066058,0.264929,0.0161315
0.228627,0.283833,0.280263,0.00357032,-1.91619e-05,-0.000144838,-0.00063022,-0.000653965,0.265667,0.0160441
0.234489,0.367647,0.280923,0.0867245,-1.90865e-05,-0.000144463,-0.000630461,-0.000647252,0.266407,0.0159568
0.240352,0.392873,0.281586,0.111287,-1.901e-05,-0.000144081,-0.0006307,-0.000640441,0.26715,0.0158696
0.246214,0.450043,0.282252,0.167791,-1.89323e-05,-0.000143693,-0.000630938,-0.000633529,0.267896,0.0157825
0.252076,0.308066,0.282921,0.0251444,-1.88533e-05,-0.000143298,-0.000631173,-0.000626516,0.268645,0.0156956
0.257938,0.410452,0.283594,0.126858,-1.87731e-05,-0.000142896,-0.000631406,-0.000619399,0.269397,0.0156087
0.263801,0.409915,0.284269,0.125646,-1.86916e-05,-0.000142488,-0.000631637,-0.000612177,0.270152,0.015522
0.269663,0.181215,0.284948,-0.103734,-1.86089e-05,-0.000142073,-0.000631865,-0.000604849,0.27091,0.0154354
0.275525,0.314558,0.285631,0.0289274,-1.85248e-05,-0.00014165,-0.000632092,-0.000597412,0.271671,0.0153489
0.281387,0.248926,0.286316,-0.0373897,-1.84394e-05,-0.000141221,-0.000632316,-0.000589866,0.272435,0.0152626
0.28725,0.470596,0.287005,0.183591,-1.83527e-05,-0.000140785,-0.000632538,-0.000582209,0.273203,0.0151763
0.293112,0.410133,0.287697,0.122436,-1.82646e-05,-0.000140341,-0.000632758,-0.000574438,0.273973,0.0150901
0.298974,0.335382,0.288392,0.0469897,-1.81751e-05,-0.000139889,-0.000632976,-0.000566552,0.274746,0.0150041
0.304836,0.333007,0.289091,0.0439162,-1.80843e-05,-0.000139431,-0.000633191,-0.00055855,0.275522,0.0149182
0.310699,0.306357,0.289793,0.0165644,-1.79919e-05,-0.000138964,-0.000633403,-0.000550429,0.276302,0.0148324
0.316561,0.29649,0.290499,0.00599168,-1.78982e-05,-0.00013849,-0.000633614,-0.000542188,0.277084,0.0147467
0.322423,0.2236,0.291207,-0.0676071,-1.7803e-05,-0.000138008,-0.000633822,-0.000533824,0.27787,0.0146612
0.328285,0.306319,0.29192,0.0143998,-1.77062e-05,-0.000137518,-0.000634027,-0.000525337,0.278658,0.0145757
0.334148,0.288291,0.292635,-0.00434465,-1.7608e-05,-0.00013702,-0.00063423,-0.000516723,0.27945,0.0144904
0.34001,0.324966,0.293354,0.0316116,-1.75082e-05,-0.000136513,-0.000634431,-0.000507982,0.280246,0.0144052
0.345872,0.450149,0.294077,0.156072,-1.74069e-05,-0.000135998,-0.000634629,-0.00049911,0.281044,0.0143201
0.351734,0.381032,0.294803,0.0862292,-1.7304e-05,-0.000135475,-0.000634824,-0.000490107,0.281846,0.0142351
0.357596,0.373833,0.295532,0.0783006,-1.71995e-05,-0.000134943,-0.000635017,-0.000480969,0.28265,0.0141502
0.363459,0.295803,0.296266,-0.00046218,-1.70933e-05,-0.000134402,-0.000635207,-0.000471696,0.283459,0.0140654
0.369321,0.314199,0.297002,0.0171973,-1.69855e-05,-0.000133853,-0.000635395,-0.000462283,0.28427,0.0139808
0.375183,0.273639,0.297742,-0.0241035,-1.6876e-05,-0.000133294,-0.000635579,-0.000452731,0.285085,0.0138963
0.381045,0.186428,0.298486,-0.112059,-1.67647e-05,-0.000132726,-0.000635761,-0.000443035,0.285903,0.0138119
0.386908,0.420973,0.299233,0.121739,-1.66518e-05,-0.000132149,-0.000635941,-0.000433194,0.286724,0.0137276
0.39277,0.278075,0.299984,-0.021909,-1.65371e-05,-0.000131562,-0.000636117,-0.000423206,0.287548,0.0136434
0.398632,0.38414,0.300739,0.0834008,-1.64205e-05,-0.000130966,-0.000636291,-0.000413068,0.288376,0.0135593
0.404494,0.294295,0.301497,-0.00720235,-1.63022e-05,-0.00013036,-0.000636461,-0.000402778,0.289208,0.0134754
0.410357,0.359396,0.302259,0.0571368,-1.6182e-05,-0.000129744,-0.000636629,-0.000392333,0.290043,0.0133916
0.416219,0.223732,0.303025,-0.0792929,-1.606e-05,-0.000129118,-0.000636794,-0.00038173,0.290881,0.0133078
0.422081,0.525178,0.303794,0.221384,-1.5936e-05,-0.000128482,-0.000636956,-0.000370969,0.291722,0.0132242
0.427943,0.557079,0.304567,0.252512,-1.58101e-05,-0.000127835,-0.000637115,-0.000360044,0.292568,0.0131408
0.433806,0.444469,0.305344,0.139125,-1.56822e-05,-0.000127178,-0.000637271,-0.000348955,0.293416,0.0130574
0.439668,0.372562,0.306125,0.0664372,-1.55523e-05,-0.00012651,-0.000637424,-0.000337698,0.294268,0.0129741
0.44553,0.120573,0.30691,-0.186337,-1.54204e-05,-0.000125831,-0.000637574,-0.000326271,0.295124,0.012891
0.451392,0.406545,0.307698,0.0988472,-1.52864e-05,-0.000125141,-0.00063772,-0.00031467,0.295983,0.012808
0.457255,0.474598,0.30849,0.166108,-1.51503e-05,-0.000124439,-0.000637863,-0.000302893,0.296845,0.0127251
0.463117,0.33816,0.309286,0.0288737,-1.50121e-05,-0.000123727,-0.000638004,-0.000290937,0.297712,0.0126423
0.468979,0.295795,0.310086,-0.0142917,-1.48717e-05,-0.000123002,-0.00063814,-0.000278799,0.298581,0.0125596
0.474841,0.318826,0.31089,0.00793615,-1.47291e-05,-0.000122266,-0.000638274,-0.000266476,0.299455,0.0124771
0.480703,0.426178,0.311698,0.11448,-1.45843e-05,-0.000121518,-0.000638404,-0.000253965,0.300332,0.0123946
0.486566,0.27497,0.31251,-0.0375402,-1.44372e-05,-0.000120758,-0.000638531,-0.000241262,0.301212,0.0123123
0.492428,0.401518,0.313326,0.0881926,-1.42878e-05,-0.000119985,-0.000638654,-0.000228365,0.302097,0.0122301
0.49829,0.362108,0.314145,0.0479623,-1.41361e-05,-0.000119199,-0.000638774,-0.00021527,0.302985,0.012148
0.504152,0.299765,0.314969,-0.0152046,-1.39819e-05,-0.000118401,-0.000638891,-0.000201974,0.303877,0.012066
0.510015,0.323953,0.315797,0.00815577,-1.38254e-05,-0.00011759,-0.000639004,-0.000188473,0.304772,0.0119841
0.515877,0.355911,0.316629,0.0392813,-1.36663e-05,-0.000116765,-0.000639113,-0.000174764,0.305671,0.0119024
0.521739,0.392847,0.317466,0.0753812,-1.35048e-05,-0.000115928,-0.000639219,-0.000160844,0.306574,0.0118208
