ppm,observed,fitted,residual,component_EGDA,component_EGMA,component_EG,component_AcOH,component_exchange_pool,component_baseline
0,0.0716597,0.1154,-0.0437401,-0.00637916,-0,-5.66515e-06,-0,0.163139,-0.0413546
0.00586224,0.131528,0.11592,0.0156082,-0.00638827,-0,-5.67229e-06,-0,0.163659,-0.041345
0.0117245,0.218978,0.116442,0.102535,-0.00639739,-0,-5.67944e-06,-0,0.164181,-0.0413354
0.0175867,0.0510267,0.116967,-0.0659402,-0.00640653,-0,-5.68661e-06,-0,0.164705,-0.0413258
0.0234489,0.0855911,0.117493,-0.0319024,-0.00641568,-0,-5.69379e-06,-0,0.165231,-0.0413162
0.0293112,-0.041376,0.118022,-0.159398,-0.00642485,-0,-5.701e-06,-0,0.165759,-0.0413066
0.0351734,-0.0207387,0.118553,-0.139292,-0.00643403,-0,-5.70821e-06,-0,0.16629,-0.041297
0.0410357,-0.0668459,0.119086,-0.185932,-0.00644321,-0,-5.71545e-06,-0,0.166822,-0.0412873
0.0468979,0.0729653,0.119621,-0.0466555,-0.00645242,-0,-5.7227e-06,-0,0.167357,-0.0412777
0.0527601,0.0168092,0.120158,-0.103349,-0.00646163,-0,-5.72997e-06,-0,0.167893,-0.041268
0.0586224,0.147128,0.120697,0.026431,-0.00647086,-0,-5.73726e-06,-0,0.168432,-0.0412583
0.0644846,0.175684,0.121239,0.0544453,-0.00648009,-0,-5.74456e-06,-0,0.168973,-0.0412486
0.0703468,0.151851,0.121783,0.0300687,-0.00648934,-0,-5.75189e-06,-0,0.169517,-0.0412389
0.0762091,-0.0771632,0.122328,-0.199492,-0.0064986,-0,-5.75922e-06,-0,0.170062,-0.0412292
0.0820713,0.0432166,0.122877,-0.07966,-0.00650787,-0,-5.76658e-06,-0,0.17061,-0.0412195
0.0879336,0.126482,0.123427,0.00305506,-0.00651715,-0,-5.77395e-06,-0,0.171159,-0.0412097
0.0937958,0.167289,0.123979,0.0433095,-0.00652645,-0,-5.78134e-06,-0,0.171712,-0.0412
0.099658,0.0231494,0.124534,-0.101385,-0.00653575,-0,-5.78875e-06,-0,0.172266,-0.0411902
0.10552,0.0806933,0.125091,-0.0443978,-0.00654506,-0,-5.79618e-06,-0,0.172822,-0.0411805
0.111383,0.0505828,0.12565,-0.0750676,-0.00655438,-0,-5.80362e-06,-0,0.173381,-0.0411707
0.117245,0.0581343,0.126212,-0.0680777,-0.00656372,-0,-5.81108e-06,-0,0.173942,-0.0411609
0.123107,0.239161,0.126776,0.112385,-0.00657306,-0,-5.81856e-06,-0,0.174506,-0.0411511
0.128969,0.115633,0.127342,-0.0117093,-0.00658241,-0,-5.82605e-06,-0,0.175071,-0.0411413
0.134831,0.152909,0.12791,0.0249982,-0.00659177,-0,-5.83356e-06,-0,0.175639,-0.0411315
0.140694,0.251964,0.128481,0.123482,-0.00660113,-0,-5.8411e-06,-0,0.17621,-0.0411216
0.146556,0.142049,0.129054,0.0129945,-0.00661051,-0,-5.84864e-06,-0,0.176782,-0.0411118
0.152418,0.154498,0.12963,0.0248686,-0.00661989,-0,-5.85621e-06,-0,0.177357,-0.0411019
0.15828,0.179836,0.130207,0.0496283,-0.00662928,-0,-5.8638e-06,-0,0.177935,-0.0410921
0.164143,0.183395,0.130788,0.0526072,-0.00663868,-0,-5.8714e-06,-0,0.178514,-0.0410822
0.170005,0.061928,0.13137,-0.0694422,-0.00664809,-0,-5.87902e-06,-0,0.179096,-0.0410723
0.175867,0.150029,0.131955,0.0180734,-0.0066575,-0,-5.88666e-06,-0,0.179681,-0.0410624
0.181729,0.299235,0.132543,0.166692,-0.00666692,-0,-5.89431e-06,-0,0.180268,-0.0410525
0.187592,0.067203,0.133132,-0.0659294,-0.00667634,-0,-5.90199e-06,-0,0.180857,-0.0410426
0.193454,0.227581,0.133725,0.0938563,-0.00668577,-0,-5.90968e-06,-0,0.181449,-0.0410327
0.199316,0.205521,0.134319,0.071202,-0.0066952,-0,-5.91739e-06,-0,0.182043,-0.0410227
