ppm,observed,fitted,residual,component_EGDA,component_EGMA,component_EG,component_AcOH,component_exchange_pool,component_baseline
0,0.0716927,0.112661,-0.0409684,-0.00663319,-0,-6.24784e-06,-0,0.160909,-0.0416083
0.00586224,0.131561,0.113168,0.0183935,-0.00664286,-0,-6.25577e-06,-0,0.161426,-0.041609
0.0117245,0.219011,0.113677,0.105334,-0.00665255,-0,-6.26372e-06,-0,0.161945,-0.0416096
0.0175867,0.0510602,0.114188,-0.0631277,-0.00666226,-0,-6.27168e-06,-0,0.162467,-0.0416102
0.0234489,0.0856246,0.114701,-0.0290763,-0.00667198,-0,-6.27967e-06,-0,0.16299,-0.0416107
0.0293112,-0.0413424,0.115216,-0.156558,-0.00668172,-0,-6.28767e-06,-0,0.163515,-0.0416112
0.0351734,-0.0207049,0.115733,-0.136438,-0.00669148,-0,-6.2957e-06,-0,0.164043,-0.0416118
0.0410357,-0.066812,0.116253,-0.183065,-0.00670124,-0,-6.30374e-06,-0,0.164573,-0.0416123
0.0468979,0.0729994,0.116774,-0.043775,-0.00671103,-0,-6.3118e-06,-0,0.165104,-0.0416127
0.0527601,0.0168434,0.117298,-0.100455,-0.00672083,-0,-6.31988e-06,-0,0.165638,-0.0416132
0.0586224,0.147163,0.117824,0.0293388,-0.00673064,-0,-6.32798e-06,-0,0.166175,-0.0416136
0.0644846,0.175719,0.118352,0.0573667,-0.00674047,-0,-6.3361e-06,-0,0.166713,-0.041614
0.0703468,0.151886,0.118882,0.0330037,-0.00675031,-0,-6.34424e-06,-0,0.167253,-0.0416144
0.0762091,-0.0771285,0.119415,-0.196543,-0.00676017,-0,-6.3524e-06,-0,0.167796,-0.0416148
0.0820713,0.0432514,0.119949,-0.0766977,-0.00677004,-0,-6.36058e-06,-0,0.168341,-0.0416151
0.0879336,0.126517,0.120486,0.00603092,-0.00677992,-0,-6.36877e-06,-0,0.168888,-0.0416155
0.0937958,0.167324,0.121025,0.0462989,-0.00678982,-0,-6.37699e-06,-0,0.169437,-0.0416158
0.099658,0.0231847,0.121566,-0.0983816,-0.00679973,-0,-6.38522e-06,-0,0.169988,-0.041616
0.10552,0.0807287,0.12211,-0.0413811,-0.00680965,-0,-6.39348e-06,-0,0.170542,-0.0416163
0.111383,0.0506184,0.122656,-0.0720372,-0.00681959,-0,-6.40176e-06,-0,0.171098,-0.0416165
0.117245,0.0581699,0.123204,-0.0650337,-0.00682953,-0,-6.41005e-06,-0,0.171656,-0.0416168
0.123107,0.239197,0.123754,0.115442,-0.0068395,-0,-6.41837e-06,-0,0.172217,-0.041617
0.128969,0.115669,0.124307,-0.00863811,-0.00684947,-0,-6.4267e-06,-0,0.17278,-0.0416171
0.134831,0.152945,0.124862,0.028083,-0.00685945,-0,-6.43506e-06,-0,0.173345,-0.0416173
0.140694,0.252,0.125419,0.126581,-0.00686945,-0,-6.44343e-06,-0,0.173912,-0.0416174
0.146556,0.142085,0.125979,0.0161065,-0.00687946,-0,-6.45183e-06,-0,0.174482,-0.0416175
0.152418,0.154535,0.126541,0.0279942,-0.00688948,-0,-6.46024e-06,-0,0.175054,-0.0416176
0.15828,0.179872,0.127105,0.0527675,-0.00689951,-0,-6.46868e-06,-0,0.175629,-0.0416177
0.164143,0.183432,0.127672,0.0557601,-0.00690954,-0,-6.47713e-06,-0,0.176205,-0.0416178
0.170005,0.0619649,0.128241,-0.0662757,-0.00691959,-0,-6.48561e-06,-0,0.176785,-0.0416178
0.175867,0.150066,0.128812,0.0212534,-0.00692965,-0,-6.49411e-06,-0,0.177366,-0.0416178
0.181729,0.299272,0.129386,0.169886,-0.00693972,-0,-6.50262e-06,-0,0.17795,-0.0416178
0.187592,0.0672404,0.129962,-0.0627221,-0.0069498,-0,-6.51116e-06,-0,0.178536,-0.0416178
0.193454,0.227618,0.130541,0.0970773,-0.00695989,-0,-6.51972e-06,-0,0.179125,-0.0416177
0.199316,0.205559,0.131122,0.0744366,-0.00696998,-0,-6.5283e-06,-0,0.179717,-0.0416176
0.205178,0.126786,0.131706,-0.00491989,-0.00698009,-0,-6.5369e-06,-0,0.18031,-0.0416175
0.211041,0.355599,0.132292,0.223307,-0.0069902,-0,-6.54552e-06,-0,0.180906,-0.0416174
0.216903,0.306557,0.132881,0.173676,-0.00700032,-0,-6.55416e-06,-0,0.181505,-0.0416173
0.222765,0.105153,0.133472,-0.0283194,-0.00701044,-0,-6.56282e-06,-0,0.182106,-0.0416171
0.228627,0.166675,0.134066,0.032609,-0.00702058,-0,-6.57151e-06,-0,0.18271,-0.0416169
0.234489,0.233468,0.134662,0.0988056,-0.00703072,-0,-6.58021e-06,-0,0.183316,-0.0416167
0.240352,0.180918,0.135261,0.0456569,-0.00704086,-0,-6.58893e-06,-0,0.183925,-0.0416165
0.246214,0.248742,0.135862,0.11288,-0.00705101,-0,-6.59768e-06,-0,0.184536,-0.0416162
0.252076,0.198036,0.136466,0.0615701,-0.00706116,-0,-6.60645e-06,-0,0.18515,-0.041616
0.257938,0.25326,0.137072,0.116188,-0.00707132,-0,-6.61524e-06,-0,0.185766,-0.0416157
0.263801,0.343843,0.137682,0.206161,-0.00708149,-0,-6.62405e-06,-0,0.186385,-0.0416154
0.269663,0.16978,0.138293,0.031487,-0.00709165,-0,-6.63288e-06,-0,0.187007,-0.041615
0.275525,0.201838,0.138908,0.0629307,-0.00710182,-0,-6.64173e-06,-0,0.187631,-0.0416147
0.281387,0.148327,0.139525,0.00880261,-0.007112,-0,-6.65061e-06,-0,0.188258,-0.0416143
0.28725,0.18906,0.140144,0.0489153,-0.00712217,-0,-6.65951e-06,-0,0.188887,-0.0416139
0.293112,0.0763377,0.140767,-0.0644289,-0.00713235,-0,-6.66842e-06,-0,0.189519,-0.0416135
0.298974,0.100962,0.141392,-0.0404291,-0.00714253,-0,-6.67736e-06,-0,0.190154,-0.0416131
0.304836,0.14535,0.142019,0.00333053,-0.0071527,-0,-6.68633e-06,-0,0.190791,-0.0416126
0.310699,0.263575,0.14265,0.120925,-0.00716288,-0,-6.69531e-06,-0,0.191432,-0.0416121
0.316561,0.32301,0.143283,0.179727,-0.00717306,-0,-6.70431e-06,-0,0.192074,-0.0416116
0.322423,0.105797,0.143919,-0.0381218,-0.00718324,-0,-6.71334e-06,-0,0.19272,-0.0416111
0.328285,0.0915473,0.144558,-0.0530103,-0.00719341,-0,-6.72239e-06,-0,0.193368,-0.0416106
