strategy,round,T_C,z_over_L
F,1,40.0,0.7795
F,1,40.0,0.804
F,1,40.0,0.8285
F,1,40.0,0.853
F,1,40.0,0.8775
F,1,40.0,0.9019999999999999
F,1,40.0,0.9265
F,1,40.0,0.9510000000000001
F,1,40.0,0.9755
F,1,40.0,1.0
F,2,160.0,0.14250000000000002
F,2,160.0,0.167
F,2,160.0,0.1915
F,2,160.0,0.2405
F,2,160.0,0.46099999999999997
F,2,160.0,0.4855
F,2,160.0,0.51
F,2,160.0,0.7795
F,2,160.0,0.9755
F,2,160.0,1.0
F,3,140.0,0.7795
F,3,140.0,0.804
F,3,140.0,0.8285
F,3,140.0,0.853
F,3,140.0,0.8775
F,3,140.0,0.9019999999999999
F,3,140.0,0.9265
F,3,140.0,0.9510000000000001
F,3,140.0,0.9755
F,3,140.0,1.0
F,4,120.0,0.7795
F,4,120.0,0.804
F,4,120.0,0.8285
F,4,120.0,0.853
F,4,120.0,0.8775
F,4,120.0,0.9019999999999999
F,4,120.0,0.9265
F,4,120.0,0.9510000000000001
F,4,120.0,0.9755
F,4,120.0,1.0
F,5,160.0,0.4855
F,5,160.0,0.51
F,5,160.0,0.5345000000000001
F,5,160.0,0.559
F,5,160.0,0.5835
F,5,160.0,0.608
F,5,160.0,0.9265
F,5,160.0,0.9510000000000001
F,5,160.0,0.9755
F,5,160.0,1.0
F,6,160.0,0.46099999999999997
F,6,160.0,0.4855
F,6,160.0,0.51
F,6,160.0,0.5345000000000001
F,6,160.0,0.559
F,6,160.0,0.5835
F,6,160.0,0.608
F,6,160.0,0.6325
F,6,160.0,0.9755
F,6,160.0,1.0
