strategy,round,T_C,z_over_L
F,1,40.0,0.7795
F,1,40.0,0.804
F,1,40.0,0.8285
F,1,40.0,0.853
F,1,40.0,0.8775
F,1,40.0,0.9019999999999999
F,1,40.0,0.9265
F,1,40.0,0.9510000000000001
F,1,40.0,0.9755
F,1,40.0,1.0
F,2,140.0,0.06899999999999999
F,2,140.0,0.0935
F,2,140.0,0.118
F,2,140.0,0.2405
F,2,140.0,0.5345000000000001
F,2,140.0,0.559
F,2,140.0,0.9265
F,2,140.0,0.9510000000000001
F,2,140.0,0.9755
F,2,140.0,1.0
F,3,160.0,0.216
F,3,160.0,0.2405
F,3,160.0,0.265
F,3,160.0,0.28950000000000004
F,3,160.0,0.314
F,3,160.0,0.33849999999999997
F,3,160.0,0.9265
F,3,160.0,0.9510000000000001
F,3,160.0,0.9755
F,3,160.0,1.0
F,4,120.0,0.7795
F,4,120.0,0.804
F,4,120.0,0.8285
F,4,120.0,0.853
F,4,120.0,0.8775
F,4,120.0,0.9019999999999999
F,4,120.0,0.9265
F,4,120.0,0.9510000000000001
F,4,120.0,0.9755
F,4,120.0,1.0
F,5,160.0,0.6815
F,5,160.0,0.7060000000000001
F,5,160.0,0.7305
F,5,160.0,0.755
F,5,160.0,0.7795
F,5,160.0,0.804
F,5,160.0,0.8285
F,5,160.0,0.853
F,5,160.0,0.8775
F,5,160.0,0.9019999999999999
F,6,160.0,0.265
F,6,160.0,0.28950000000000004
F,6,160.0,0.8285
F,6,160.0,0.853
F,6,160.0,0.8775
F,6,160.0,0.9019999999999999
F,6,160.0,0.9265
F,6,160.0,0.9510000000000001
F,6,160.0,0.9755
F,6,160.0,1.0
