strategy,round,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,1,325.624025901673,10000.0,nan,0.1334840577622401
D,2,240.1976458928663,10000.0,nan,0.04018639550424734
D,3,63.55024146906417,1117.0966279072732,nan,0.022152301549930108
D,4,54.38096123823584,311.5888508351679,nan,0.018580190690466392
D,5,46.474623539504464,44.59403898980408,nan,0.017036165403501426
D,6,44.42221294798935,36.36597585380001,nan,0.01485487780257141
D,7,41.380941976424744,35.937691111092995,nan,0.01369290706218874
D,8,39.745041629460616,30.676714071025486,nan,0.013572536772085966
F,1,72.38809388866845,1384.718054839111,nan,0.09604396619602171
F,2,39.8617661997517,799.5849453396168,nan,0.013632284786385637
F,3,15.066969167311163,556.6517414149835,nan,0.002547662799438642
F,4,13.775638804512763,458.68252359099927,nan,0.0012463232559557463
F,5,14.281021937751689,426.3861586431846,nan,0.0011577238670450293
F,6,15.47452392531024,412.15484680559166,nan,0.001110501509391055
F,7,16.66023809696401,392.5790100000246,nan,0.0010762261725729802
F,8,18.08724812776209,381.8884979423518,nan,0.001062282749929577
