scenario           strategy      n_seeds  n_faulted  median_rounds  param_err_pct_median  param_err_pct_iqr_lo  param_err_pct_iqr_hi  param_err_pct_mean  param_err_pct_bootci_lo  param_err_pct_bootci_hi  blind_rmse_M_median  blind_rmse_M_iqr_lo  blind_rmse_M_iqr_hi  blind_rmse_M_mean  blind_rmse_M_bootci_lo  blind_rmse_M_bootci_hi
S1_ideal           A             40       0          8              46.7                  41.7                  53.29                 46.61               44.33                    49.8                     0.003936             0.003162             0.005495             0.004644           0.003642                0.004805              
S1_ideal           B             40       0          8              30.01                 15.82                 40.9                  28.07               17.79                    39.82                    0.001341             0.0009426            0.00253              0.001677           0.001099                0.001979              
S1_ideal           C             40       0          8              15.87                 10.07                 39.58                 20.94               12.95                    23.97                    0.002038             0.001421             0.002423             0.002053           0.001717                0.002202              
S1_ideal           D             40       0          8              10.39                 4.612                 19.23                 14.02               6.013                    16.54                    0.0007435            0.000597             0.0009479            0.0007803          0.0006712               0.0008465             
S1_ideal           E             40       0          8              7.085                 3.795                 12.28                 10.65               5.588                    9.841                    0.0006428            0.0005585            0.0007335            0.0006228          0.0005778               0.0007154             
S1_ideal           F             40       0          8              5.772                 3.704                 9.302                 6.478               4.052                    7.97                     0.0006313            0.0004929            0.0008034            0.000678           0.000581                0.0007711             
S2_nmr             B             40       0          8              49.95                 32.44                 56.48                 44.97               46.53                    53.12                    0.008963             0.006473             0.01092              0.008696           0.007977                0.009803              
S2_nmr             D             40       0          8              41.5                  16.56                 42.6                  32.53               36.82                    42.35                    0.003085             0.002674             0.004146             0.003436           0.002802                0.003777              
S2_nmr             F             40       0          8              16.72                 10.4                  26.23                 17.89               13.47                    23.71                    0.000965             0.0007424            0.001293             0.001057           0.0008071               0.001189              
S3_transport       D             40       0          8              36.75                 31.88                 45.28                 37.72               33.85                    40.35                    0.01074              0.009609             0.01558              0.01177            0.009938                0.01185               
S3_transport       F             40       0          8              10.61                 5.692                 18.83                 12.65               8.801                    16.21                    0.001262             0.001074             0.001578             0.001358           0.001185                0.001457              
S3_transport       F-uncorr      40       0          8              48.34                 33.46                 63.44                 47.07               42.63                    55.5                     0.0127               0.01147              0.01503              0.01314            0.01212                 0.01322               
S3ab_delay         D             40       0          8              41.87                 32.65                 48.12                 39.75               37.27                    45.88                    0.01308              0.011                0.01678              0.01357            0.01209                 0.01483               
S3ab_delay         F             40       0          8              19.04                 10.78                 25.58                 18.09               13.26                    24.39                    0.0009609            0.0007223            0.001408             0.001062           0.0008455               0.001204              
S3ab_rtd           D             40       0          8              36.81                 31.54                 44.01                 36.81               33.42                    40.76                    0.01191              0.01081              0.01513              0.01274            0.01101                 0.01298               
S3ab_rtd           F             40       0          8              22.01                 12.84                 26.27                 19.45               16.01                    25.53                    0.001061             0.0008192            0.001433             0.001102           0.0008705               0.001258              
S4a_ambiguity      D             40       0          10             40.66                 20.17                 42.04                 32.47               36.13                    41.65                    0.002976             0.002481             0.003908             0.003256           0.002691                0.003619              
S4a_ambiguity      F             40       0          10             17.24                 10.54                 28.13                 19.26               14.13                    24.52                    0.000931             0.0007869            0.001327             0.001056           0.0008752               0.001096              
S4b_identifiable   D             40       0          8              41.5                  16.56                 42.6                  32.53               36.82                    42.35                    0.003085             0.002674             0.004146             0.003436           0.002802                0.003777              
S4b_identifiable   F             40       0          8              19.77                 8.789                 26.51                 18.13               11.96                    24.25                    0.0009292            0.0008004            0.00121              0.001008           0.0008494               0.001079              
S4c_out_of_domain  F             40       0          8              116.9                 106.6                 124.9                 116.2               111.9                    120.4                    0.0264               0.02471              0.02986              0.02774            0.02513                 0.02804               
S5_inadequacy      D             40       0          8              67.85                 66.48                 75.5                  70.48               66.8                     74.63                    0.02396              0.02328              0.02537              0.02433            0.02344                 0.02517               
S5_inadequacy      F             40       0          8              36.11                 32.93                 44.72                 39.14               33.59                    41.52                    0.04816              0.03364              0.05684              0.04665            0.03984                 0.05568               
S5_inadequacy      F-noGovernor  40       0          8              38.38                 27.76                 43.99                 37.36               35.49                    43.22                    0.05137              0.04325              0.0596               0.0505             0.04728                 0.05642               
S6_resources       D             40       0          8              41.5                  16.56                 42.6                  32.53               36.82                    42.35                    0.003085             0.002674             0.004146             0.003436           0.002802                0.003777              
S6_resources       F             40       0          8              16.72                 10.4                  26.23                 17.89               13.47                    23.71                    0.000965             0.0007424            0.001293             0.001057           0.0008071               0.001189              
S6_resources       F-res-0.5x    40       0          8              23.68                 14.31                 26.85                 21.38               17.15                    25.62                    0.001401             0.0008302            0.001972             0.001522           0.001142                0.001791              
S6_resources       F-res-1x      40       0          8              21.8                  14.21                 28.75                 21.32               18.23                    27.37                    0.001664             0.001262             0.002189             0.001771           0.001502                0.002018              
S6_resources       F-res-2x      40       0          8              23.12                 13.17                 30.93                 24.36               15.09                    26.74                    0.003565             0.002333             0.01487              0.009759           0.002741                0.00491               
S6_resources       F-res-4x      40       0          8              31.72                 27.96                 45.62                 38.6                29.45                    34.59                    0.0246               0.01971              0.03236              0.02755            0.02082                 0.02904               
S7_spatial_modes   F-zadaptive   40       2          8              20.45                 11.28                 25.34                 18.9                14.62                    24.5                     0.00105              0.0007858            0.00145              0.001224           0.0009005               0.001226              
S7_spatial_modes   F-zbatch      40       0          8              16.72                 10.4                  26.23                 17.89               13.47                    23.71                    0.000965             0.0007424            0.001293             0.001057           0.0008071               0.001189              
S7_spatial_modes   F-zfixed      40       0          8              21.1                  13.56                 28.29                 20.51               14.86                    24.96                    0.001089             0.000895             0.001357             0.001156           0.000944                0.001175              
