scenario       strategy      n_seeds  n_faulted  median_rounds  param_err_pct_median  param_err_pct_iqr_lo  param_err_pct_iqr_hi  param_err_pct_mean  param_err_pct_bootci_lo  param_err_pct_bootci_hi  blind_rmse_M_median  blind_rmse_M_iqr_lo  blind_rmse_M_iqr_hi  blind_rmse_M_mean  blind_rmse_M_bootci_lo  blind_rmse_M_bootci_hi
S1_ideal       A             1        0          3              163.3                 163.3                 163.3                 163.3               nan                      nan                      0.0276               0.0276               0.0276               0.0276             nan                     nan                   
S1_ideal       B             1        0          3              8.938                 8.938                 8.938                 8.938               nan                      nan                      0.001501             0.001501             0.001501             0.001501           nan                     nan                   
S1_ideal       C             1        0          3              168                   168                   168                   168                 nan                      nan                      0.02341              0.02341              0.02341              0.02341            nan                     nan                   
S1_ideal       D             1        0          3              5.518                 5.518                 5.518                 5.518               nan                      nan                      0.001341             0.001341             0.001341             0.001341           nan                     nan                   
S1_ideal       E             1        0          3              14.53                 14.53                 14.53                 14.53               nan                      nan                      0.00199              0.00199              0.00199              0.00199            nan                     nan                   
S1_ideal       F             1        0          3              6.085                 6.085                 6.085                 6.085               nan                      nan                      0.001431             0.001431             0.001431             0.001431           nan                     nan                   
S3_transport   D             1        0          3              72.38                 72.38                 72.38                 72.38               nan                      nan                      0.02953              0.02953              0.02953              0.02953            nan                     nan                   
S3_transport   F             1        0          3              14.21                 14.21                 14.21                 14.21               nan                      nan                      0.002542             0.002542             0.002542             0.002542           nan                     nan                   
S3_transport   F-uncorr      1        0          3              91.49                 91.49                 91.49                 91.49               nan                      nan                      0.02821              0.02821              0.02821              0.02821            nan                     nan                   
S5_inadequacy  D             1        0          3              42.32                 42.32                 42.32                 42.32               nan                      nan                      0.1343               0.1343               0.1343               0.1343             nan                     nan                   
S5_inadequacy  F             1        0          3              4.584                 4.584                 4.584                 4.584               nan                      nan                      0.1246               0.1246               0.1246               0.1246             nan                     nan                   
S5_inadequacy  F-noGovernor  1        0          3              4.584                 4.584                 4.584                 4.584               nan                      nan                      0.1246               0.1246               0.1246               0.1246             nan                     nan                   
