basis,boot_ci_hi,boot_ci_lo,mean,median,metric,n_faulted_cumulative,n_in_summary,n_observed,n_total,q25,q75,round,scenario,strategy
observed,257.96248078205065,187.2232014919201,219.6062760575785,204.44720937523644,param_err_pct,0,40,40,40,168.76313379887964,284.3866394420543,1,S1_ideal,A
locf,257.96248078205065,186.20173169489007,219.6062760575785,204.44720937523644,param_err_pct,0,40,40,40,168.76313379887964,284.3866394420543,1,S1_ideal,A
observed,0.1153770168933918,0.10303242628581992,0.1127114140359164,0.11178087383952359,blind_rmse_M,0,40,40,40,0.09964883504140515,0.11824966519900622,1,S1_ideal,A
locf,0.11523779858118204,0.10303242628581992,0.1127114140359164,0.11178087383952359,blind_rmse_M,0,40,40,40,0.09964883504140515,0.11824966519900622,1,S1_ideal,A
observed,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,1,S1_ideal,A
locf,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,1,S1_ideal,A
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,1,S1_ideal,A
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,1,S1_ideal,A
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,1,S1_ideal,A
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,1,S1_ideal,A
observed,1475.442360233099,1475.442360233099,1475.442360233099,1475.442360233099,time_s,0,40,40,40,1475.442360233099,1475.442360233099,1,S1_ideal,A
locf,1475.442360233099,1475.442360233099,1475.442360233099,1475.442360233099,time_s,0,40,40,40,1475.442360233099,1475.442360233099,1,S1_ideal,A
observed,0.012295353001942491,0.012295353001942491,0.012295353001942491,0.012295353001942491,egda_mol,0,40,40,40,0.012295353001942491,0.012295353001942491,1,S1_ideal,A
locf,0.012295353001942491,0.012295353001942491,0.012295353001942491,0.012295353001942491,egda_mol,0,40,40,40,0.012295353001942491,0.012295353001942491,1,S1_ideal,A
observed,1.541837266443588,1.541837266443588,1.541837266443588,1.541837266443588,energy_kJ,0,40,40,40,1.541837266443588,1.541837266443588,1,S1_ideal,A
locf,1.541837266443588,1.541837266443588,1.541837266443588,1.541837266443588,energy_kJ,0,40,40,40,1.541837266443588,1.541837266443588,1,S1_ideal,A
observed,1.0,1.0,1.0,1.0,nmr_acquisitions,0,40,40,40,1.0,1.0,1,S1_ideal,A
locf,1.0,1.0,1.0,1.0,nmr_acquisitions,0,40,40,40,1.0,1.0,1,S1_ideal,A
observed,1.0,1.0,1.0,1.0,spatial_samples,0,40,40,40,1.0,1.0,1,S1_ideal,A
locf,1.0,1.0,1.0,1.0,spatial_samples,0,40,40,40,1.0,1.0,1,S1_ideal,A
observed,197.42976945245454,143.95793900844393,180.98086243983477,165.38337341298723,param_err_pct,0,40,40,40,121.57340378143122,227.16520604608417,2,S1_ideal,A
locf,196.42667356434794,143.95793900844393,180.98086243983477,165.38337341298723,param_err_pct,0,40,40,40,121.57340378143122,227.16520604608417,2,S1_ideal,A
observed,0.09526167884904191,0.0618874028202588,0.08473184037353657,0.07585121913491596,blind_rmse_M,0,40,40,40,0.05716291959680268,0.10696562062456288,2,S1_ideal,A
locf,0.09207657972393611,0.06185898937573109,0.08473184037353657,0.07585121913491596,blind_rmse_M,0,40,40,40,0.05716291959680268,0.10696562062456288,2,S1_ideal,A
observed,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,2,S1_ideal,A
locf,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,2,S1_ideal,A
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,2,S1_ideal,A
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,2,S1_ideal,A
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,2,S1_ideal,A
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,2,S1_ideal,A
observed,3293.7418633233406,3293.7418633233406,3293.7418633233406,3293.7418633233406,time_s,0,40,40,40,3293.7418633233406,3293.7418633233406,2,S1_ideal,A
locf,3293.7418633233406,3293.7418633233406,3293.7418633233406,3293.7418633233406,time_s,0,40,40,40,3293.7418633233406,3293.7418633233406,2,S1_ideal,A
observed,0.02744784886102784,0.02744784886102784,0.02744784886102784,0.02744784886102784,egda_mol,0,40,40,40,0.02744784886102784,0.02744784886102784,2,S1_ideal,A
