C_EGDA_M,C_cat_M,Q1_mL_min,Q2_mL_min,Q_total_mL_min,T_C,beta_model_weight,design_mode,eig_evaluated,eig_model,eig_param,governor_state,n_positions,rank,resource_penalty,round,scenario,screen_score,seed,selected,strategy,utility_total,z_positions_m
1.0,0.5,1.0,1.0,2.0,160.0,1.0,eig,1,0.0,2.7725887222397816,NORMAL_LEARNING,10,1,0.0,2,S1_ideal,106.07169686692527,1,1,F,2.7725887222397816,0.0138;0.0187;0.0236;0.0285;0.0334;0.1804;0.1853;0.1902;0.1951;0.2
1.0,1.0,4.0,4.0,8.0,160.0,1.0,eig,1,0.0,2.77258872223949,NORMAL_LEARNING,10,2,0.0,2,S1_ideal,105.98461966183872,1,0,F,2.77258872223949,0.0334;0.0383;0.0432;0.0481;0.053;0.1804;0.1853;0.1902;0.1951;0.2
1.0,1.0,1.0,1.0,2.0,140.0,1.0,eig,1,0.0,2.7725887222397785,NORMAL_LEARNING,10,3,0.0,2,S1_ideal,105.90365260353741,1,0,F,2.7725887222397785,0.0187;0.0236;0.0285;0.0334;0.0383;0.1804;0.1853;0.1902;0.1951;0.2
1.0,1.0,1.0,1.0,2.0,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,2,S1_ideal,105.82224083515626,1,0,F,nan,0.0089;0.0138;0.0187;0.0236;0.102;0.1314;0.1363;0.1412;0.1951;0.2
1.0,0.5,1.0,1.0,2.0,140.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,5,nan,2,S1_ideal,105.61809458589967,1,0,F,nan,0.0334;0.0383;0.0432;0.0481;0.053;0.1804;0.1853;0.1902;0.1951;0.2
1.0,0.5,0.25,0.25,0.5,140.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,6,nan,2,S1_ideal,105.57414192409163,1,0,F,nan,0.0089;0.0138;0.0187;0.0236;0.1216;0.1657;0.1706;0.1755;0.1951;0.2
1.0,1.0,0.25,0.25,0.5,120.0,1.0,eig,1,0.0,2.772526342123454,NORMAL_LEARNING,10,1,0.0,3,S1_ideal,16.823159457816974,1,1,F,2.772526342123454,0.053;0.0579;0.0628;0.0677;0.0726;0.1804;0.1853;0.1902;0.1951;0.2
1.0,1.0,0.25,0.25,0.5,100.0,1.0,eig,1,0.0,2.698269214244828,NORMAL_LEARNING,10,2,0.0,3,S1_ideal,15.56952180185727,1,0,F,2.698269214244828,0.0726;0.0775;0.0824;0.0873;0.0922;0.1804;0.1853;0.1902;0.1951;0.2
1.0,1.0,0.25,0.25,0.5,140.0,1.0,eig,1,0.0,2.7557801469634384,NORMAL_LEARNING,10,3,0.0,3,S1_ideal,15.044027700486584,1,0,F,2.7557801469634384,0.0334;0.0432;0.0579;0.0628;0.0677;0.0726;0.1657;0.1902;0.1951;0.2
1.0,0.5,0.25,0.25,0.5,140.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,3,S1_ideal,14.408734441464976,1,0,F,nan,0.0628;0.0677;0.0726;0.0824;0.1755;0.1804;0.1853;0.1902;0.1951;0.2
