scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S1_ideal,A,param_err_pct,observed,1,40,40,40,0,204.44720937523644,168.76313379887964,284.3866394420543,187.2232014919201,257.96248078205065
S1_ideal,A,param_err_pct,observed,2,40,40,40,0,165.38337341298723,121.57340378143122,227.16520604608417,143.95793900844393,197.42976945245454
S1_ideal,A,param_err_pct,observed,3,40,40,40,0,145.97711377746288,124.62611689786809,171.6393713400663,129.87308079625274,163.28639829302062
S1_ideal,A,param_err_pct,observed,4,40,40,40,0,151.30533902873464,112.48180820006779,177.8634432065536,136.36284997462874,170.28798741000958
S1_ideal,A,param_err_pct,observed,5,40,40,40,0,120.58570351614907,102.04465089534618,170.20935049855774,104.62737006426121,148.15599573231336
S1_ideal,A,param_err_pct,observed,6,40,40,40,0,108.36307386113737,73.98089089912185,138.86740864333822,88.57082044095563,128.35878365307903
S1_ideal,A,param_err_pct,observed,7,40,40,40,0,53.731213398619694,47.85339595488196,71.79785418280797,49.8589293367222,64.45131955660794
S1_ideal,A,param_err_pct,observed,8,40,40,40,0,46.69582413643566,41.702873809352965,53.28927034097797,44.32543026165781,49.79742572216371
S1_ideal,B,param_err_pct,observed,1,40,40,40,0,261.47205734659,191.40040894689736,349.153627330771,208.7024558888649,331.79281463208446
S1_ideal,B,param_err_pct,observed,2,40,40,40,0,177.92165769145436,145.58181744141012,223.78348487097983,161.27202187541997,204.1727665154251
S1_ideal,B,param_err_pct,observed,3,40,40,40,0,165.43275842051617,141.88290855200972,187.87637593113405,150.51913155565865,180.450380611274
S1_ideal,B,param_err_pct,observed,4,40,40,40,0,135.03299241069323,108.39531165843661,177.1504118175767,112.69590172176234,159.62478573343276
S1_ideal,B,param_err_pct,observed,5,40,40,40,0,105.2773842654821,84.8541594516829,142.73948705603135,87.7616695794279,120.3300641871271
S1_ideal,B,param_err_pct,observed,6,40,40,40,0,58.77231719670958,42.80479761503401,87.43368156221896,48.246448026661895,77.60513473603945
S1_ideal,B,param_err_pct,observed,7,40,40,40,0,40.58877202708568,17.131624016622055,46.30215942769001,33.439179096866134,44.46140906139303
S1_ideal,B,param_err_pct,observed,8,40,40,40,0,30.006311204549597,15.822357535657627,40.90378487686015,17.786295564297582,39.81955649301364
S1_ideal,C,param_err_pct,observed,1,40,40,40,0,204.44720937523644,168.76313379887964,284.3866394420543,186.20173169489007,254.8642290606429
S1_ideal,C,param_err_pct,observed,2,40,40,40,0,160.82113648122578,136.2985761267268,190.90549995570126,139.6811922649808,177.8797313384423
S1_ideal,C,param_err_pct,observed,3,40,40,40,0,109.25616021991445,87.54858321935262,145.4585602977101,98.44081744596623,128.58192869021795
S1_ideal,C,param_err_pct,observed,4,40,40,40,0,35.21756583264914,24.553600489251167,45.19144013337299,28.479801152767592,42.310163705798644
S1_ideal,C,param_err_pct,observed,5,40,40,40,0,26.4594164669368,14.211861106349222,41.693400262616606,21.824131527001647,40.29143835399354
S1_ideal,C,param_err_pct,observed,6,40,40,40,0,19.489994535906085,11.515135439541464,40.28072573591104,14.180516018981322,31.79879379214441
S1_ideal,C,param_err_pct,observed,7,40,40,40,0,14.98736486247183,10.515583046551052,39.27681019023965,13.977209503187868,21.42288755022569
S1_ideal,C,param_err_pct,observed,8,40,40,40,0,15.869190604764093,10.07169768305151,39.57935991749157,12.946480614103585,23.724313173738544
S1_ideal,D,param_err_pct,observed,1,40,40,40,0,261.47205734659,191.40040894689736,349.153627330771,209.08947397505221,331.870105442484
S1_ideal,D,param_err_pct,observed,2,40,40,40,0,150.6219796796483,93.623101599278,194.12810536945764,117.2096147517613,172.47342710395043
S1_ideal,D,param_err_pct,observed,3,40,40,40,0,18.939744755751022,8.234925411146765,40.894173433970664,13.23742227497191,39.2633570965977
S1_ideal,D,param_err_pct,observed,4,40,40,40,0,14.044871062959608,6.566194344047272,38.79425593549378,10.757876367772933,25.202085360938383
S1_ideal,D,param_err_pct,observed,5,40,40,40,0,11.165062275415139,5.859180891287724,27.272713925936277,8.69281659641361,19.260700827366662
S1_ideal,D,param_err_pct,observed,6,40,40,40,0,12.132506130911825,6.51880412858567,20.307696060497488,8.4732502738065,16.325238592189883
S1_ideal,D,param_err_pct,observed,7,40,40,40,0,12.32135158407508,5.393848765530629,19.33621610505533,8.996077008403592,17.353654727201196
S1_ideal,D,param_err_pct,observed,8,40,40,40,0,10.385644646730896,4.612078105332573,19.229925020985895,6.013253185014234,17.367183574330426
S1_ideal,E,param_err_pct,observed,1,40,40,40,0,230.16798289966093,193.52048780346394,347.29601217821937,218.13100300214228,294.8891638102323
S1_ideal,E,param_err_pct,observed,2,40,40,40,0,172.58634700336148,117.49970094047622,210.9931758468144,141.0053972607815,200.77050959648193
S1_ideal,E,param_err_pct,observed,3,40,40,40,0,18.610788456147233,10.285573810364827,40.219082661490035,13.647071941108702,34.643880172072244
S1_ideal,E,param_err_pct,observed,4,40,40,40,0,13.84417383639619,5.793282213282952,31.937642798668453,8.827201156667698,19.181674181364084
S1_ideal,E,param_err_pct,observed,5,40,40,40,0,11.048041749739124,6.563157867885783,17.934332336268714,8.336074563610152,15.874665368840613
S1_ideal,E,param_err_pct,observed,6,40,40,40,0,8.160986904405053,5.489217018585812,13.627026988880619,6.57415254987328,11.07935402980117
S1_ideal,E,param_err_pct,observed,7,40,40,40,0,8.032263250726679,5.0912592747547505,13.29621490563132,5.58815510184596,10.7053428341656
S1_ideal,E,param_err_pct,observed,8,40,40,40,0,7.08515378238369,3.7954704799711525,12.278195289874011,5.587855147559273,9.841114207230795
S1_ideal,F,param_err_pct,observed,1,40,40,40,0,54.23563084335132,48.02636015495706,76.29727373478599,50.74728327117661,62.760799462323
S1_ideal,F,param_err_pct,observed,2,40,40,40,0,21.599811609100726,16.410137458186338,38.06104632302392,19.031639306347504,27.73891754612283
S1_ideal,F,param_err_pct,observed,3,40,40,40,0,8.720638065263008,4.77374535026886,11.693372188843393,6.251988205061176,10.500944903256894
S1_ideal,F,param_err_pct,observed,4,40,40,40,0,5.263553041021174,2.6249089822692584,8.7504527924681,3.906599867665572,7.539089191629012
S1_ideal,F,param_err_pct,observed,5,40,40,40,0,5.511563461981361,2.9208350103377247,8.579506460203085,3.6474905975351635,7.093563084649267
S1_ideal,F,param_err_pct,observed,6,40,40,40,0,5.974176673519594,3.870022895441222,9.251248448264503,4.484869073308307,7.160117672552158
S1_ideal,F,param_err_pct,observed,7,40,40,40,0,6.332620712554526,3.641281365934923,8.848338014283936,4.572832913304026,8.246359974361393
