scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S2_nmr,B,param_err_pct,locf,1,40,40,40,0,338.3475447547605,243.7897412013323,371.1828893642685,295.34443034975317,359.0725544629506
S2_nmr,B,param_err_pct,locf,2,40,40,40,0,227.74395470619098,199.06202906182438,258.52789761172767,204.55139918079138,242.9116220272376
S2_nmr,B,param_err_pct,locf,3,40,40,40,0,180.6155291113198,160.37339295406474,201.80341149673407,166.93294899906155,196.57354683856386
S2_nmr,B,param_err_pct,locf,4,40,40,40,0,174.41367447355583,163.8977404967563,188.81842513895864,168.2530464313137,184.14940473487718
S2_nmr,B,param_err_pct,locf,5,40,40,40,0,145.83825627493405,123.54074775631084,169.60493575954155,132.67457852822236,165.5221918877827
S2_nmr,B,param_err_pct,locf,6,40,40,40,0,99.06923464836652,84.3327234939641,118.04786089259852,89.56587641144688,110.11898277442262
S2_nmr,B,param_err_pct,locf,7,40,40,40,0,60.46256086785466,51.00380594767095,69.43536104162047,54.65079204192429,66.2601949546239
S2_nmr,B,param_err_pct,locf,8,40,40,40,0,49.95296667857785,32.438323022342686,56.48054065270358,46.734369147686316,53.044976997744754
S2_nmr,D,param_err_pct,locf,1,40,40,40,0,338.3475447547605,243.7897412013323,371.1828893642685,291.52608562379726,359.0725544629506
S2_nmr,D,param_err_pct,locf,2,40,40,40,0,232.45122043932565,183.0859039741946,252.8031007983024,195.5877281159557,248.83826738856956
S2_nmr,D,param_err_pct,locf,3,40,40,40,0,46.05484617465275,43.747441166547304,49.08995827306512,44.22355599892519,47.92116327159347
S2_nmr,D,param_err_pct,locf,4,40,40,40,0,42.29319817121724,41.02784197794918,43.84824747734638,41.508973538471565,43.35147136628839
S2_nmr,D,param_err_pct,locf,5,40,40,40,0,41.76906121900321,39.35266828997647,43.61543163027899,41.17670900975907,42.79856208885221
S2_nmr,D,param_err_pct,locf,6,40,40,40,0,41.62798541512109,19.532011631201076,42.503590668489736,41.05691396664825,42.05435122037269
S2_nmr,D,param_err_pct,locf,7,40,40,40,0,41.45089469808334,27.958767900077717,43.26753936620537,40.50724253301712,42.30023923357437
S2_nmr,D,param_err_pct,locf,8,40,40,40,0,41.50213350259049,16.560225694061316,42.6025239148408,36.82202275356033,42.350976687432365
S2_nmr,F,param_err_pct,locf,1,40,40,40,0,76.04803860790201,56.08463867595522,90.85147872969085,66.00927762816747,85.33332322106762
S2_nmr,F,param_err_pct,locf,2,40,40,40,0,32.38759248066523,23.70483540812625,55.97649026395335,28.332822150252024,43.87870734787498
S2_nmr,F,param_err_pct,locf,3,40,40,40,0,15.328380325764734,10.187429100607408,18.30600583723371,13.238475844205755,17.583409568013554
S2_nmr,F,param_err_pct,locf,4,40,40,40,0,14.107794053553757,7.999888349630114,20.777400769707516,10.025253332714957,17.371864121296944
S2_nmr,F,param_err_pct,locf,5,40,40,40,0,13.948289402667069,7.424083350305466,21.732423984514156,10.876927930102998,17.15869298963343
S2_nmr,F,param_err_pct,locf,6,40,40,40,0,16.416057042852284,10.40195975778786,22.526437738877835,11.49243085048941,19.738489307634833
S2_nmr,F,param_err_pct,locf,7,40,40,40,0,16.2468545928672,8.910272038317968,24.391634147595816,13.072250708886823,21.40166060903541
S2_nmr,F,param_err_pct,locf,8,40,40,40,0,16.702170432257347,10.397833474739876,26.230851069940343,13.463913248595327,23.738545381667166
S2_nmr,B,blind_rmse_M,locf,1,40,40,40,0,0.1435775156846795,0.11756770353528476,0.1507164467060939,0.1305477513630397,0.1496553249927612
S2_nmr,B,blind_rmse_M,locf,2,40,40,40,0,0.05841505630030613,0.049827475864339055,0.0671740021728997,0.05122111614854123,0.0647368477297977
S2_nmr,B,blind_rmse_M,locf,3,40,40,40,0,0.05052358633540556,0.0461596246979702,0.05518595647940456,0.047223039817970984,0.05319738018469314
S2_nmr,B,blind_rmse_M,locf,4,40,40,40,0,0.051656912609069225,0.04538295105941062,0.054464816067371004,0.05030180899903508,0.053655024280011995
S2_nmr,B,blind_rmse_M,locf,5,40,40,40,0,0.041645589382489225,0.03471220042193402,0.045806920163947995,0.03970303529035138,0.04281232069278984
S2_nmr,B,blind_rmse_M,locf,6,40,40,40,0,0.021502863089182242,0.01834402598970381,0.026607022492749394,0.020297870011626393,0.0233207218727478
S2_nmr,B,blind_rmse_M,locf,7,40,40,40,0,0.011147604859514146,0.007992165363318721,0.013010907987562343,0.009925046657725861,0.011944473763272333
S2_nmr,B,blind_rmse_M,locf,8,40,40,40,0,0.008962899741128004,0.006472589478135558,0.010918894759299955,0.007976839015096528,0.009801257073938223
S2_nmr,D,blind_rmse_M,locf,1,40,40,40,0,0.1435775156846795,0.11756770353528476,0.1507164467060939,0.12932612567704665,0.14955487497521866
S2_nmr,D,blind_rmse_M,locf,2,40,40,40,0,0.037763024393743225,0.027586657588727304,0.046392979768197,0.030543089757588886,0.04431814507836228
S2_nmr,D,blind_rmse_M,locf,3,40,40,40,0,0.00606499646262846,0.004998866519680583,0.007959161870782609,0.0052641323449002225,0.0067141506454192635
S2_nmr,D,blind_rmse_M,locf,4,40,40,40,0,0.003521868031568683,0.00293050302831509,0.004733690702946102,0.0030440324701786377,0.004134581717724338
S2_nmr,D,blind_rmse_M,locf,5,40,40,40,0,0.0033881563550544535,0.002849743149808434,0.004453386212480218,0.0030749055842986886,0.0038414111230390987
S2_nmr,D,blind_rmse_M,locf,6,40,40,40,0,0.0032478785450230224,0.0027030553372107097,0.00432354245519807,0.002993661880067538,0.0038370936228133354
S2_nmr,D,blind_rmse_M,locf,7,40,40,40,0,0.0031961930384279014,0.0027187167419055625,0.004137926090984985,0.00283648869978443,0.0037194036704978096
S2_nmr,D,blind_rmse_M,locf,8,40,40,40,0,0.0030847212244662276,0.002673624802391319,0.0041458773382927515,0.002801730679056944,0.0037313144318434203
S2_nmr,F,blind_rmse_M,locf,1,40,40,40,0,0.09600738885466796,0.08845817216027703,0.10175601017955563,0.09166809356468461,0.10020927083713267
S2_nmr,F,blind_rmse_M,locf,2,40,40,40,0,0.013672397910097087,0.012154050613444024,0.01702013363536848,0.012945737029638568,0.015964379682470765
S2_nmr,F,blind_rmse_M,locf,3,40,40,40,0,0.0019482646449081485,0.0015038466632082525,0.002887293376501703,0.0016016149075946686,0.0023973706780016347
S2_nmr,F,blind_rmse_M,locf,4,40,40,40,0,0.001278908086966204,0.0008781312079338798,0.0015949083072776063,0.0010899327095559195,0.0014531291584077134
S2_nmr,F,blind_rmse_M,locf,5,40,40,40,0,0.0010838635636658918,0.000758501026926757,0.0014323480203108847,0.0009895273026474859,0.0012873848880843902
S2_nmr,F,blind_rmse_M,locf,6,40,40,40,0,0.0010537980153482872,0.0007865908172515179,0.0014401854494460928,0.0008795938423516621,0.001178855620483289
S2_nmr,F,blind_rmse_M,locf,7,40,40,40,0,0.000982638679011753,0.0007929198097921774,0.0013872267802235508,0.0009003320393476561,0.001246848112459931
S2_nmr,F,blind_rmse_M,locf,8,40,40,40,0,0.0009650297663195253,0.0007424212151626928,0.001293455343120616,0.000807051945735187,0.00118939763268228
S2_nmr,B,max_rel_ci_pct,locf,1,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S2_nmr,B,max_rel_ci_pct,locf,2,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S2_nmr,B,max_rel_ci_pct,locf,3,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S2_nmr,B,max_rel_ci_pct,locf,4,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S2_nmr,B,max_rel_ci_pct,locf,5,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S2_nmr,B,max_rel_ci_pct,locf,6,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S2_nmr,B,max_rel_ci_pct,locf,7,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S2_nmr,B,max_rel_ci_pct,locf,8,40,40,40,0,10000.0,759.7464015518176,10000.0,7969.966569571325,10000.0
S2_nmr,D,max_rel_ci_pct,locf,1,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S2_nmr,D,max_rel_ci_pct,locf,2,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S2_nmr,D,max_rel_ci_pct,locf,3,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S2_nmr,D,max_rel_ci_pct,locf,4,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
