scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S3_transport,D,param_err_pct,observed,1,40,40,40,0,324.7304202407643,264.7304454600038,405.45218406678964,283.9888990229458,395.0943280692867
S3_transport,D,param_err_pct,observed,2,40,40,40,0,245.76088213562002,195.39677850490136,283.1374435714426,220.99183170152907,273.67059259335093
S3_transport,D,param_err_pct,observed,3,40,40,40,0,63.41403018663833,40.83547550786038,80.1363147719694,52.28374824660828,76.84135715224345
S3_transport,D,param_err_pct,observed,4,40,40,40,0,46.55800927859806,32.00492561508065,69.74375365533189,35.6298905215631,62.331406709418886
S3_transport,D,param_err_pct,observed,5,40,40,40,0,41.4145978280104,30.986876954003066,57.82589705818768,33.8866808320676,50.78029497248363
S3_transport,D,param_err_pct,observed,6,40,40,40,0,41.03836922641951,33.09858914219228,54.32511837830485,36.16240809745504,48.735313706265494
S3_transport,D,param_err_pct,observed,7,40,40,40,0,38.529322183233035,33.53698471937211,49.004372886489875,34.26656226298527,44.04911276215827
S3_transport,D,param_err_pct,observed,8,40,40,40,0,36.753165539412066,31.878096378398396,45.2753682570012,33.85217376980009,40.3516896969855
S3_transport,F,param_err_pct,observed,1,40,40,40,0,74.31216591542793,55.388992519356236,87.98219555330726,65.00956686033345,83.95608237701545
S3_transport,F,param_err_pct,observed,2,40,40,40,0,38.450194410526066,27.144375661764553,60.36573313765958,31.029179705814123,53.521765284129295
S3_transport,F,param_err_pct,observed,3,40,40,40,0,14.655930196118018,11.463547573221883,17.046241736739947,13.015791784175734,15.79600606855318
S3_transport,F,param_err_pct,observed,4,40,40,40,0,11.562636489711453,3.8348664269761414,16.772708357540118,7.423116666318174,14.406394438291903
S3_transport,F,param_err_pct,observed,5,40,40,40,0,11.191195309084312,4.391091184019364,16.607476906512495,6.6685352729818685,14.630938397356385
S3_transport,F,param_err_pct,observed,6,40,40,40,0,10.933588237976256,4.766405751713709,17.55259328208478,6.662625248631404,14.063137686695592
S3_transport,F,param_err_pct,observed,7,40,40,40,0,10.047287020828621,6.087385092579711,17.669349391504582,8.466576394356972,14.61179949322804
S3_transport,F,param_err_pct,observed,8,40,40,40,0,10.616934796206145,5.320562885022817,18.0646325286627,8.823373459417128,15.028815017274288
S3_transport,F-uncorr,param_err_pct,observed,1,40,40,40,0,76.66669628346924,57.15113839749454,88.80896309802225,64.97493141086582,86.12644983992573
S3_transport,F-uncorr,param_err_pct,observed,2,40,40,40,0,147.24981373217952,116.05693302456673,181.2222963605628,126.97112275255526,165.83020929874132
S3_transport,F-uncorr,param_err_pct,observed,3,40,40,40,0,66.70471934082411,54.779546913777025,75.39962878088427,58.3054988640441,71.79139977377865
S3_transport,F-uncorr,param_err_pct,observed,4,40,40,40,0,47.20895544615915,38.9619894412892,66.68693359199551,43.230604856117054,58.32081873090105
S3_transport,F-uncorr,param_err_pct,observed,5,40,40,40,0,47.03987912434939,38.975586549525126,63.48359754734562,42.57913694215407,54.121381709068906
S3_transport,F-uncorr,param_err_pct,observed,6,40,40,40,0,45.47620210101664,33.0026948016305,64.6459141697247,36.43351562172492,59.674264107364365
S3_transport,F-uncorr,param_err_pct,observed,7,40,40,40,0,44.759909537616124,32.81876098072691,65.33816815316315,36.96038452689565,62.978100167969075
