scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S3ab_delay,D,param_err_pct,locf,1,40,40,40,0,321.7248298592948,226.85749677687522,423.1251430770161,257.147737501792,385.2410278617293
S3ab_delay,D,param_err_pct,locf,2,40,40,40,0,250.06103097506895,211.1793682352249,287.1340109837563,221.43077990255682,276.6319630741903
S3ab_delay,D,param_err_pct,locf,3,40,40,40,0,70.9903225474896,41.88415096998389,81.18838980359348,53.45337487415635,77.26753401809165
S3ab_delay,D,param_err_pct,locf,4,40,40,40,0,62.13969310535672,38.849574850226226,71.9396285157701,47.610453850215464,69.46081933801356
S3ab_delay,D,param_err_pct,locf,5,40,40,40,0,52.50791287704392,36.498055347054404,59.957192302615454,40.92903742629622,58.1911654100439
S3ab_delay,D,param_err_pct,locf,6,40,40,40,0,50.46960572457646,34.51358520162349,56.317574001457416,40.99927649039486,54.88163977972255
S3ab_delay,D,param_err_pct,locf,7,40,40,40,0,45.33196894371797,33.43048789288421,52.26275686137152,36.826576891014476,50.416849239468064
S3ab_delay,D,param_err_pct,locf,8,40,40,40,0,41.87414130701889,32.65378575539635,48.11959227029203,37.274888863011654,45.881181896549975
S3ab_delay,F,param_err_pct,locf,1,40,40,40,0,74.46341821908022,55.53343537897846,87.6795825455978,64.74329881705462,83.69395929121043
S3ab_delay,F,param_err_pct,locf,2,40,40,40,0,34.205760987128464,25.033793780997343,54.39933028619472,26.954430939811846,47.037178034348536
S3ab_delay,F,param_err_pct,locf,3,40,40,40,0,15.174651009288265,11.798526295411083,18.361033774214786,12.712487086299472,16.880561000774474
S3ab_delay,F,param_err_pct,locf,4,40,40,40,0,13.886835610953574,7.022412659115096,20.796216713541593,10.34011507300663,17.63595335480745
S3ab_delay,F,param_err_pct,locf,5,40,40,40,0,13.883388222722948,7.491285674526643,22.196276152787586,9.492638692182908,18.821060771800155
S3ab_delay,F,param_err_pct,locf,6,40,40,40,0,15.670120319258752,7.857562561687953,22.94543989599851,10.850771775542533,20.7816266023779
S3ab_delay,F,param_err_pct,locf,7,40,40,40,0,17.019018546695797,9.302783070289916,24.446437014577853,11.64615559203549,21.564478144163257
S3ab_delay,F,param_err_pct,locf,8,40,40,40,0,19.33774041098554,10.77342332096697,25.2425446790967,13.252210928354234,24.403669079114575
S3ab_delay,D,blind_rmse_M,locf,1,40,40,40,0,0.13132184551445075,0.11396723977007596,0.14783825945199086,0.12057275574740896,0.14570993351524567
S3ab_delay,D,blind_rmse_M,locf,2,40,40,40,0,0.04473916150389631,0.031603803070648376,0.048430437147564245,0.03446080237921277,0.04737548104822263
S3ab_delay,D,blind_rmse_M,locf,3,40,40,40,0,0.026125763949743308,0.013697920693901865,0.02994453850380122,0.016014259417213857,0.029159117051505964
S3ab_delay,D,blind_rmse_M,locf,4,40,40,40,0,0.01988755093409534,0.011005010560278007,0.02490514221393417,0.013056564794368956,0.02464162726771963
S3ab_delay,D,blind_rmse_M,locf,5,40,40,40,0,0.016120826652062263,0.011177807839400523,0.023779940445052595,0.012784125468590965,0.02150847280935622
S3ab_delay,D,blind_rmse_M,locf,6,40,40,40,0,0.01320656167550802,0.01109704341989707,0.017283793927698375,0.012147453149497257,0.016713755776143653
S3ab_delay,D,blind_rmse_M,locf,7,40,40,40,0,0.01306845226691623,0.01099313423130606,0.017053405991660896,0.012037984736100623,0.016757363657599382
S3ab_delay,D,blind_rmse_M,locf,8,40,40,40,0,0.01307547519471822,0.010999439330661833,0.01678075166881965,0.012087213341943848,0.014922399488485534
S3ab_delay,F,blind_rmse_M,locf,1,40,40,40,0,0.09646880712093929,0.0889910794945808,0.10182018247511515,0.09201526013811798,0.1004699921129264
S3ab_delay,F,blind_rmse_M,locf,2,40,40,40,0,0.013272799603458871,0.011632372202260658,0.015436853143047446,0.011982501961304829,0.014771910828286808
S3ab_delay,F,blind_rmse_M,locf,3,40,40,40,0,0.002132614012157155,0.0013512235915067524,0.0026439514015811063,0.0017902790980712981,0.002406045746423507
S3ab_delay,F,blind_rmse_M,locf,4,40,40,40,0,0.0012086149256547861,0.0008979832868813418,0.0015065894579479448,0.0009768793067439626,0.001429016470301245
S3ab_delay,F,blind_rmse_M,locf,5,40,40,40,0,0.0010860198663194703,0.0007932406597862344,0.0014415321983393395,0.0009588572517687938,0.0012919944536037497
