scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S4a_ambiguity,D,param_err_pct,locf,1,40,40,40,0,338.3475447547605,243.7897412013323,371.1828893642685,291.7528300029679,359.0725544629506
S4a_ambiguity,D,param_err_pct,locf,2,40,40,40,0,232.45122043932565,183.0859039741946,252.8031007983024,195.5877281159557,248.83826738856956
S4a_ambiguity,D,param_err_pct,locf,3,40,40,40,0,46.05484617465275,43.747441166547304,49.08995827306512,44.22355599892519,47.92116327159347
S4a_ambiguity,D,param_err_pct,locf,4,40,40,40,0,42.29319817121724,41.02784197794918,43.84824747734638,41.51517244980878,43.35147136628839
S4a_ambiguity,D,param_err_pct,locf,5,40,40,40,0,41.76906121900321,39.35266828997647,43.61543163027899,41.17670900975907,42.79856208885221
S4a_ambiguity,D,param_err_pct,locf,6,40,40,40,0,41.62798541512109,19.532011631201076,42.503590668489736,41.05691396664825,42.05435122037269
S4a_ambiguity,D,param_err_pct,locf,7,40,40,40,0,41.45089469808334,27.958767900077717,43.26753936620537,40.50724253301712,42.30023923357437
S4a_ambiguity,D,param_err_pct,locf,8,40,40,40,0,41.50213350259049,16.560225694061316,42.6025239148408,36.82202275356033,42.350976687432365
S4a_ambiguity,D,param_err_pct,locf,9,40,40,40,0,41.339996278592835,12.045081845427159,42.56652635606646,25.238490920153133,42.02544001022822
S4a_ambiguity,D,param_err_pct,locf,10,40,40,40,0,40.65584260345033,20.166066570467777,42.04097817054005,35.7212566681862,41.6495530585309
S4a_ambiguity,F,param_err_pct,locf,1,40,40,40,0,80.9660156935378,60.70031512185677,90.85147872969085,66.91815414631647,85.57477680180438
S4a_ambiguity,F,param_err_pct,locf,2,40,40,40,0,34.000461915382004,20.215931399780956,56.413877283707144,25.249865484977967,52.80211981074887
S4a_ambiguity,F,param_err_pct,locf,3,40,40,40,0,15.989858719677086,10.769930617480671,19.71297126747585,12.274302916123403,17.481242188246284
S4a_ambiguity,F,param_err_pct,locf,4,40,40,40,0,14.503928764709595,8.873453507578038,20.12926902506945,10.604185873382965,18.161487780173157
S4a_ambiguity,F,param_err_pct,locf,5,40,40,40,0,16.445421486642086,8.539049878334243,20.98308510740442,10.55783126377301,18.759244153830245
S4a_ambiguity,F,param_err_pct,locf,6,40,40,40,0,16.9760212378966,8.889311077905216,21.4408374512812,11.498811902874507,20.594711576162297
S4a_ambiguity,F,param_err_pct,locf,7,40,40,40,0,17.665396009323686,9.769657484303911,23.07132823302404,12.997130164858927,20.598821558536464
S4a_ambiguity,F,param_err_pct,locf,8,40,40,40,0,17.75428226047966,11.25534047198597,27.02314870108069,14.799267393139903,20.630170858717243
S4a_ambiguity,F,param_err_pct,locf,9,40,40,40,0,18.11908760414174,10.120642729287626,27.22785638897327,15.113732237688815,24.91698229285425
