scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S4b_identifiable,D,param_err_pct,locf,1,40,40,40,0,338.3475447547605,243.7897412013323,371.1828893642685,291.52608562379726,359.0725544629506
S4b_identifiable,D,param_err_pct,locf,2,40,40,40,0,232.45122043932565,183.0859039741946,252.8031007983024,195.5877281159557,248.83826738856956
S4b_identifiable,D,param_err_pct,locf,3,40,40,40,0,46.05484617465275,43.747441166547304,49.08995827306512,44.22355599892519,48.02596546005498
S4b_identifiable,D,param_err_pct,locf,4,40,40,40,0,42.29319817121724,41.02784197794918,43.84824747734638,41.50505577952528,43.323124132474014
S4b_identifiable,D,param_err_pct,locf,5,40,40,40,0,41.76906121900321,39.35266828997647,43.61543163027899,41.17670900975907,42.79856208885221
S4b_identifiable,D,param_err_pct,locf,6,40,40,40,0,41.62798541512109,19.532011631201076,42.503590668489736,41.05691396664825,42.09125036775107
S4b_identifiable,D,param_err_pct,locf,7,40,40,40,0,41.45089469808334,27.958767900077717,43.26753936620537,40.556366858031204,42.37085884718876
S4b_identifiable,D,param_err_pct,locf,8,40,40,40,0,41.50213350259049,16.560225694061316,42.6025239148408,36.82202275356033,42.350976687432365
S4b_identifiable,F,param_err_pct,locf,1,40,40,40,0,76.81846897040782,47.31561164294849,90.85147872969085,59.871303779871546,85.57477680180438
S4b_identifiable,F,param_err_pct,locf,2,40,40,40,0,46.402907952658694,32.662154356237835,58.643375684645335,36.88684011815215,55.195980755993034
S4b_identifiable,F,param_err_pct,locf,3,40,40,40,0,13.149581781979979,7.386936445681719,16.850751754675052,10.667275948752343,15.339380070701791
S4b_identifiable,F,param_err_pct,locf,4,40,40,40,0,14.011597331955072,7.459700775594391,19.176487967331347,11.852177345015857,16.272348033417416
S4b_identifiable,F,param_err_pct,locf,5,40,40,40,0,14.423742267275708,7.925255567073597,21.89378748787172,10.32880652669157,20.04582809747729
S4b_identifiable,F,param_err_pct,locf,6,40,40,40,0,18.292124708930125,9.363864904522616,23.689540197625853,12.450203367123558,22.273467843728078
S4b_identifiable,F,param_err_pct,locf,7,40,40,40,0,18.959716432005102,9.345431347524007,25.695814197116242,11.387493224349466,23.215593073623413
S4b_identifiable,F,param_err_pct,locf,8,40,40,40,0,19.765249933786087,8.790203817420917,26.507617003870916,11.961267788865392,24.00596071526153
S4b_identifiable,D,blind_rmse_M,locf,1,40,40,40,0,0.1435775156846795,0.11756770353528476,0.1507164467060939,0.12810449999105358,0.1496553249927612
S4b_identifiable,D,blind_rmse_M,locf,2,40,40,40,0,0.037763024393743225,0.027586657588727304,0.046392979768197,0.030543089757588886,0.04415884072656631
S4b_identifiable,D,blind_rmse_M,locf,3,40,40,40,0,0.00606499646262846,0.004998866519680583,0.007959161870782609,0.0052641323449002225,0.0067141506454192635
S4b_identifiable,D,blind_rmse_M,locf,4,40,40,40,0,0.003521868031568683,0.00293050302831509,0.004733690702946102,0.0030451202243996314,0.004134581717724338
S4b_identifiable,D,blind_rmse_M,locf,5,40,40,40,0,0.0033881563550544535,0.002849743149808434,0.004453386212480218,0.0030749055842986886,0.0038414111230390987
S4b_identifiable,D,blind_rmse_M,locf,6,40,40,40,0,0.0032478785450230224,0.0027030553372107097,0.00432354245519807,0.002993661880067538,0.0038370936228133354
S4b_identifiable,D,blind_rmse_M,locf,7,40,40,40,0,0.0031961930384279014,0.0027187167419055625,0.004137926090984985,0.00283648869978443,0.0036982510876025715
S4b_identifiable,D,blind_rmse_M,locf,8,40,40,40,0,0.0030847212244662276,0.002673624802391319,0.0041458773382927515,0.002801730679056944,0.0037310490302203143
S4b_identifiable,F,blind_rmse_M,locf,1,40,40,40,0,0.1042360350206334,0.10028867306137337,0.11165988612178596,0.1020835253956496,0.10821943694376383
S4b_identifiable,F,blind_rmse_M,locf,2,40,40,40,0,0.01678969272239084,0.015493750962345234,0.018335938468286767,0.01610525665153057,0.017619275332062423
S4b_identifiable,F,blind_rmse_M,locf,3,40,40,40,0,0.002255355912982349,0.0017415859500703678,0.0038111383533606324,0.001931788453666809,0.002862849276333416
S4b_identifiable,F,blind_rmse_M,locf,4,40,40,40,0,0.001409461172283996,0.0010707225503217889,0.0017169218056628111,0.0012418819102152155,0.0015516041671233868
S4b_identifiable,F,blind_rmse_M,locf,5,40,40,40,0,0.0011455698798913197,0.0009151263370443393,0.0014219473017837991,0.0010070745537842823,0.0013414582545421847
S4b_identifiable,F,blind_rmse_M,locf,6,40,40,40,0,0.0010394111064271037,0.0008252607320267225,0.0013589783494998191,0.000890879651619157,0.0012635118657697104
S4b_identifiable,F,blind_rmse_M,locf,7,40,40,40,0,0.0009697347761706614,0.0008212268498107388,0.0012126816859793319,0.0008543460336733965,0.0010184518339912772
S4b_identifiable,F,blind_rmse_M,locf,8,40,40,40,0,0.000929148881276303,0.0008003531022542478,0.0012095824735409103,0.0008491415777034181,0.001079182823482232
S4b_identifiable,D,max_rel_ci_pct,locf,1,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S4b_identifiable,D,max_rel_ci_pct,locf,2,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S4b_identifiable,D,max_rel_ci_pct,locf,3,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S4b_identifiable,D,max_rel_ci_pct,locf,4,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S4b_identifiable,D,max_rel_ci_pct,locf,5,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S4b_identifiable,D,max_rel_ci_pct,locf,6,40,40,40,0,10000.0,2060.2755199671287,10000.0,10000.0,10000.0
S4b_identifiable,D,max_rel_ci_pct,locf,7,40,40,40,0,10000.0,1130.659972408351,10000.0,10000.0,10000.0
S4b_identifiable,D,max_rel_ci_pct,locf,8,40,40,40,0,10000.0,827.8864904692533,10000.0,10000.0,10000.0
S4b_identifiable,F,max_rel_ci_pct,locf,1,40,40,40,0,761.3063700106604,761.3063688631962,1686.3283367046997,761.3063698403048,997.2721924705463
S4b_identifiable,F,max_rel_ci_pct,locf,2,40,40,40,0,761.1222182064976,702.655727052433,1046.101769764197,719.5695215111489,877.4688468183924
S4b_identifiable,F,max_rel_ci_pct,locf,3,40,40,40,0,572.2873892185908,452.6805817473939,646.3238714013336,521.2760368246466,631.5891542416088
S4b_identifiable,F,max_rel_ci_pct,locf,4,40,40,40,0,549.1646571717315,433.4565870318214,620.1307977134277,456.27398618085806,606.6740391659611
S4b_identifiable,F,max_rel_ci_pct,locf,5,40,40,40,0,475.43062864895694,330.73588951115113,577.1662388073108,391.30604112675917,542.3037255140399
S4b_identifiable,F,max_rel_ci_pct,locf,6,40,40,40,0,457.5055680829351,309.8845030262713,583.6182526833302,372.24804908290326,544.0319737003912
S4b_identifiable,F,max_rel_ci_pct,locf,7,40,40,40,0,459.23208394748076,305.3557017036557,543.9422703728596,380.67161622934265,513.6896715155146
