scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S5_inadequacy,D,param_err_pct,locf,1,40,40,40,0,182.40633511295505,166.57539501819474,211.26668187440595,170.37688821250313,200.57095889390456
S5_inadequacy,D,param_err_pct,locf,2,40,40,40,0,156.4364989932177,129.2871261651299,178.91977393524178,139.57515518810652,173.44689994115708
S5_inadequacy,D,param_err_pct,locf,3,40,40,40,0,54.3297852078897,35.126496585378156,134.4983302604912,43.548417920850355,107.99689355087838
S5_inadequacy,D,param_err_pct,locf,4,40,40,40,0,28.63854170898771,25.55869913376802,64.11649784444117,27.057736099472372,46.76569949929983
S5_inadequacy,D,param_err_pct,locf,5,40,40,40,0,47.551186695322734,45.98765367388452,76.16613701489963,46.40957486249302,72.88533483496963
S5_inadequacy,D,param_err_pct,locf,6,40,40,40,0,45.156692186719425,44.23175898503777,71.53836583125542,44.67250311777657,70.12654648444959
S5_inadequacy,D,param_err_pct,locf,7,40,40,40,0,68.91134781063448,67.60337109962519,70.08237695701018,68.16169290832283,69.79554864630532
S5_inadequacy,D,param_err_pct,locf,8,40,40,40,0,67.8493336918558,66.47772711919733,75.49804820495862,66.80416559732365,74.62825423149764
S5_inadequacy,F,param_err_pct,locf,1,40,40,40,0,72.43140039692958,46.62782761336184,95.0510029237528,59.946567821333986,89.40517624719739
S5_inadequacy,F,param_err_pct,locf,2,40,40,40,0,36.147551217810694,18.02462638983143,74.27529340496399,23.983327693334545,63.244752386940206
S5_inadequacy,F,param_err_pct,locf,3,40,40,40,0,29.589657695772672,7.903071947693857,36.54535181874305,27.699464110700156,30.740419428119726
S5_inadequacy,F,param_err_pct,locf,4,40,40,40,0,20.10591843279287,15.889116274124369,21.420766966972057,16.2810410371114,20.808512332375926
S5_inadequacy,F,param_err_pct,locf,5,40,40,40,0,22.29233250971061,20.65009042945516,30.414618937367678,21.53172816974238,25.120657155550653
S5_inadequacy,F,param_err_pct,locf,6,40,40,40,0,29.63147342392547,19.227586107412243,45.29556572985945,20.066177463025724,37.17544113219109
S5_inadequacy,F,param_err_pct,locf,7,40,40,40,0,38.42842625477425,34.94508578747517,46.10785994342956,35.89271499962213,42.47209966811171
S5_inadequacy,F,param_err_pct,locf,8,40,40,40,0,35.984960481890724,32.80323325706379,44.88511418627532,33.5918581043783,41.410924311378295
S5_inadequacy,F-noGovernor,param_err_pct,locf,1,40,40,40,0,72.43140039692958,46.62782761336184,95.0510029237528,60.11093713806821,89.40517624719739
S5_inadequacy,F-noGovernor,param_err_pct,locf,2,40,40,40,0,36.147551217810694,18.02462638983143,74.27529340496399,24.58926589289483,64.21927624953014
S5_inadequacy,F-noGovernor,param_err_pct,locf,3,40,40,40,0,29.589657695772672,7.903071947693857,36.54535181874305,27.699464110700156,30.678008097694743
S5_inadequacy,F-noGovernor,param_err_pct,locf,4,40,40,40,0,20.10591843279287,15.889116274124369,21.420766966972057,17.824167255365907,20.808512332375926
S5_inadequacy,F-noGovernor,param_err_pct,locf,5,40,40,40,0,22.579388155940883,19.75687808539114,42.25577239045167,20.40827738191879,26.59366456163457
S5_inadequacy,F-noGovernor,param_err_pct,locf,6,40,40,40,0,25.51808530493006,20.336118955170463,40.1092347906711,21.725158669338242,37.29429087256558
S5_inadequacy,F-noGovernor,param_err_pct,locf,7,40,40,40,0,38.174580515636194,22.248468503346498,42.3041672956682,32.454652814869256,40.21632330719406
S5_inadequacy,F-noGovernor,param_err_pct,locf,8,40,40,40,0,37.881251160697715,27.800532036774268,43.83583840668521,35.6107920276489,42.801781843073194
S5_inadequacy,D,blind_rmse_M,locf,1,40,40,40,0,0.2202796689472264,0.20524704983643735,0.26013100661027283,0.210830821578548,0.2298882219946362
S5_inadequacy,D,blind_rmse_M,locf,2,40,40,40,0,0.13230445962156254,0.1286038246012588,0.13428227853104305,0.1300242952762604,0.1336920221006406
S5_inadequacy,D,blind_rmse_M,locf,3,40,40,40,0,0.12636174126266053,0.09843238320203375,0.1283466088181841,0.12376074635551917,0.12779368913558925
S5_inadequacy,D,blind_rmse_M,locf,4,40,40,40,0,0.0834323767390112,0.04563312202120465,0.08646380010452151,0.046245883642749314,0.0854147030326995
S5_inadequacy,D,blind_rmse_M,locf,5,40,40,40,0,0.024504581759284973,0.02417193498366446,0.025706866247911048,0.024267082919613096,0.024972802806066563
S5_inadequacy,D,blind_rmse_M,locf,6,40,40,40,0,0.02454798868539431,0.024231034077316863,0.024943972088329325,0.02432402427963467,0.024808006473966797
S5_inadequacy,D,blind_rmse_M,locf,7,40,40,40,0,0.023928172554648425,0.023556776906813025,0.024348081082346745,0.02367491423500842,0.024129473889948017
S5_inadequacy,D,blind_rmse_M,locf,8,40,40,40,0,0.023957503132637496,0.023283103174645957,0.025369767821776825,0.023431835692137103,0.025171001022094037
S5_inadequacy,F,blind_rmse_M,locf,1,40,40,40,0,0.19191549502834201,0.18729437968159235,0.19522710041327582,0.1889711192098745,0.1940457729030016
S5_inadequacy,F,blind_rmse_M,locf,2,40,40,40,0,0.12831954202136553,0.12507248176093963,0.13001313684854116,0.1271299270689964,0.1295162442024439
S5_inadequacy,F,blind_rmse_M,locf,3,40,40,40,0,0.12506271638868466,0.12343683427510134,0.12612253372743443,0.1240347716353607,0.12554230577228573
S5_inadequacy,F,blind_rmse_M,locf,4,40,40,40,0,0.07972704515834028,0.0701646270135963,0.08805893111068377,0.07310662995338046,0.08420341015848182
S5_inadequacy,F,blind_rmse_M,locf,5,40,40,40,0,0.06551943476631616,0.0581238065471472,0.07946692953337817,0.06076403239551025,0.07328817577128115
S5_inadequacy,F,blind_rmse_M,locf,6,40,40,40,0,0.05860388593768228,0.049808026807879435,0.07389243236468132,0.054535632775186575,0.06458800285201066
S5_inadequacy,F,blind_rmse_M,locf,7,40,40,40,0,0.057004477426980574,0.046766429672245355,0.0673967308196328,0.05091668079296596,0.060492565890872305
S5_inadequacy,F,blind_rmse_M,locf,8,40,40,40,0,0.045645732986359606,0.03363796901918679,0.05684342250884645,0.03984778478938856,0.05554008764025667
S5_inadequacy,F-noGovernor,blind_rmse_M,locf,1,40,40,40,0,0.19191549502834201,0.18729437968159235,0.19522710041327582,0.1889711192098745,0.19411097587735293
S5_inadequacy,F-noGovernor,blind_rmse_M,locf,2,40,40,40,0,0.12831954202136553,0.12507248176093963,0.13001313684854116,0.1271299270689964,0.1295162442024439
S5_inadequacy,F-noGovernor,blind_rmse_M,locf,3,40,40,40,0,0.12506271638868466,0.12343683427510134,0.12612253372743443,0.1240347716353607,0.12554230577228573
S5_inadequacy,F-noGovernor,blind_rmse_M,locf,4,40,40,40,0,0.07966584950351117,0.0701646270135963,0.0863726552285144,0.07310662995338046,0.08464557537159922
S5_inadequacy,F-noGovernor,blind_rmse_M,locf,5,40,40,40,0,0.07252091506579492,0.06117898401366302,0.08337100520729128,0.065564795666123,0.08133257824954315
S5_inadequacy,F-noGovernor,blind_rmse_M,locf,6,40,40,40,0,0.06177533149200793,0.05070375162459119,0.07171086094824812,0.05518842745079546,0.065095953711431
S5_inadequacy,F-noGovernor,blind_rmse_M,locf,7,40,40,40,0,0.057218098579117235,0.045259717638514066,0.06458238096243397,0.0514611505529638,0.06034238952938846
S5_inadequacy,F-noGovernor,blind_rmse_M,locf,8,40,40,40,0,0.05060344687295072,0.04224012628340595,0.05962386447325917,0.04648191894384188,0.05603160955157445
S5_inadequacy,D,max_rel_ci_pct,locf,1,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S5_inadequacy,D,max_rel_ci_pct,locf,2,40,40,40,0,10000.0,784.9775467167294,10000.0,6736.58964788019,10000.0
S5_inadequacy,D,max_rel_ci_pct,locf,3,40,40,40,0,18.95600538632698,11.526129244777477,10000.0,14.590489318687405,10000.0
S5_inadequacy,D,max_rel_ci_pct,locf,4,40,40,40,0,11.034400056828398,10.434443160561008,11.31338702551577,10.575737715468858,11.212856367168357
S5_inadequacy,D,max_rel_ci_pct,locf,5,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S5_inadequacy,D,max_rel_ci_pct,locf,6,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S5_inadequacy,D,max_rel_ci_pct,locf,7,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S5_inadequacy,D,max_rel_ci_pct,locf,8,40,40,40,0,10000.0,10000.0,10000.0,10000.0,10000.0
S5_inadequacy,F,max_rel_ci_pct,locf,1,40,40,40,0,486.67106860705803,269.10151180852074,1405.4707325326042,310.4550166101693,871.4927608208645
S5_inadequacy,F,max_rel_ci_pct,locf,2,40,40,40,0,406.6739923645914,131.50593131891307,1011.0759656953526,183.3192626600676,957.0099285871034
S5_inadequacy,F,max_rel_ci_pct,locf,3,40,40,40,0,5.263501977735363,4.13553983489241,6.193983747903325,4.610391607546072,5.58290323076891
S5_inadequacy,F,max_rel_ci_pct,locf,4,40,40,40,0,3.6982702540333423,3.3461420903337977,5.246686289982239,3.435443186398812,4.232944779267789
S5_inadequacy,F,max_rel_ci_pct,locf,5,40,40,40,0,3.3509260269344643,3.0889021388160023,3.630699415379751,3.196085925164094,3.498389292425741
S5_inadequacy,F,max_rel_ci_pct,locf,6,40,40,40,0,3.017248285864893,2.6277370663471524,3.5779638495913755,2.7094724250448787,3.338601784756534
S5_inadequacy,F,max_rel_ci_pct,locf,7,40,40,40,0,2.474456684281179,2.180578679999928,2.8124517169017205,2.2864056086879136,2.620671467252478
S5_inadequacy,F,max_rel_ci_pct,locf,8,40,40,40,0,2.3011450299051384,2.042857794540259,2.457723887078922,2.1314856329675447,2.388814674595552
S5_inadequacy,F-noGovernor,max_rel_ci_pct,locf,1,40,40,40,0,486.67106860705803,269.10151180852074,1405.4707325326042,310.4550166101693,972.4614301126059
S5_inadequacy,F-noGovernor,max_rel_ci_pct,locf,2,40,40,40,0,406.6739923645914,131.50593131891307,1011.0759656953526,183.3192626600676,967.0578406045724
S5_inadequacy,F-noGovernor,max_rel_ci_pct,locf,3,40,40,40,0,5.263501977735363,4.13553983489241,6.193983747903325,4.6126088176828555,5.593399294258276
S5_inadequacy,F-noGovernor,max_rel_ci_pct,locf,4,40,40,40,0,3.6982702540333423,3.3462963874647644,5.246686289982239,3.4131550895161733,4.223710602763086
S5_inadequacy,F-noGovernor,max_rel_ci_pct,locf,5,40,40,40,0,3.1290835612553303,2.694472220298377,3.468202876035903,2.8131525173236804,3.346135656465088
S5_inadequacy,F-noGovernor,max_rel_ci_pct,locf,6,40,40,40,0,2.6168867345158553,2.324739263455294,2.9167466242352837,2.364702985156957,2.7359410348780977
S5_inadequacy,F-noGovernor,max_rel_ci_pct,locf,7,40,40,40,0,2.377861286268945,2.073677902421156,2.7124906188481956,2.176949199989908,2.5553644874690473
S5_inadequacy,F-noGovernor,max_rel_ci_pct,locf,8,40,40,40,0,2.157683432873647,1.962120655551236,2.3865794368117865,2.022400906611166,2.330450543650431
