scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S5_inadequacy,D,param_err_pct,observed,1,40,40,40,0,182.40633511295505,166.57539501819474,211.26668187440595,170.51319616734384,198.66493354306272
S5_inadequacy,D,param_err_pct,observed,2,40,40,40,0,156.4364989932177,129.2871261651299,178.91977393524178,138.40859630567365,175.13103969333147
S5_inadequacy,D,param_err_pct,observed,3,40,40,40,0,54.3297852078897,35.126496585378156,134.4983302604912,43.548417920850355,107.99689355087838
S5_inadequacy,D,param_err_pct,observed,4,40,40,40,0,28.63854170898771,25.55869913376802,64.11649784444117,27.03756897538384,46.70541626723494
S5_inadequacy,D,param_err_pct,observed,5,40,40,40,0,47.551186695322734,45.98765367388452,76.16613701489963,46.32812485308621,72.75165903679653
S5_inadequacy,D,param_err_pct,observed,6,40,40,40,0,45.156692186719425,44.23175898503777,71.53836583125542,44.700322285414146,69.95355265537545
S5_inadequacy,D,param_err_pct,observed,7,40,40,40,0,68.91134781063448,67.60337109962519,70.08237695701018,68.16169290832283,69.79554864630532
S5_inadequacy,D,param_err_pct,observed,8,40,40,40,0,67.8493336918558,66.47772711919733,75.49804820495862,66.80416559732365,74.62825423149764
S5_inadequacy,F,param_err_pct,observed,1,40,40,40,0,72.43140039692958,46.62782761336184,95.0510029237528,60.11093713806821,89.44208639456133
S5_inadequacy,F,param_err_pct,observed,2,40,40,40,0,36.147551217810694,18.02462638983143,74.27529340496399,23.983327693334545,63.244752386940206
S5_inadequacy,F,param_err_pct,observed,3,40,40,40,0,29.589657695772672,7.903071947693857,36.54535181874305,27.801604897780095,30.67956838095536
S5_inadequacy,F,param_err_pct,observed,4,40,40,40,0,20.10591843279287,15.889116274124369,21.420766966972057,16.2810410371114,20.808512332375926
S5_inadequacy,F,param_err_pct,observed,5,40,40,40,0,22.29233250971061,20.65009042945516,30.414618937367678,21.53172816974238,25.14956639995214
S5_inadequacy,F,param_err_pct,observed,6,40,40,40,0,29.63147342392547,19.227586107412243,45.29556572985945,20.066177463025724,36.940714202755885
S5_inadequacy,F,param_err_pct,observed,7,40,40,40,0,38.42842625477425,34.94508578747517,46.10785994342956,35.89271499962213,42.47209966811171
S5_inadequacy,F,param_err_pct,observed,8,40,40,40,0,35.984960481890724,32.80323325706379,44.88511418627532,33.5918581043783,41.410924311378295
S5_inadequacy,F-noGovernor,param_err_pct,observed,1,40,40,40,0,72.43140039692958,46.62782761336184,95.0510029237528,59.90646751876189,89.44208639456133
S5_inadequacy,F-noGovernor,param_err_pct,observed,2,40,40,40,0,36.147551217810694,18.02462638983143,74.27529340496399,23.983327693334545,63.244752386940206
S5_inadequacy,F-noGovernor,param_err_pct,observed,3,40,40,40,0,29.589657695772672,7.903071947693857,36.54535181874305,27.699464110700156,30.740419428119726
S5_inadequacy,F-noGovernor,param_err_pct,observed,4,40,40,40,0,20.10591843279287,15.889116274124369,21.420766966972057,17.824167255365907,20.808512332375926
S5_inadequacy,F-noGovernor,param_err_pct,observed,5,40,40,40,0,22.579388155940883,19.75687808539114,42.25577239045167,20.347850146111423,26.34002940649158
S5_inadequacy,F-noGovernor,param_err_pct,observed,6,40,40,40,0,25.51808530493006,20.336118955170463,40.1092347906711,21.722757615185298,36.728975826940015
S5_inadequacy,F-noGovernor,param_err_pct,observed,7,40,40,40,0,38.174580515636194,22.248468503346498,42.3041672956682,32.42581078332398,40.21632330719406
S5_inadequacy,F-noGovernor,param_err_pct,observed,8,40,40,40,0,37.881251160697715,27.800532036774268,43.83583840668521,35.5086824500962,42.887195729564354
S5_inadequacy,D,blind_rmse_M,observed,1,40,40,40,0,0.2202796689472264,0.20524704983643735,0.26013100661027283,0.210830821578548,0.2286990664021255
S5_inadequacy,D,blind_rmse_M,observed,2,40,40,40,0,0.13230445962156254,0.1286038246012588,0.13428227853104305,0.12999840513454183,0.1336920221006406
S5_inadequacy,D,blind_rmse_M,observed,3,40,40,40,0,0.12636174126266053,0.09843238320203375,0.1283466088181841,0.12376074635551917,0.12779368913558925
S5_inadequacy,D,blind_rmse_M,observed,4,40,40,40,0,0.0834323767390112,0.04563312202120465,0.08646380010452151,0.046316219318752114,0.0854147030326995
S5_inadequacy,D,blind_rmse_M,observed,5,40,40,40,0,0.024504581759284973,0.02417193498366446,0.025706866247911048,0.02426722236673025,0.024965222745505406
S5_inadequacy,D,blind_rmse_M,observed,6,40,40,40,0,0.02454798868539431,0.024231034077316863,0.024943972088329325,0.02432402427963467,0.024815697304951305
S5_inadequacy,D,blind_rmse_M,observed,7,40,40,40,0,0.023928172554648425,0.023556776906813025,0.024348081082346745,0.02369492638094682,0.024129473889948017
S5_inadequacy,D,blind_rmse_M,observed,8,40,40,40,0,0.023957503132637496,0.023283103174645957,0.025369767821776825,0.02346445726831308,0.025171001022094037
S5_inadequacy,F,blind_rmse_M,observed,1,40,40,40,0,0.19191549502834201,0.18729437968159235,0.19522710041327582,0.1889711192098745,0.19411160350438297
S5_inadequacy,F,blind_rmse_M,observed,2,40,40,40,0,0.12831954202136553,0.12507248176093963,0.13001313684854116,0.1269220687673457,0.1295162442024439
S5_inadequacy,F,blind_rmse_M,observed,3,40,40,40,0,0.12506271638868466,0.12343683427510134,0.12612253372743443,0.12403389851633982,0.12550295964687114
S5_inadequacy,F,blind_rmse_M,observed,4,40,40,40,0,0.07972704515834028,0.0701646270135963,0.08805893111068377,0.07310662995338046,0.08420341015848182
S5_inadequacy,F,blind_rmse_M,observed,5,40,40,40,0,0.06551943476631616,0.0581238065471472,0.07946692953337817,0.06054254249167482,0.07288623701267231
S5_inadequacy,F,blind_rmse_M,observed,6,40,40,40,0,0.05860388593768228,0.049808026807879435,0.07389243236468132,0.054535632775186575,0.06458800285201066
S5_inadequacy,F,blind_rmse_M,observed,7,40,40,40,0,0.057004477426980574,0.046766429672245355,0.0673967308196328,0.05091668079296596,0.06010627360706689
S5_inadequacy,F,blind_rmse_M,observed,8,40,40,40,0,0.045645732986359606,0.03363796901918679,0.05684342250884645,0.03965692468764971,0.05554008764025667
S5_inadequacy,F-noGovernor,blind_rmse_M,observed,1,40,40,40,0,0.19191549502834201,0.18729437968159235,0.19522710041327582,0.18921963427921545,0.19411097587735293
S5_inadequacy,F-noGovernor,blind_rmse_M,observed,2,40,40,40,0,0.12831954202136553,0.12507248176093963,0.13001313684854116,0.1271299270689964,0.12945762029618202
S5_inadequacy,F-noGovernor,blind_rmse_M,observed,3,40,40,40,0,0.12506271638868466,0.12343683427510134,0.12612253372743443,0.1240696963961955,0.12554230577228573
S5_inadequacy,F-noGovernor,blind_rmse_M,observed,4,40,40,40,0,0.07966584950351117,0.0701646270135963,0.0863726552285144,0.07310662995338046,0.08467458857478079
S5_inadequacy,F-noGovernor,blind_rmse_M,observed,5,40,40,40,0,0.07252091506579492,0.06117898401366302,0.08337100520729128,0.065564795666123,0.08133257824954315
S5_inadequacy,F-noGovernor,blind_rmse_M,observed,6,40,40,40,0,0.06177533149200793,0.05070375162459119,0.07171086094824812,0.05554240935166481,0.065095953711431
S5_inadequacy,F-noGovernor,blind_rmse_M,observed,7,40,40,40,0,0.057218098579117235,0.045259717638514066,0.06458238096243397,0.0514611505529638,0.06034970458766561
S5_inadequacy,F-noGovernor,blind_rmse_M,observed,8,40,40,40,0,0.05060344687295072,0.04224012628340595,0.05962386447325917,0.04650055690046493,0.05594230455524268
