scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S6_resources,D,param_err_pct,observed,1,40,40,40,0,338.3475447547605,243.7897412013323,371.1828893642685,291.52608562379726,359.0725544629506
S6_resources,D,param_err_pct,observed,2,40,40,40,0,232.45122043932565,183.0859039741946,252.8031007983024,196.76506668391767,248.83826738856956
S6_resources,D,param_err_pct,observed,3,40,40,40,0,46.05484617465275,43.747441166547304,49.08995827306512,44.22355599892519,47.92132079438356
S6_resources,D,param_err_pct,observed,4,40,40,40,0,42.29319817121724,41.02784197794918,43.84824747734638,41.51517244980878,43.35147136628839
S6_resources,D,param_err_pct,observed,5,40,40,40,0,41.76906121900321,39.35266828997647,43.61543163027899,41.17670900975907,42.79856208885221
S6_resources,D,param_err_pct,observed,6,40,40,40,0,41.62798541512109,19.532011631201076,42.503590668489736,41.05691396664825,42.0174520729943
S6_resources,D,param_err_pct,observed,7,40,40,40,0,41.45089469808334,27.958767900077717,43.26753936620537,40.50724253301712,42.36041976185585
S6_resources,D,param_err_pct,observed,8,40,40,40,0,41.50213350259049,16.560225694061316,42.6025239148408,36.82202275356033,42.350976687432365
S6_resources,F,param_err_pct,observed,1,40,40,40,0,76.04803860790201,56.08463867595522,90.85147872969085,65.93252940482483,85.33332322106762
S6_resources,F,param_err_pct,observed,2,40,40,40,0,32.38759248066523,23.70483540812625,55.97649026395335,28.589230774164797,43.869103366969526
S6_resources,F,param_err_pct,observed,3,40,40,40,0,15.328380325764734,10.187429100607408,18.30600583723371,13.238475844205755,17.583409568013554
S6_resources,F,param_err_pct,observed,4,40,40,40,0,14.107794053553757,7.999888349630114,20.777400769707516,9.898371462954824,17.371864121296944
S6_resources,F,param_err_pct,observed,5,40,40,40,0,13.948289402667069,7.424083350305466,21.732423984514156,11.249862519329056,17.2235584101049
S6_resources,F,param_err_pct,observed,6,40,40,40,0,16.416057042852284,10.40195975778786,22.526437738877835,11.49243085048941,19.738489307634833
S6_resources,F,param_err_pct,observed,7,40,40,40,0,16.2468545928672,8.910272038317968,24.391634147595816,12.22002002027497,21.660265558201885
S6_resources,F,param_err_pct,observed,8,40,40,40,0,16.702170432257347,10.397833474739876,26.230851069940343,13.463913248595327,23.738545381667166
S6_resources,F-res-0.5x,param_err_pct,observed,1,40,40,40,0,76.04803860790201,56.08463867595522,90.85147872969085,65.97090351649615,85.33332322106762
S6_resources,F-res-0.5x,param_err_pct,observed,2,40,40,40,0,26.435079940697126,19.66971566899451,40.256740385012854,21.456272835848022,31.894493843444195
S6_resources,F-res-0.5x,param_err_pct,observed,3,40,40,40,0,15.024646613299275,11.721041924028992,18.013488517296178,12.971001832727813,16.83791563387198
S6_resources,F-res-0.5x,param_err_pct,observed,4,40,40,40,0,17.528933391068556,12.271191989461695,21.32492014549976,14.518446551478458,19.85827935516118
S6_resources,F-res-0.5x,param_err_pct,observed,5,40,40,40,0,18.853965757199944,12.944046757067062,22.73132023419101,15.952216858204865,21.640070983518545
S6_resources,F-res-0.5x,param_err_pct,observed,6,40,40,40,0,21.03229585419384,13.994908939971594,23.682317259205647,16.375962240656563,22.417605112016847
S6_resources,F-res-0.5x,param_err_pct,observed,7,40,40,40,0,23.246906606465057,14.734648269207025,25.290101296142165,16.368909748078444,24.328865766173138
S6_resources,F-res-0.5x,param_err_pct,observed,8,40,40,40,0,23.682561474564146,14.309858309688554,26.85223053502138,17.147525365110475,25.767041934567082
S6_resources,F-res-1x,param_err_pct,observed,1,40,40,40,0,76.04803860790201,56.08463867595522,90.85147872969085,65.97090351649615,85.33332322106762
S6_resources,F-res-1x,param_err_pct,observed,2,40,40,40,0,26.435079940697126,19.66971566899451,40.256740385012854,21.456272835848022,33.43827471469882
S6_resources,F-res-1x,param_err_pct,observed,3,40,40,40,0,16.43734884798137,12.975355452331533,20.703472380131466,14.44146968543263,18.829972656742612
S6_resources,F-res-1x,param_err_pct,observed,4,40,40,40,0,17.87202087419114,13.32208898433182,23.045070229140446,16.36734819252804,21.984359474045046
S6_resources,F-res-1x,param_err_pct,observed,5,40,40,40,0,19.058487106951603,11.9345378765083,25.04289366800584,15.244032383711058,24.05763977382643
S6_resources,F-res-1x,param_err_pct,observed,6,40,40,40,0,20.142278521692937,13.064631098540818,26.77343239009253,16.55500659285699,23.982655869112726
S6_resources,F-res-1x,param_err_pct,observed,7,40,40,40,0,21.278679822825588,12.549144162076686,28.22366257683343,18.379380405812352,26.587882211639975
S6_resources,F-res-1x,param_err_pct,observed,8,40,40,40,0,21.797423805981254,14.208663127766357,28.74735900541466,18.216050006149477,27.374520603026333
S6_resources,F-res-2x,param_err_pct,observed,1,40,40,40,0,76.04803860790201,56.08463867595522,90.85147872969085,65.97090351649615,84.74251742443381
S6_resources,F-res-2x,param_err_pct,observed,2,40,40,40,0,26.90198362514917,23.496968128653727,30.51947012440393,25.26910815031106,28.957396102272448
S6_resources,F-res-2x,param_err_pct,observed,3,40,40,40,0,15.205625912549825,10.36536739915756,23.917067318457274,12.045411670965212,19.52641080993572
S6_resources,F-res-2x,param_err_pct,observed,4,40,40,40,0,18.443862441844097,11.219579275582014,24.525034632617153,14.286651532064266,22.388307767038782
S6_resources,F-res-2x,param_err_pct,observed,5,40,40,40,0,20.790907759527613,13.319903024483114,27.758194863305185,15.624238570406247,23.950046664289047
S6_resources,F-res-2x,param_err_pct,observed,6,40,40,40,0,19.813344010492898,10.910773884382296,29.06525627473395,13.257324069761921,25.42408602442331
S6_resources,F-res-2x,param_err_pct,observed,7,40,40,40,0,20.903040789580285,12.080376726604918,32.03598797889743,16.32946942446727,26.548129550544353
S6_resources,F-res-2x,param_err_pct,observed,8,40,40,40,0,23.114925480404878,13.174025168757876,30.935750867254846,15.705852358561078,26.713200798747685
S6_resources,F-res-4x,param_err_pct,observed,1,40,40,40,0,76.04803860790201,56.08463867595522,90.85147872969085,65.97090351649615,85.33332322106762
S6_resources,F-res-4x,param_err_pct,observed,2,40,40,40,0,34.54091659881853,30.588466904980923,45.224700097998294,32.16149077434367,37.28489337048751
S6_resources,F-res-4x,param_err_pct,observed,3,40,40,40,0,33.28655210330142,29.112695017459053,45.865465760957534,30.083100689799192,36.38517595532856
S6_resources,F-res-4x,param_err_pct,observed,4,40,40,40,0,32.76842821949933,28.81251445984664,46.577878314511906,30.19431420281611,34.96874338102175
