scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S7_spatial_modes,F-zadaptive,param_err_pct,locf,1,40,40,40,0,76.04803860790201,56.08463867595522,90.85147872969085,65.97090351649615,85.33332322106762
S7_spatial_modes,F-zadaptive,param_err_pct,locf,2,40,40,40,0,32.62536407657708,18.903483781025912,55.32601980599283,25.020993355227404,48.905435201445044
S7_spatial_modes,F-zadaptive,param_err_pct,locf,3,40,40,40,0,11.37295137420148,7.99334849949166,18.724139673359645,8.74428929349239,16.647980883370273
S7_spatial_modes,F-zadaptive,param_err_pct,locf,4,40,38,40,2,15.499264842061244,7.45656501951083,19.86026151913648,10.631342725804238,18.17591398870132
S7_spatial_modes,F-zadaptive,param_err_pct,locf,5,40,38,40,2,18.050232390124954,8.428003452157517,21.945525200625273,11.475691521543007,19.713904151336237
S7_spatial_modes,F-zadaptive,param_err_pct,locf,6,40,38,40,2,18.90218263749065,8.592629078077103,23.26889589260824,13.17835252778503,21.373401142363548
S7_spatial_modes,F-zadaptive,param_err_pct,locf,7,40,38,40,2,19.888852954861925,11.013086396602967,24.588985581347593,14.449226590373666,23.669446596608005
S7_spatial_modes,F-zadaptive,param_err_pct,locf,8,40,38,40,2,20.44588944309842,11.281550489226706,25.342865912569117,14.615918599529873,24.283126665577274
S7_spatial_modes,F-zbatch,param_err_pct,locf,1,40,40,40,0,76.04803860790201,56.08463867595522,90.85147872969085,66.00927762816747,85.33332322106762
S7_spatial_modes,F-zbatch,param_err_pct,locf,2,40,40,40,0,32.38759248066523,23.70483540812625,55.97649026395335,28.332822150252024,43.869103366969526
S7_spatial_modes,F-zbatch,param_err_pct,locf,3,40,40,40,0,15.328380325764734,10.187429100607408,18.30600583723371,13.245272870787,17.583409568013554
S7_spatial_modes,F-zbatch,param_err_pct,locf,4,40,40,40,0,14.107794053553757,7.999888349630114,20.777400769707516,9.96181239783489,17.371864121296944
S7_spatial_modes,F-zbatch,param_err_pct,locf,5,40,40,40,0,13.948289402667069,7.424083350305466,21.732423984514156,11.156415350720001,17.2235584101049
S7_spatial_modes,F-zbatch,param_err_pct,locf,6,40,40,40,0,16.416057042852284,10.40195975778786,22.526437738877835,11.49243085048941,19.738489307634833
S7_spatial_modes,F-zbatch,param_err_pct,locf,7,40,40,40,0,16.2468545928672,8.910272038317968,24.391634147595816,13.072250708886823,21.665024508342903
S7_spatial_modes,F-zbatch,param_err_pct,locf,8,40,40,40,0,16.702170432257347,10.397833474739876,26.230851069940343,13.230681175560166,23.738545381667166
S7_spatial_modes,F-zfixed,param_err_pct,locf,1,40,40,40,0,76.130785269347,56.106649728711524,91.4742421730323,68.07110922286287,84.61453354774267
S7_spatial_modes,F-zfixed,param_err_pct,locf,2,40,40,40,0,27.283554251962393,20.16454894216514,46.663205116681794,22.64085327121169,35.957405840147985
S7_spatial_modes,F-zfixed,param_err_pct,locf,3,40,40,40,0,13.721977006830787,9.845721324831864,19.80446013062796,11.031871312787588,16.85967135620684
S7_spatial_modes,F-zfixed,param_err_pct,locf,4,40,40,40,0,14.597582065506154,6.285529907426534,19.095323569163874,9.823427618066084,17.653570223144207
S7_spatial_modes,F-zfixed,param_err_pct,locf,5,40,40,40,0,16.324951664581953,8.760074095667601,21.549628778161566,10.781086033717369,19.54838973380908
S7_spatial_modes,F-zfixed,param_err_pct,locf,6,40,40,40,0,17.098304886478733,9.38389246916046,25.28285719732482,14.033427812378836,21.451648209985166
S7_spatial_modes,F-zfixed,param_err_pct,locf,7,40,40,40,0,20.080368262796288,13.13116200127814,26.462031977211446,15.013087590336315,23.866502137477152
S7_spatial_modes,F-zfixed,param_err_pct,locf,8,40,40,40,0,21.09685249374157,13.583024657990755,28.28997339971818,14.944241975235705,24.958770313462807
S7_spatial_modes,F-zadaptive,blind_rmse_M,locf,1,40,40,40,0,0.09600738885466796,0.08845817216027703,0.10175601017955563,0.09166809356468461,0.10015459929161422
S7_spatial_modes,F-zadaptive,blind_rmse_M,locf,2,40,40,40,0,0.013246121660814066,0.011910041644667812,0.0159353812586329,0.012298336001741586,0.015477094997619949
S7_spatial_modes,F-zadaptive,blind_rmse_M,locf,3,40,40,40,0,0.0020061254439136048,0.0012839433114867147,0.0033028856640288213,0.0017189662107928818,0.0027984850448011115
S7_spatial_modes,F-zadaptive,blind_rmse_M,locf,4,40,38,40,2,0.0013798062519139998,0.0009691940665546273,0.0016683809190359406,0.0011746164949406044,0.0014961047360806637
S7_spatial_modes,F-zadaptive,blind_rmse_M,locf,5,40,38,40,2,0.0012749511908693788,0.0008495701084320526,0.0015554248451750232,0.001088734136127627,0.0014293836414538568
