scenario,strategy,metric,basis,round,n_total,n_observed,n_in_summary,n_faulted_cumulative,median,q25,q75,boot_ci_lo,boot_ci_hi
S7_spatial_modes,F-zadaptive,param_err_pct,observed,1,40,40,40,0,76.04803860790201,56.08463867595522,90.85147872969085,66.00927762816747,85.33332322106762
S7_spatial_modes,F-zadaptive,param_err_pct,observed,2,40,40,40,0,32.62536407657708,18.903483781025912,55.32601980599283,26.126906464604794,48.905435201445044
S7_spatial_modes,F-zadaptive,param_err_pct,observed,3,40,40,40,0,11.37295137420148,7.99334849949166,18.724139673359645,8.807690329763213,16.647980883370273
S7_spatial_modes,F-zadaptive,param_err_pct,observed,4,40,38,38,2,15.499264842061244,6.580531147652458,19.625687524497863,10.631342725804238,18.17591398870132
S7_spatial_modes,F-zadaptive,param_err_pct,observed,5,40,38,38,2,18.050232390124954,8.311019394951147,21.99790798756247,11.54151924331801,19.754111719470558
S7_spatial_modes,F-zadaptive,param_err_pct,observed,6,40,38,38,2,18.90218263749065,8.536353999134455,23.332496513658757,13.475785914048364,21.72770961426218
S7_spatial_modes,F-zadaptive,param_err_pct,observed,7,40,38,38,2,19.888852954861925,10.783753941196528,24.829221204088764,15.087058869569448,23.89050027870443
S7_spatial_modes,F-zadaptive,param_err_pct,observed,8,40,38,38,2,20.739964393390373,11.508146328321,25.371848443863417,14.643496902906593,24.86097190372383
S7_spatial_modes,F-zbatch,param_err_pct,observed,1,40,40,40,0,76.04803860790201,56.08463867595522,90.85147872969085,65.97090351649615,84.74251742443381
S7_spatial_modes,F-zbatch,param_err_pct,observed,2,40,40,40,0,32.38759248066523,23.70483540812625,55.97649026395335,28.332822150252024,43.869103366969526
S7_spatial_modes,F-zbatch,param_err_pct,observed,3,40,40,40,0,15.328380325764734,10.187429100607408,18.30600583723371,13.238475844205755,17.58127362642641
S7_spatial_modes,F-zbatch,param_err_pct,observed,4,40,40,40,0,14.107794053553757,7.999888349630114,20.777400769707516,9.96022637446289,17.284767337053765
S7_spatial_modes,F-zbatch,param_err_pct,observed,5,40,40,40,0,13.948289402667069,7.424083350305466,21.732423984514156,10.876927930102998,17.160314625145208
S7_spatial_modes,F-zbatch,param_err_pct,observed,6,40,40,40,0,16.416057042852284,10.40195975778786,22.526437738877835,11.49243085048941,19.738489307634833
S7_spatial_modes,F-zbatch,param_err_pct,observed,7,40,40,40,0,16.2468545928672,8.910272038317968,24.391634147595816,12.22002002027497,21.660265558201885
S7_spatial_modes,F-zbatch,param_err_pct,observed,8,40,40,40,0,16.702170432257347,10.397833474739876,26.230851069940343,13.463913248595327,23.63411563042095
S7_spatial_modes,F-zfixed,param_err_pct,observed,1,40,40,40,0,76.130785269347,56.106649728711524,91.4742421730323,68.07110922286287,84.32964890358127
S7_spatial_modes,F-zfixed,param_err_pct,observed,2,40,40,40,0,27.283554251962393,20.16454894216514,46.663205116681794,22.64085327121169,35.957405840147985
S7_spatial_modes,F-zfixed,param_err_pct,observed,3,40,40,40,0,13.721977006830787,9.845721324831864,19.80446013062796,10.989105423677525,16.780343462169977
S7_spatial_modes,F-zfixed,param_err_pct,observed,4,40,40,40,0,14.597582065506154,6.285529907426534,19.095323569163874,9.823427618066084,17.203367611165145
S7_spatial_modes,F-zfixed,param_err_pct,observed,5,40,40,40,0,16.324951664581953,8.760074095667601,21.549628778161566,10.789250961226283,19.75368001003639
S7_spatial_modes,F-zfixed,param_err_pct,observed,6,40,40,40,0,17.098304886478733,9.38389246916046,25.28285719732482,14.037656645154161,21.451648209985166
S7_spatial_modes,F-zfixed,param_err_pct,observed,7,40,40,40,0,20.080368262796288,13.13116200127814,26.462031977211446,14.89163726798176,23.58583323585284
S7_spatial_modes,F-zfixed,param_err_pct,observed,8,40,40,40,0,21.09685249374157,13.583024657990755,28.28997339971818,14.944241975235705,24.958770313462807
S7_spatial_modes,F-zadaptive,blind_rmse_M,observed,1,40,40,40,0,0.09600738885466796,0.08845817216027703,0.10175601017955563,0.09166809356468461,0.10015459929161422
