scenario,strategy,model,round,median_probability,n_seeds
S4a_ambiguity,F,irreversible,1,0.3333076192154329,40
S4a_ambiguity,F,irreversible,2,0.015575135090207984,40
S4a_ambiguity,F,irreversible,3,1.1307865240450187e-54,40
S4a_ambiguity,F,irreversible,4,1.96370780088258e-307,40
S4a_ambiguity,F,irreversible,5,0.0,40
S4a_ambiguity,F,irreversible,6,0.0,40
S4a_ambiguity,F,irreversible,7,0.0,40
S4a_ambiguity,F,irreversible,8,0.0,40
S4a_ambiguity,F,irreversible,9,0.0,40
S4a_ambiguity,F,irreversible,10,0.0,40
S4a_ambiguity,F,rev-dilute,1,0.3338310647567606,40
S4a_ambiguity,F,rev-dilute,2,0.4778376852535282,40
S4a_ambiguity,F,rev-dilute,3,0.8701799753339532,40
S4a_ambiguity,F,rev-dilute,4,0.8697058855828395,40
S4a_ambiguity,F,rev-dilute,5,0.8155455745666818,40
S4a_ambiguity,F,rev-dilute,6,0.8168111953318451,40
S4a_ambiguity,F,rev-dilute,7,0.8201129167552783,40
S4a_ambiguity,F,rev-dilute,8,0.8194151975459201,40
S4a_ambiguity,F,rev-dilute,9,0.7515870547045049,40
S4a_ambiguity,F,rev-dilute,10,0.7997809715233405,40
S4a_ambiguity,F,rev-pitzer,1,0.33286131602780655,40
S4a_ambiguity,F,rev-pitzer,2,0.4946526167746102,40
S4a_ambiguity,F,rev-pitzer,3,0.10132866324110204,40
S4a_ambiguity,F,rev-pitzer,4,0.12579022188786687,40
S4a_ambiguity,F,rev-pitzer,5,0.1844544254333183,40
S4a_ambiguity,F,rev-pitzer,6,0.1831888046681549,40
S4a_ambiguity,F,rev-pitzer,7,0.17988708324472164,40
S4a_ambiguity,F,rev-pitzer,8,0.18058480245407987,40
S4a_ambiguity,F,rev-pitzer,9,0.24841294529549507,40
S4a_ambiguity,F,rev-pitzer,10,0.20021902847665946,40
