scenario,strategy,model,round,median_probability,n_seeds
S4b_identifiable,F,irreversible,1,0.5003349764135233,40
S4b_identifiable,F,irreversible,2,0.48796752847419234,40
S4b_identifiable,F,irreversible,3,2.5586292812730053e-14,40
S4b_identifiable,F,irreversible,4,5.99654571032021e-256,40
S4b_identifiable,F,irreversible,5,0.0,40
S4b_identifiable,F,irreversible,6,0.0,40
S4b_identifiable,F,irreversible,7,0.0,40
S4b_identifiable,F,irreversible,8,0.0,40
S4b_identifiable,F,rev-pitzer,1,0.4996650235864767,40
S4b_identifiable,F,rev-pitzer,2,0.5120324715258076,40
S4b_identifiable,F,rev-pitzer,3,0.9999999999999745,40
S4b_identifiable,F,rev-pitzer,4,1.0,40
S4b_identifiable,F,rev-pitzer,5,1.0,40
S4b_identifiable,F,rev-pitzer,6,1.0,40
S4b_identifiable,F,rev-pitzer,7,1.0,40
S4b_identifiable,F,rev-pitzer,8,1.0,40
