ppm,observed,fitted,residual,component_EGDA,component_EGMA,component_EG,component_AcOH,component_exchange_pool,component_baseline
0,0.160374,0.144694,0.0156806,-0.000365328,-0.000475188,-0.00252589,-0.00528678,0.194671,-0.0413237
0.00586224,0.351135,0.145287,0.205848,-0.000365664,-0.000475642,-0.00252868,-0.00529105,0.195231,-0.0412833
0.0117245,0.200924,0.145883,0.0550413,-0.000365998,-0.000476096,-0.00253148,-0.00529527,0.195794,-0.0412429
0.0175867,0.201225,0.14648,0.0547449,-0.000366331,-0.000476548,-0.00253428,-0.00529947,0.19636,-0.0412026
0.0234489,0.180896,0.14708,0.033816,-0.000366663,-0.000477,-0.00253708,-0.00530362,0.196927,-0.0411623
0.0293112,0.221539,0.147682,0.0738571,-0.000366994,-0.00047745,-0.00253989,-0.00530773,0.197496,-0.041122
0.0351734,-0.0229399,0.148287,-0.171226,-0.000367323,-0.000477899,-0.00254271,-0.00531181,0.198068,-0.0410817
0.0410357,0.123569,0.148893,-0.0253239,-0.000367651,-0.000478347,-0.00254553,-0.00531584,0.198642,-0.0410414
0.0468979,0.215855,0.149502,0.0663535,-0.000367978,-0.000478794,-0.00254836,-0.00531983,0.199218,-0.0410011
0.0527601,0.105549,0.150113,-0.044564,-0.000368303,-0.00047924,-0.00255119,-0.00532378,0.199796,-0.0409609
0.0586224,0.173648,0.150726,0.0229218,-0.000368627,-0.000479684,-0.00255402,-0.00532769,0.200377,-0.0409206
0.0644846,0.189313,0.151342,0.0379714,-0.000368949,-0.000480128,-0.00255686,-0.00533155,0.200959,-0.0408804
0.0703468,0.103697,0.151959,-0.0482621,-0.00036927,-0.000480569,-0.00255971,-0.00533537,0.201544,-0.0408402
0.0762091,0.130514,0.152579,-0.0220654,-0.000369589,-0.00048101,-0.00256256,-0.00533914,0.202132,-0.0408
0.0820713,0.0762354,0.153202,-0.0769663,-0.000369906,-0.000481449,-0.00256541,-0.00534287,0.202721,-0.0407599
0.0879336,0.100142,0.153826,-0.0536845,-0.000370222,-0.000481886,-0.00256827,-0.00534654,0.203313,-0.0407197
0.0937958,0.231473,0.154453,0.0770199,-0.000370536,-0.000482322,-0.00257114,-0.00535017,0.203907,-0.0406796
0.099658,0.19178,0.155083,0.0366969,-0.000370849,-0.000482757,-0.00257401,-0.00535374,0.204503,-0.0406394
0.10552,0.274448,0.155714,0.118734,-0.000371159,-0.00048319,-0.00257688,-0.00535727,0.205102,-0.0405993
0.111383,0.154019,0.156348,-0.00232977,-0.000371468,-0.000483621,-0.00257976,-0.00536074,0.205703,-0.0405592
0.117245,0.240695,0.156985,0.0837099,-0.000371775,-0.00048405,-0.00258265,-0.00536416,0.206307,-0.0405192
0.123107,0.237335,0.157624,0.0797118,-0.00037208,-0.000484478,-0.00258554,-0.00536752,0.206912,-0.0404791
0.128969,0.102994,0.158265,-0.0552707,-0.000372383,-0.000484904,-0.00258844,-0.00537083,0.20752,-0.040439
0.134831,0.211294,0.158908,0.0523852,-0.000372684,-0.000485329,-0.00259134,-0.00537408,0.208131,-0.040399
0.140694,0.250785,0.159554,0.0912306,-0.000372983,-0.000485751,-0.00259424,-0.00537727,0.208744,-0.040359
0.146556,0.248891,0.160203,0.0886876,-0.00037328,-0.000486171,-0.00259715,-0.0053804,0.209359,-0.040319
0.152418,0.15913,0.160854,-0.00172378,-0.000373575,-0.00048659,-0.00260007,-0.00538347,0.209977,-0.040279
0.15828,0.343577,0.161507,0.18207,-0.000373868,-0.000487006,-0.00260299,-0.00538648,0.210597,-0.040239
0.164143,0.310077,0.162163,0.147914,-0.000374158,-0.000487421,-0.00260591,-0.00538943,0.211219,-0.0401991
0.170005,0.236125,0.162822,0.0733033,-0.000374446,-0.000487833,-0.00260884,-0.00539231,0.211844,-0.0401592
0.175867,0.464743,0.163483,0.301261,-0.000374731,-0.000488243,-0.00261178,-0.00539512,0.212472,-0.0401192
0.181729,0.402184,0.164146,0.238037,-0.000375015,-0.000488651,-0.00261472,-0.00539787,0.213102,-0.0400793
0.187592,0.322882,0.164812,0.15807,-0.000375295,-0.000489057,-0.00261766,-0.00540055,0.213734,-0.0400394
0.193454,0.223022,0.165481,0.0575416,-0.000375573,-0.00048946,-0.00262061,-0.00540315,0.214369,-0.0399996
0.199316,0.235675,0.166152,0.0695231,-0.000375849,-0.000489861,-0.00262357,-0.00540569,0.215006,-0.0399597
0.205178,0.423194,0.166825,0.256368,-0.000376122,-0.000490259,-0.00262653,-0.00540815,0.215646,-0.0399198
0.211041,0.324785,0.167502,0.157283,-0.000376392,-0.000490655,-0.00262949,-0.00541054,0.216289,-0.03988
0.216903,0.403788,0.168181,0.235607,-0.00037666,-0.000491048,-0.00263246,-0.00541285,0.216934,-0.0398402
0.222765,0.30082,0.168862,0.131958,-0.000376924,-0.000491439,-0.00263544,-0.00541508,0.217581,-0.0398004
0.228627,0.205768,0.169546,0.0362211,-0.000377186,-0.000491826,-0.00263842,-0.00541723,0.218232,-0.0397606
0.234489,0.330857,0.170233,0.160623,-0.000377445,-0.000492212,-0.0026414,-0.0054193,0.218884,-0.0397209
0.240352,0.371013,0.170923,0.200091,-0.0003777,-0.000492594,-0.00264439,-0.00542129,0.21954,-0.0396811
0.246214,0.394979,0.171615,0.223364,-0.000377953,-0.000492973,-0.00264739,-0.00542319,0.220198,-0.0396414
0.252076,0.245164,0.17231,0.0728544,-0.000378203,-0.000493349,-0.00265039,-0.00542501,0.220858,-0.0396017
0.257938,0.373163,0.173008,0.200155,-0.000378449,-0.000493723,-0.00265339,-0.00542674,0.221522,-0.0395619
0.263801,0.1159,0.173708,-0.0578084,-0.000378692,-0.000494093,-0.0026564,-0.00542837,0.222188,-0.0395223
0.269663,0.278853,0.174411,0.104442,-0.000378931,-0.00049446,-0.00265942,-0.00542992,0.222856,-0.0394826
0.275525,0.23372,0.175117,0.0586029,-0.000379167,-0.000494823,-0.00266244,-0.00543137,0.223528,-0.0394429
0.281387,0.122754,0.175826,-0.053072,-0.0003794,-0.000495183,-0.00266546,-0.00543273,0.224202,-0.0394033
0.28725,0.209519,0.176537,0.0329815,-0.000379629,-0.00049554,-0.00266849,-0.00543398,0.224878,-0.0393637
0.293112,0.181322,0.177251,0.0040711,-0.000379854,-0.000495893,-0.00267153,-0.00543514,0.225558,-0.039324
0.298974,0.180613,0.177969,0.00264426,-0.000380075,-0.000496243,-0.00267457,-0.0054362,0.22624,-0.0392845
0.304836,0.236829,0.178688,0.0581401,-0.000380293,-0.000496589,-0.00267761,-0.00543715,0.226925,-0.0392449
0.310699,0.191326,0.179411,0.0119146,-0.000380507,-0.000496931,-0.00268066,-0.005438,0.227613,-0.0392053
0.316561,0.067302,0.180137,-0.112835,-0.000380716,-0.000497269,-0.00268372,-0.00543873,0.228303,-0.0391658
0.322423,0.233338,0.180866,0.0524727,-0.000380922,-0.000497604,-0.00268678,-0.00543936,0.228997,-0.0391262
0.328285,0.142009,0.181597,-0.0395885,-0.000381123,-0.000497934,-0.00268984,-0.00543987,0.229693,-0.0390867
0.334148,0.24728,0.182332,0.0649488,-0.00038132,-0.00049826,-0.00269291,-0.00544027,0.230392,-0.0390472
0.34001,0.310722,0.183069,0.127653,-0.000381513,-0.000498582,-0.00269598,-0.00544055,0.231094,-0.0390077
0.345872,0.368791,0.18381,0.184982,-0.000381701,-0.0004989,-0.00269906,-0.00544072,0.231798,-0.0389682
0.351734,0.240759,0.184553,0.0562062,-0.000381885,-0.000499213,-0.00270215,-0.00544076,0.232506,-0.0389288
0.357596,0.236554,0.185299,0.0512547,-0.000382064,-0.000499522,-0.00270524,-0.00544067,0.233216,-0.0388894
0.363459,0.179807,0.186049,-0.00624203,-0.000382238,-0.000499826,-0.00270833,-0.00544046,0.23393,-0.0388499
0.369321,0.341986,0.186801,0.155185,-0.000382407,-0.000500125,-0.00271143,-0.00544011,0.234646,-0.0388105
0.375183,0.269321,0.187557,0.0817645,-0.000382572,-0.00050042,-0.00271454,-0.00543964,0.235365,-0.0387711
0.381045,0.11065,0.188315,-0.0776651,-0.000382731,-0.000500709,-0.00271764,-0.00543903,0.236087,-0.0387317
