ppm,observed,fitted,residual,component_EGDA,component_EGMA,component_EG,component_AcOH,component_exchange_pool,component_baseline
0,0.166634,0.0967337,0.0699007,-0.00588194,-0.00420924,-0.00169923,-0.0060015,0.138113,-0.0235873
0.00586224,0.34118,0.0971693,0.244011,-0.00589189,-0.00421601,-0.00170152,-0.00601296,0.138601,-0.0236095
0.0117245,0.199905,0.0976068,0.102299,-0.00590187,-0.0042228,-0.00170381,-0.00602446,0.139091,-0.0236317
0.0175867,-0.0219107,0.0980463,-0.119957,-0.00591187,-0.0042296,-0.00170611,-0.00603598,0.139584,-0.0236538
0.0234489,0.101291,0.0984878,0.00280281,-0.0059219,-0.00423643,-0.00170841,-0.00604754,0.140078,-0.0236758
0.0293112,0.0525323,0.0989312,-0.0463989,-0.00593197,-0.00424327,-0.00171072,-0.00605914,0.140574,-0.0236978
0.0351734,0.102051,0.0993766,0.00267483,-0.00594206,-0.00425013,-0.00171303,-0.00607077,0.141072,-0.0237198
0.0410357,-0.0180152,0.0998239,-0.117839,-0.00595218,-0.00425701,-0.00171536,-0.00608243,0.141573,-0.0237417
0.0468979,-0.188286,0.100273,-0.28856,-0.00596233,-0.00426392,-0.00171768,-0.00609412,0.142075,-0.0237635
0.0527601,-0.00667199,0.100725,-0.107397,-0.0059725,-0.00427084,-0.00172002,-0.00610585,0.142579,-0.0237853
0.0586224,0.154632,0.101178,0.0534542,-0.00598271,-0.00427777,-0.00172235,-0.00611762,0.143086,-0.0238071
0.0644846,0.284832,0.101633,0.183199,-0.00599294,-0.00428473,-0.0017247,-0.00612941,0.143594,-0.0238288
0.0703468,0.246834,0.102091,0.144743,-0.00600321,-0.00429171,-0.00172705,-0.00614124,0.144105,-0.0238504
0.0762091,0.124912,0.10255,0.0223614,-0.0060135,-0.00429871,-0.00172941,-0.00615311,0.144617,-0.023872
0.0820713,0.334857,0.103012,0.231845,-0.00602382,-0.00430572,-0.00173177,-0.00616501,0.145132,-0.0238936
0.0879336,0.26666,0.103476,0.163184,-0.00603417,-0.00431276,-0.00173414,-0.00617694,0.145649,-0.023915
0.0937958,0.204097,0.103941,0.100155,-0.00604455,-0.00431981,-0.00173652,-0.00618891,0.146168,-0.0239365
0.099658,0.330458,0.104409,0.226049,-0.00605496,-0.00432689,-0.0017389,-0.00620091,0.146689,-0.0239579
0.10552,0.136942,0.104879,0.0320627,-0.0060654,-0.00433398,-0.00174129,-0.00621294,0.147212,-0.0239792
0.111383,0.0152511,0.105351,-0.0901,-0.00607587,-0.0043411,-0.00174368,-0.00622501,0.147737,-0.0240005
0.117245,0.108489,0.105825,0.00266366,-0.00608636,-0.00434823,-0.00174609,-0.00623711,0.148265,-0.0240217
0.123107,-0.0211724,0.106302,-0.127474,-0.00609689,-0.00435538,-0.00174849,-0.00624924,0.148794,-0.0240429
0.128969,0.052503,0.10678,-0.0542771,-0.00610744,-0.00436255,-0.00175091,-0.00626141,0.149326,-0.024064
0.134831,0.241187,0.107261,0.133926,-0.00611803,-0.00436974,-0.00175333,-0.00627361,0.14986,-0.0240851
0.140694,0.258855,0.107743,0.151112,-0.00612864,-0.00437695,-0.00175576,-0.00628584,0.150397,-0.0241061
0.146556,0.235934,0.108228,0.127706,-0.00613928,-0.00438418,-0.00175819,-0.00629811,0.150935,-0.0241271
0.152418,0.194662,0.108716,0.0859462,-0.00614995,-0.00439143,-0.00176063,-0.00631041,0.151476,-0.024148
0.15828,0.147061,0.109205,0.0378563,-0.00616065,-0.0043987,-0.00176308,-0.00632275,0.152019,-0.0241689
0.164143,0.192086,0.109697,0.0823898,-0.00617138,-0.00440599,-0.00176553,-0.00633511,0.152564,-0.0241897
0.170005,0.237926,0.11019,0.127735,-0.00618214,-0.0044133,-0.00176799,-0.00634751,0.153112,-0.0242104
0.175867,0.330166,0.110686,0.21948,-0.00619293,-0.00442063,-0.00177045,-0.00635995,0.153661,-0.0242311
0.181729,0.345819,0.111185,0.234635,-0.00620374,-0.00442797,-0.00177293,-0.00637241,0.154214,-0.0242518
0.187592,0.168109,0.111685,0.056424,-0.00621459,-0.00443534,-0.00177541,-0.00638491,0.154768,-0.0242724
0.193454,0.277627,0.112188,0.165439,-0.00622547,-0.00444273,-0.00177789,-0.00639744,0.155325,-0.024293
