strategy,nmr_acquisitions,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,10.0,345.66316897469693,10000.0,nan,0.14685623213521734
D,20.0,232.60894055476336,9642.548663322777,nan,0.04066943022100574
D,30.0,62.916580403635024,1118.7499708404844,nan,0.020847355381851444
D,40.0,49.54175334895781,815.312443412623,nan,0.01682087761071994
D,50.0,42.4038506263326,304.1382469886556,nan,0.015364185393117496
D,60.0,41.38323464606994,38.49183466831634,nan,0.01356954715264529
D,70.0,39.17632893394862,36.77531441794084,nan,0.012792646612870892
D,80.0,36.806690624859456,35.12881307080763,nan,0.012737213633152094
F,10.725,72.40018523090973,1386.3344146352053,nan,0.09599063896757638
F,20.925,40.189786278241264,806.6887754325226,nan,0.013687327359474005
F,31.05,15.903877774857232,564.3628200037549,nan,0.002745810049075493
F,41.275,14.880794421167156,479.0304169725994,nan,0.0012642392996734893
F,51.45,15.324581059171527,448.7859970614205,nan,0.0011740795124865638
F,61.525,16.601244049017374,438.5536982958014,nan,0.0011378804855248239
F,71.65,17.645609961856785,413.78121384055555,nan,0.0011101276562610484
F,81.825,19.281569316625962,411.3016328455725,nan,0.0011024573813234486
