a,b,bootci_hi,bootci_lo,median_diff,metric,n_pairs,p_a_better,scenario
F,D,8.783981555870793e-06,-0.0002042231221211452,-9.697298282235504e-05,blind_rmse_M,40,0.625,S1_ideal
F,D,-1.8637135823658688,-10.75854022776186,-3.383691313711401,param_err_pct,40,0.7,S1_ideal
F,D,-0.00190648040348362,-0.002856854150628055,-0.0022323014497845324,blind_rmse_M,40,1.0,S2_nmr
F,D,-9.547429422808474,-23.775785691323314,-16.681097497609965,param_err_pct,40,0.8,S2_nmr
F,D,-0.00857095504990708,-0.01076681079115284,-0.009591401550138224,blind_rmse_M,40,1.0,S3_transport
F,D,-20.362440851961797,-30.777433207104533,-22.790000471582182,param_err_pct,40,0.975,S3_transport
F,F-uncorr,-0.010624794238076395,-0.012079460635894575,-0.011393623904987268,blind_rmse_M,40,1.0,S3_transport
F,F-uncorr,-31.324181009127585,-42.3453038316828,-39.43312407441931,param_err_pct,40,0.925,S3_transport
F-res-1x,F,0.0008096094451296356,0.00043259382609066977,0.0007038323924072383,blind_rmse_M,40,0.175,S6_resources
F-res-1x,F,5.420926340866017,1.2293504575881746,3.8877687986539033,param_err_pct,40,0.275,S6_resources
