C_EGDA_M,C_cat_M,Q_total_mL_min,T_C,blind_rmse_M,cum_acid_mol,cum_capillary_travel_m,cum_egda_mol,cum_energy_kJ,cum_nmr_acquisitions,cum_reactor_conditions,cum_spatial_samples,cum_time_s,cum_waste_mL,design_mode,is_reference,n_positions,param_err_pct,reference_acid_mol,reference_blind_rmse_M,reference_capillary_travel_m,reference_egda_mol,reference_energy_kJ,reference_nmr_acquisitions,reference_param_err_pct,reference_reactor_conditions,reference_spatial_samples,reference_strategy,reference_time_s,reference_waste_mL,round,scenario,seed,strategy,z_over_L_list,z_over_L_max,z_over_L_min
1.0,0.5,1.0,40.0,0.10919042029404527,0.006029866776461627,0.0,0.012059733552923254,1.5122905875365757,1.0,1.0,1.0,1447.1680263507903,24.869467105846507,fixed,1,1,274.3261726295664,0.006029866776461627,0.10919042029404527,0.0,0.012059733552923254,1.5122905875365757,1.0,274.3261726295664,1.0,1.0,A,1447.1680263507903,24.869467105846507,1,S1_ideal,1,A,1.0000,1.0,1.0
1.0,0.5,1.0,57.14285714285714,0.0759305292340219,0.013488304981494682,0.0,0.026976609962989364,14.092096948584338,2.0,2.0,2.0,3237.1931955587233,55.45321992597873,fixed,1,1,223.83745844259795,0.013488304981494682,0.0759305292340219,0.0,0.026976609962989364,14.092096948584338,2.0,223.83745844259795,2.0,2.0,A,3237.1931955587233,55.45321992597873,2,S1_ideal,1,A,1.0000,1.0,1.0
1.0,0.5,1.0,74.28571428571428,0.04552257796229513,0.020946743186527738,0.0,0.041893486373055476,28.809704797429,3.0,3.0,3.0,5027.218364766657,86.03697274611095,fixed,1,1,171.90152839435925,0.020946743186527738,0.04552257796229513,0.0,0.041893486373055476,28.809704797429,3.0,171.90152839435925,3.0,3.0,A,5027.218364766657,86.03697274611095,3,S1_ideal,1,A,1.0000,1.0,1.0
1.0,0.5,1.0,91.42857142857143,0.04194775047909909,0.028405181391560792,0.0,0.056810362783121585,45.66511413407058,4.0,4.0,4.0,6817.243533974591,116.62072556624317,fixed,1,1,108.99636339853708,0.028405181391560792,0.04194775047909909,0.0,0.056810362783121585,45.66511413407058,4.0,108.99636339853708,4.0,4.0,A,6817.243533974591,116.62072556624317,4,S1_ideal,1,A,1.0000,1.0,1.0
1.0,0.5,1.0,108.57142857142857,0.043182587618146334,0.03586361959659385,0.0,0.0717272391931877,64.65832495850906,5.0,5.0,5.0,8607.268703182524,147.2044783863754,fixed,1,1,102.95351687517855,0.03586361959659385,0.043182587618146334,0.0,0.0717272391931877,64.65832495850906,5.0,102.95351687517855,5.0,5.0,A,8607.268703182524,147.2044783863754,5,S1_ideal,1,A,1.0000,1.0,1.0
1.0,0.5,1.0,125.71428571428571,0.021109364493795583,0.04332205780162691,0.0,0.08664411560325382,85.78933727074443,6.0,6.0,6.0,10397.293872390457,177.78823120650762,fixed,1,1,138.9562567174444,0.04332205780162691,0.021109364493795583,0.0,0.08664411560325382,85.78933727074443,6.0,138.9562567174444,6.0,6.0,A,10397.293872390457,177.78823120650762,6,S1_ideal,1,A,1.0000,1.0,1.0
1.0,0.5,1.0,142.85714285714286,0.005342332256515142,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,7.0,7.0,12187.31904159839,208.37198402663984,fixed,1,1,50.02262463627278,0.050780496006659966,0.005342332256515142,0.0,0.10156099201331993,109.05815107077672,7.0,50.02262463627278,7.0,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,1,A,1.0000,1.0,1.0
1.0,0.5,1.0,160.0,0.004316002333362245,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,8.0,8.0,13977.344210806323,238.95573684677206,fixed,1,1,46.87191570097624,0.05823893421169302,0.004316002333362245,0.0,0.11647786842338605,134.4647663586059,8.0,46.87191570097624,8.0,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,1,A,1.0000,1.0,1.0
1.0,0.5,1.0,40.0,0.10196127043643886,0.006029866776461627,0.0,0.012059733552923254,1.5122905875365757,1.0,1.0,1.0,1447.1680263507903,24.869467105846507,fixed,1,1,304.31747986787406,0.006029866776461627,0.10196127043643886,0.0,0.012059733552923254,1.5122905875365757,1.0,304.31747986787406,1.0,1.0,A,1447.1680263507903,24.869467105846507,1,S1_ideal,2,A,1.0000,1.0,1.0
1.0,0.5,1.0,57.14285714285714,0.11413486636295929,0.013488304981494682,0.0,0.026976609962989364,14.092096948584338,2.0,2.0,2.0,3237.1931955587233,55.45321992597873,fixed,1,1,293.54428822168006,0.013488304981494682,0.11413486636295929,0.0,0.026976609962989364,14.092096948584338,2.0,293.54428822168006,2.0,2.0,A,3237.1931955587233,55.45321992597873,2,S1_ideal,2,A,1.0000,1.0,1.0
