basis,boot_ci_hi,boot_ci_lo,mean,median,metric,n_faulted_cumulative,n_in_summary,n_observed,n_total,q25,q75,round,scenario,strategy
observed,270.3744613568299,174.434418795915,218.90014352571825,213.7044966514818,param_err_pct,0,40,40,40,147.0982277075651,283.9568598644412,1,S1_ideal,A
locf,270.6273952452694,174.434418795915,218.90014352571825,213.7044966514818,param_err_pct,0,40,40,40,147.0982277075651,283.9568598644412,1,S1_ideal,A
observed,0.11306521788772789,0.10335854592351965,0.10776033242019238,0.10886653764920026,blind_rmse_M,0,40,40,40,0.10134379191515039,0.11775726069181983,1,S1_ideal,A
locf,0.11306521788772789,0.10335854592351965,0.10776033242019238,0.10886653764920026,blind_rmse_M,0,40,40,40,0.10134379191515039,0.11775726069181983,1,S1_ideal,A
observed,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,1,S1_ideal,A
locf,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,1,S1_ideal,A
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,1,S1_ideal,A
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,1,S1_ideal,A
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,1,S1_ideal,A
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,1,S1_ideal,A
observed,1447.1680263507903,1447.1680263507903,1447.1680263507903,1447.1680263507903,time_s,0,40,40,40,1447.1680263507903,1447.1680263507903,1,S1_ideal,A
locf,1447.1680263507903,1447.1680263507903,1447.1680263507903,1447.1680263507903,time_s,0,40,40,40,1447.1680263507903,1447.1680263507903,1,S1_ideal,A
observed,0.012059733552923254,0.012059733552923254,0.012059733552923254,0.012059733552923254,egda_mol,0,40,40,40,0.012059733552923254,0.012059733552923254,1,S1_ideal,A
locf,0.012059733552923254,0.012059733552923254,0.012059733552923254,0.012059733552923254,egda_mol,0,40,40,40,0.012059733552923254,0.012059733552923254,1,S1_ideal,A
observed,1.5122905875365757,1.5122905875365757,1.5122905875365757,1.5122905875365757,energy_kJ,0,40,40,40,1.5122905875365757,1.5122905875365757,1,S1_ideal,A
locf,1.5122905875365757,1.5122905875365757,1.5122905875365757,1.5122905875365757,energy_kJ,0,40,40,40,1.5122905875365757,1.5122905875365757,1,S1_ideal,A
observed,1.0,1.0,1.0,1.0,nmr_acquisitions,0,40,40,40,1.0,1.0,1,S1_ideal,A
locf,1.0,1.0,1.0,1.0,nmr_acquisitions,0,40,40,40,1.0,1.0,1,S1_ideal,A
observed,1.0,1.0,1.0,1.0,spatial_samples,0,40,40,40,1.0,1.0,1,S1_ideal,A
locf,1.0,1.0,1.0,1.0,spatial_samples,0,40,40,40,1.0,1.0,1,S1_ideal,A
observed,226.61242571906118,146.61585302682613,190.33767154907096,164.91353572181401,param_err_pct,0,40,40,40,142.09919807141165,247.41447685299357,2,S1_ideal,A
locf,226.61242571906118,146.61585302682613,190.33767154907096,164.91353572181401,param_err_pct,0,40,40,40,142.09919807141165,247.41447685299357,2,S1_ideal,A
observed,0.09817173546255262,0.06010792113338321,0.08542936403131232,0.08015312429161874,blind_rmse_M,0,40,40,40,0.05757834196072504,0.1094966976025071,2,S1_ideal,A
locf,0.09815940209988111,0.060431422008109276,0.08542936403131232,0.08015312429161874,blind_rmse_M,0,40,40,40,0.05757834196072504,0.1094966976025071,2,S1_ideal,A
observed,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,2,S1_ideal,A
locf,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,2,S1_ideal,A
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,2,S1_ideal,A
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,2,S1_ideal,A
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,2,S1_ideal,A
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,2,S1_ideal,A
observed,3237.1931955587233,3237.1931955587233,3237.1931955587233,3237.1931955587233,time_s,0,40,40,40,3237.1931955587233,3237.1931955587233,2,S1_ideal,A
locf,3237.1931955587233,3237.1931955587233,3237.1931955587233,3237.1931955587233,time_s,0,40,40,40,3237.1931955587233,3237.1931955587233,2,S1_ideal,A
observed,0.026976609962989364,0.026976609962989364,0.02697660996298936,0.026976609962989364,egda_mol,0,40,40,40,0.026976609962989364,0.026976609962989364,2,S1_ideal,A
locf,0.026976609962989364,0.026976609962989364,0.02697660996298936,0.026976609962989364,egda_mol,0,40,40,40,0.026976609962989364,0.026976609962989364,2,S1_ideal,A
observed,14.092096948584338,14.092096948584338,14.092096948584338,14.092096948584338,energy_kJ,0,40,40,40,14.092096948584338,14.092096948584338,2,S1_ideal,A
locf,14.092096948584338,14.092096948584338,14.092096948584338,14.092096948584338,energy_kJ,0,40,40,40,14.092096948584338,14.092096948584338,2,S1_ideal,A
observed,2.0,2.0,2.0,2.0,nmr_acquisitions,0,40,40,40,2.0,2.0,2,S1_ideal,A
locf,2.0,2.0,2.0,2.0,nmr_acquisitions,0,40,40,40,2.0,2.0,2,S1_ideal,A
observed,2.0,2.0,2.0,2.0,spatial_samples,0,40,40,40,2.0,2.0,2,S1_ideal,A
locf,2.0,2.0,2.0,2.0,spatial_samples,0,40,40,40,2.0,2.0,2,S1_ideal,A
observed,165.67884911196865,126.91692165140452,152.42758611188765,143.34025352165588,param_err_pct,0,40,40,40,120.3553815315466,172.69483900267036,3,S1_ideal,A
locf,165.6817793647244,127.9195433694598,152.42758611188765,143.34025352165588,param_err_pct,0,40,40,40,120.3553815315466,172.69483900267036,3,S1_ideal,A
observed,0.06817691333066038,0.05368046375454521,0.06265187634342544,0.061874278214438166,blind_rmse_M,0,40,40,40,0.04408554290702062,0.07379591839905969,3,S1_ideal,A
locf,0.06817691333066038,0.05368046375454521,0.06265187634342544,0.061874278214438166,blind_rmse_M,0,40,40,40,0.04408554290702062,0.07379591839905969,3,S1_ideal,A
observed,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,3,S1_ideal,A
locf,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,3,S1_ideal,A
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,3,S1_ideal,A
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,3,S1_ideal,A
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,3,S1_ideal,A
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,3,S1_ideal,A
observed,5027.218364766657,5027.218364766657,5027.218364766657,5027.218364766657,time_s,0,40,40,40,5027.218364766657,5027.218364766657,3,S1_ideal,A
locf,5027.218364766657,5027.218364766657,5027.218364766657,5027.218364766657,time_s,0,40,40,40,5027.218364766657,5027.218364766657,3,S1_ideal,A
observed,0.041893486373055476,0.041893486373055476,0.041893486373055476,0.041893486373055476,egda_mol,0,40,40,40,0.041893486373055476,0.041893486373055476,3,S1_ideal,A
locf,0.041893486373055476,0.041893486373055476,0.041893486373055476,0.041893486373055476,egda_mol,0,40,40,40,0.041893486373055476,0.041893486373055476,3,S1_ideal,A
observed,28.809704797429,28.809704797429,28.809704797429,28.809704797429,energy_kJ,0,40,40,40,28.809704797429,28.809704797429,3,S1_ideal,A
locf,28.809704797429,28.809704797429,28.809704797429,28.809704797429,energy_kJ,0,40,40,40,28.809704797429,28.809704797429,3,S1_ideal,A
observed,3.0,3.0,3.0,3.0,nmr_acquisitions,0,40,40,40,3.0,3.0,3,S1_ideal,A
locf,3.0,3.0,3.0,3.0,nmr_acquisitions,0,40,40,40,3.0,3.0,3,S1_ideal,A
observed,3.0,3.0,3.0,3.0,spatial_samples,0,40,40,40,3.0,3.0,3,S1_ideal,A
locf,3.0,3.0,3.0,3.0,spatial_samples,0,40,40,40,3.0,3.0,3,S1_ideal,A
observed,167.4285394964582,134.41471628283006,165.08549599992767,149.58962871684736,param_err_pct,0,40,40,40,113.14991094435294,188.1967606160473,4,S1_ideal,A
locf,167.16598861340321,134.42648768894446,165.08549599992767,149.58962871684736,param_err_pct,0,40,40,40,113.14991094435294,188.1967606160473,4,S1_ideal,A
observed,0.04584367138772053,0.04150692756026427,0.04444261968405362,0.04225909187677106,blind_rmse_M,0,40,40,40,0.03765405347954706,0.05194535163191955,4,S1_ideal,A
locf,0.046050652429777426,0.04154581598344561,0.04444261968405362,0.04225909187677106,blind_rmse_M,0,40,40,40,0.03765405347954706,0.05194535163191955,4,S1_ideal,A
observed,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,4,S1_ideal,A
locf,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,4,S1_ideal,A
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,4,S1_ideal,A
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,4,S1_ideal,A
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,4,S1_ideal,A
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,4,S1_ideal,A
observed,6817.243533974591,6817.243533974591,6817.243533974591,6817.243533974591,time_s,0,40,40,40,6817.243533974591,6817.243533974591,4,S1_ideal,A
locf,6817.243533974591,6817.243533974591,6817.243533974591,6817.243533974591,time_s,0,40,40,40,6817.243533974591,6817.243533974591,4,S1_ideal,A
observed,0.056810362783121585,0.056810362783121585,0.056810362783121585,0.056810362783121585,egda_mol,0,40,40,40,0.056810362783121585,0.056810362783121585,4,S1_ideal,A
locf,0.056810362783121585,0.056810362783121585,0.056810362783121585,0.056810362783121585,egda_mol,0,40,40,40,0.056810362783121585,0.056810362783121585,4,S1_ideal,A
observed,45.66511413407058,45.66511413407058,45.66511413407058,45.66511413407058,energy_kJ,0,40,40,40,45.66511413407058,45.66511413407058,4,S1_ideal,A
locf,45.66511413407058,45.66511413407058,45.66511413407058,45.66511413407058,energy_kJ,0,40,40,40,45.66511413407058,45.66511413407058,4,S1_ideal,A
observed,4.0,4.0,4.0,4.0,nmr_acquisitions,0,40,40,40,4.0,4.0,4,S1_ideal,A
locf,4.0,4.0,4.0,4.0,nmr_acquisitions,0,40,40,40,4.0,4.0,4,S1_ideal,A
observed,4.0,4.0,4.0,4.0,spatial_samples,0,40,40,40,4.0,4.0,4,S1_ideal,A
locf,4.0,4.0,4.0,4.0,spatial_samples,0,40,40,40,4.0,4.0,4,S1_ideal,A
observed,141.75269724791985,106.12005067946673,131.47063544026906,121.80434869809636,param_err_pct,0,40,40,40,103.50940012153761,170.05556539646457,5,S1_ideal,A
locf,141.75269724791985,106.12005067946673,131.47063544026906,121.80434869809636,param_err_pct,0,40,40,40,103.50940012153761,170.05556539646457,5,S1_ideal,A
observed,0.03951292037539646,0.022258238013135083,0.030968292367166826,0.03768195359802666,blind_rmse_M,0,40,40,40,0.018718552542332713,0.041421267443438735,5,S1_ideal,A
locf,0.03951292037539646,0.022258238013135083,0.030968292367166826,0.03768195359802666,blind_rmse_M,0,40,40,40,0.018718552542332713,0.041421267443438735,5,S1_ideal,A
observed,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,5,S1_ideal,A
locf,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,5,S1_ideal,A
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,5,S1_ideal,A
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,5,S1_ideal,A
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,5,S1_ideal,A
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,5,S1_ideal,A
observed,8607.268703182524,8607.268703182524,8607.268703182524,8607.268703182524,time_s,0,40,40,40,8607.268703182524,8607.268703182524,5,S1_ideal,A
locf,8607.268703182524,8607.268703182524,8607.268703182524,8607.268703182524,time_s,0,40,40,40,8607.268703182524,8607.268703182524,5,S1_ideal,A
observed,0.0717272391931877,0.0717272391931877,0.0717272391931877,0.0717272391931877,egda_mol,0,40,40,40,0.0717272391931877,0.0717272391931877,5,S1_ideal,A
locf,0.0717272391931877,0.0717272391931877,0.0717272391931877,0.0717272391931877,egda_mol,0,40,40,40,0.0717272391931877,0.0717272391931877,5,S1_ideal,A
observed,64.65832495850906,64.65832495850906,64.65832495850906,64.65832495850906,energy_kJ,0,40,40,40,64.65832495850906,64.65832495850906,5,S1_ideal,A
locf,64.65832495850906,64.65832495850906,64.65832495850906,64.65832495850906,energy_kJ,0,40,40,40,64.65832495850906,64.65832495850906,5,S1_ideal,A
observed,5.0,5.0,5.0,5.0,nmr_acquisitions,0,40,40,40,5.0,5.0,5,S1_ideal,A
locf,5.0,5.0,5.0,5.0,nmr_acquisitions,0,40,40,40,5.0,5.0,5,S1_ideal,A
observed,5.0,5.0,5.0,5.0,spatial_samples,0,40,40,40,5.0,5.0,5,S1_ideal,A
locf,5.0,5.0,5.0,5.0,spatial_samples,0,40,40,40,5.0,5.0,5,S1_ideal,A
observed,122.71811744528421,89.08523430407081,105.25062994311077,108.24637482280195,param_err_pct,0,40,40,40,71.84218735246995,133.63519195546854,6,S1_ideal,A
locf,123.67808610576373,89.08523430407081,105.25062994311077,108.24637482280195,param_err_pct,0,40,40,40,71.84218735246995,133.63519195546854,6,S1_ideal,A
observed,0.019417155448259463,0.017295030518088225,0.022096847860487778,0.01809384351333001,blind_rmse_M,0,40,40,40,0.016381145710013523,0.03733277044904409,6,S1_ideal,A
locf,0.01938487653004907,0.017295030518088225,0.022096847860487778,0.01809384351333001,blind_rmse_M,0,40,40,40,0.016381145710013523,0.03733277044904409,6,S1_ideal,A
observed,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,6,S1_ideal,A
locf,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,6,S1_ideal,A
