C_EGDA_M,C_cat_M,Q1_mL_min,Q2_mL_min,Q_total_mL_min,T_C,beta_model_weight,design_mode,eig_evaluated,eig_model,eig_param,governor_state,n_positions,rank,resource_penalty,round,scenario,screen_score,seed,selected,strategy,utility_total,z_positions_m
2.0,2.0,4.0,4.0,8.0,160.0,1.0,eig,1,0.0,2.7725887222397816,NORMAL_LEARNING,10,1,0.0,2,S1_ideal,113.13032868742951,1,1,F,2.7725887222397816,0.0561;0.0708;0.0855;0.1002;0.1149;0.5412;0.5559;0.5706;0.5853;0.6
2.0,0.5,1.0,1.0,2.0,160.0,1.0,eig,1,0.0,2.7725887222397816,NORMAL_LEARNING,10,2,0.0,2,S1_ideal,113.00367069409316,1,0,F,2.7725887222397816,0.0414;0.0561;0.0708;0.0855;0.1002;0.5412;0.5559;0.5706;0.5853;0.6
2.0,0.1,0.25,0.25,0.5,160.0,1.0,eig,1,0.0,2.7725887222397816,NORMAL_LEARNING,10,3,0.0,2,S1_ideal,112.93216354062682,1,0,F,2.7725887222397816,0.0561;0.0708;0.0855;0.1002;0.1149;0.5412;0.5559;0.5706;0.5853;0.6
2.0,1.0,1.0,1.0,2.0,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,2,S1_ideal,112.83672762147813,1,0,F,nan,0.0267;0.0414;0.0561;0.0708;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,1.0,1.0,1.0,2.0,140.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,5,nan,2,S1_ideal,112.73308590098026,1,0,F,nan,0.0561;0.0708;0.0855;0.1002;0.1149;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,1.0,1.0,2.0,140.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,6,nan,2,S1_ideal,112.64083883197667,1,0,F,nan,0.0267;0.0414;0.0561;0.0708;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,100.0,1.0,eig,1,0.0,2.7662929718285234,NORMAL_LEARNING,10,1,0.0,3,S1_ideal,20.5556166816948,1,0,F,2.7662929718285234,0.1443;0.159;0.1737;0.1884;0.2031;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,120.0,1.0,eig,1,0.0,2.772556733009386,NORMAL_LEARNING,10,2,0.0,3,S1_ideal,19.741901099052498,1,1,F,2.772556733009386,0.0855;0.1002;0.1149;0.1296;0.1443;0.5412;0.5559;0.5706;0.5853;0.6
2.0,1.0,0.25,0.25,0.5,120.0,1.0,eig,1,0.0,2.772097600644218,NORMAL_LEARNING,10,3,0.0,3,S1_ideal,18.53662312431483,1,0,F,2.772097600644218,0.159;0.1737;0.1884;0.2031;0.2178;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,80.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,3,S1_ideal,17.747692506362682,1,0,F,nan,0.2178;0.2325;0.2472;0.2619;0.2766;0.5412;0.5559;0.5706;0.5853;0.6
